subject_id,sleep_date,lifelog_date,Q1,Q2,Q3,S1,S2,S3,S4,dev_activity/step,dev_gps/context,dev_other,dev_phone/app/screen,dev_routine/regularity,dev_sensor/coverage,dev_sleep/long-rest,dev_overall
id09,2024-07-14,2024-07-13,0,1,1,1,1,0,1,0.8654454559685821,1.3107519929518399,0.758860186088225,1.1243598508254697,0.801077787943581,0.9562435270836124,0.781656020005757,0.9426278315524381
id06,2024-06-25,2024-06-24,0,0,0,1,1,1,1,1.1270509227762116,0.8255197734237265,0.7067984212660453,0.8638049158420927,0.8562075701676181,0.7835829387945249,1.3190718472949012,0.926005198509303
id05,2024-08-29,2024-08-28,0,1,1,0,0,0,0,0.75165846748386,0.7170496175054059,0.8634374176883364,0.6274925735926387,1.123747692723323,1.4484892561396159,0.8827778577177376,0.9163789832644167
id08,2024-07-23,2024-07-22,0,1,1,0,1,1,1,0.733113114741653,0.9694310495745146,0.7242919576858882,1.0556947851376037,1.03038880779243,0.7602092185707633,1.1230681662241493,0.9137424428181431
id05,2024-10-30,2024-10-29,0,0,0,0,0,0,0,0.5209110238718002,1.16926426301574,0.6956646544877834,1.0998408059010283,1.1319136432106363,0.5041215995655979,1.1752057669633007,0.8995602510022694
id07,2024-06-10,2024-06-09,0,1,1,1,1,0,0,0.6515924035675504,1.0969303420410872,0.9048352003757452,0.8075833953553392,1.069013481851316,0.7947001375552443,0.9646527360211811,0.8984725281096376
id02,2024-07-18,2024-07-17,0,1,1,0,0,1,0,0.7345364083161601,0.6751285228537147,0.8124099916627648,0.8220609628275933,1.0566442808277032,1.1045160886753065,1.0586200005005788,0.894845179380546
id10,2024-09-08,2024-09-07,1,1,0,1,1,1,1,0.9073982434122417,0.93797198742336,0.8244987420708919,0.8219049402011102,1.1143080265515612,0.8348882031898615,0.7672001544390081,0.8868814710411479
id06,2024-06-04,2024-06-03,0,0,0,1,0,0,1,0.8279262516895948,0.8969119529741386,0.8207885227646986,0.7217719221862975,0.9772691264369554,0.7903730881620511,1.1090377121087203,0.8777255109032079
id07,2024-07-13,2024-07-12,0,0,1,1,1,1,1,1.0220648391104776,1.1135879243256364,0.8360776259506604,0.5290788990617972,1.057908939363897,0.9160254857604576,0.662454972260767,0.8767426694048134
id04,2024-08-16,2024-08-15,1,0,1,1,1,1,1,0.9395265597958858,1.2894494010084616,0.9830865105978073,0.7211366602463334,0.7323735021482323,0.6544907872991597,0.7978413868399327,0.8739864011336874
id09,2024-08-04,2024-08-03,1,0,1,0,1,1,1,0.9691154294012664,1.0698071629150872,0.8486324819722194,0.6460343823765866,0.7147408457607767,0.9714393967650814,0.8979668398388015,0.8739623627185455
id08,2024-08-16,2024-08-15,0,0,0,0,0,0,1,0.535246895211634,0.7997841073058269,0.5305505563721918,0.7178937160990131,0.7461784253477379,1.8562247022299159,0.8932784749263821,0.8684509824989574
id05,2024-10-31,2024-10-30,1,0,0,1,1,0,1,0.8353821444706954,0.8277624427423329,0.9156698909496541,1.019942864894825,0.8288437954381855,0.4787708803373058,1.133864958729552,0.86289099679465
id03,2024-09-08,2024-09-07,1,1,1,1,0,0,0,1.0514791971612316,0.8038746272791039,0.8526782673620766,0.6821955896113344,0.6636964600869515,1.0862469738316856,0.8953939148495397,0.8622235757402746
id07,2024-08-12,2024-08-11,1,1,1,1,1,1,1,0.9679957003138673,0.8241661387679237,0.7182828856810192,0.8668713843801187,0.7820450486827891,0.7820125564572558,1.0853755294261183,0.8609641776727273
id03,2024-07-18,2024-07-17,0,0,0,1,1,1,0,0.6714417063659545,0.575204873448783,0.766967443393802,0.7865219748651432,1.0980674268064652,1.0467384397350805,1.0668746778895901,0.8588309346435455
id04,2024-09-09,2024-09-08,0,0,1,1,1,1,1,0.8551901646290248,1.1189419957010502,0.6565729915584521,0.7522551132479627,0.9112372310655432,0.8616653511771495,0.8346901680041703,0.8557932879119077
id10,2024-07-15,2024-07-14,1,0,0,1,0,0,0,0.7116690089365123,0.9502236144099612,0.832671668346366,0.7761314685822587,1.0966862497407637,0.7419456976193459,0.8781062188404851,0.8553477037822417
id01,2024-08-18,2024-08-17,0,1,1,1,0,1,0,0.5918711280997618,0.8169123617385862,0.8869937709454556,0.8598651137514068,0.8729953341980429,1.075438976223639,0.8775262096713734,0.8545146992326094
id02,2024-07-26,2024-07-25,1,1,1,1,1,1,1,0.6095385642073499,0.910234797564078,0.8378229736541624,1.0105133148980208,0.9405586041161772,0.6076734542349187,1.062687947437723,0.854147093730347
id02,2024-07-19,2024-07-18,0,0,0,1,1,1,1,0.7463652530965587,0.7787318621540648,0.8108986997293669,0.8024162252859799,0.9278586672855675,1.007796008337128,0.8942901136803033,0.8526224042241385
id06,2024-07-22,2024-07-21,1,1,1,1,1,1,0,0.7385123173385141,0.7787486860131075,0.8591431142408976,0.7109566600786483,1.107602090378669,0.6970627191118725,1.0749365578713226,0.8524231635761473
id10,2024-07-14,2024-07-13,0,1,1,0,1,0,1,0.7465607847326535,0.9530585245662694,0.9111013946809497,0.767165467268578,1.045521223460724,0.8027886467363445,0.7292373728982444,0.850776202049109
id03,2024-07-19,2024-07-18,1,0,0,1,0,0,0,0.9044124362320275,0.661538025558411,0.5923402131762833,0.7163974627726063,0.8977411899365123,1.2679287752400596,0.9047739636638974,0.849304580939971
id03,2024-09-07,2024-09-06,1,1,0,1,0,0,0,0.5511901723467446,0.853045139801144,0.6647937240803207,0.9295740225534089,0.8341471776947542,1.24454162595358,0.8432368054090635,0.8457898096912879
id10,2024-07-21,2024-07-20,1,0,1,1,1,1,1,0.6862234897256017,0.777134601877095,0.8431876533867692,1.156737066510361,1.073442845336379,0.6747859831398857,0.7012422360567382,0.8446791251475471
id02,2024-08-23,2024-08-22,0,1,0,0,1,1,0,0.5253711999197718,1.2409305578814565,0.609626227471905,0.9040606805733346,0.8623093710210681,1.1460006580651192,0.6154161974332877,0.8433878417665631
id04,2024-09-30,2024-09-29,0,0,1,1,1,1,1,0.47093209227959765,0.7857098854788169,0.6709821334851608,0.7837955246587579,1.067001275737662,0.8702147512944561,1.24349464889114,0.8417329016893701
id01,2024-08-26,2024-08-25,1,1,1,1,0,1,1,0.5709504159455676,0.7992647816339734,0.8547790882361959,0.6440756705951602,1.8082155249987153,0.5612194523631798,0.622169482882964,0.8372392023793938
id09,2024-07-15,2024-07-14,0,1,1,0,0,1,0,0.6588019845322474,0.6835544635757508,0.9209514053466076,0.9018576530106405,0.6685811231451023,0.9898954235431326,1.023345361528439,0.8352839163831315
id02,2024-08-06,2024-08-05,0,0,0,1,1,1,0,1.0585018986690777,0.9433988643448502,0.8681587971425911,0.7844588036021073,0.6202040972486164,0.5393535899177861,1.028296536254706,0.8346246553113907
id10,2024-07-22,2024-07-21,1,0,0,0,1,1,1,0.5734810730603207,1.0579466145892953,0.7840614216352721,0.9557655642684493,0.9059943184592111,0.7428413980764761,0.8049514619565523,0.8321488360065109
id10,2024-07-13,2024-07-12,1,1,1,1,0,0,0,0.9109550411353239,1.0236059975656864,0.7661731213959181,0.7425842218348583,0.7983210285603207,0.7481583123051498,0.8337846654266824,0.8319403411748485
id10,2024-07-16,2024-07-15,0,1,1,1,1,1,0,0.6789075115532662,1.1123133800382117,0.7317847261932512,0.6773389674210671,1.0053484014484715,0.8236976152038062,0.7927872628785431,0.8317396949623738
id07,2024-06-23,2024-06-22,1,1,0,1,1,1,0,0.8184608399515354,0.9267895235600395,0.7329909216384278,0.9183529795831396,0.8391422547930664,0.8459438794488305,0.7220559199579477,0.8291051884189982
id04,2024-08-02,2024-08-01,1,1,0,0,0,1,0,0.7696191947543652,0.5389313034372344,0.9688056295910249,0.7718631210840928,0.8834225518172049,0.8029283607431222,1.0668897838806857,0.8289228493296756
id08,2024-06-30,2024-06-29,0,1,1,1,1,1,1,0.9756016703560378,0.8751312391590338,0.7824187405448332,0.8106189502748713,0.9443109259804341,0.534616945182356,0.8791368496878801,0.8288336173122067
id07,2024-07-30,2024-07-29,1,0,0,0,0,0,0,0.6478752018291363,0.8346226405161108,0.7997420439613275,0.8072988863344664,0.7997305305738291,0.8270647947116244,1.0817259916548647,0.8282942985116227
id01,2024-08-22,2024-08-21,0,1,0,0,1,1,0,0.895631859653031,0.817705899987095,0.6827935308520439,0.865278129920276,0.4987565758509389,1.168191175489808,0.8547024832773636,0.8261513792900794
id04,2024-10-10,2024-10-09,1,1,1,1,1,1,1,0.8293836794345983,1.4634839436370655,0.7370064872613055,0.663462254655903,0.8487921403922665,0.7756288334392116,0.4629966925442045,0.8258220044806507
id05,2024-09-02,2024-09-01,1,1,0,0,0,0,1,0.6871202565188843,1.1406760325155556,0.8003268732536645,0.7325702207882149,0.855614872899432,0.5277145663736411,1.0366815733912238,0.8258149136772309
id05,2024-11-11,2024-11-10,0,0,0,0,0,0,0,0.6987988750270016,1.0551318963528187,0.771272668210469,0.7195193025502267,1.0114517272357892,0.46953153704825096,1.044935375308437,0.8243773402475705
id02,2024-07-24,2024-07-23,1,1,1,1,1,1,1,0.7438241362203684,1.3636401865420467,0.8519837349227225,0.721323144116548,0.6842030642381206,0.550625212397106,0.8197429148618661,0.8193346276141112
id03,2024-09-01,2024-08-31,1,1,1,1,1,0,1,0.9100709757734649,0.983840754367727,0.6937348664988563,0.6915129598756948,0.9655859497778344,0.5414610542016313,0.9445854136173981,0.8186845677303723
id07,2024-07-10,2024-07-09,1,0,1,1,1,1,0,0.7577307949546322,0.6186895941099744,0.7826309900650664,0.7255762998967256,0.8302709514711699,0.7355400746869506,1.27076148280231,0.817314312569547
id03,2024-07-22,2024-07-21,1,1,1,1,1,0,0,0.6987423527718544,1.3999486065647748,0.6072980295179401,0.7457059517578929,0.8932913065259879,0.586881489516244,0.7854521452340406,0.8167599831269623
id08,2024-07-01,2024-06-30,0,1,0,0,1,1,1,0.7929050736205626,0.8047610652095297,0.7908350400188137,0.7897766944915184,1.1992156369349873,0.5867898208484237,0.7482112053950515,0.8160706480741267
id05,2024-11-03,2024-11-02,0,0,0,0,0,0,0,0.5738947309638179,1.4883759851351834,0.7402270623897389,0.967878094718731,0.7259974117376515,0.44169387172265734,0.7694883781211355,0.8153650763984164
id04,2024-08-09,2024-08-08,0,0,1,1,1,1,1,0.8666175821954841,0.6714641052814566,0.7689982292570703,1.0747334858246214,0.6746458707115591,0.5642929052164627,1.081010573762531,0.8145375360355979
id01,2024-07-11,2024-07-10,0,0,0,1,1,1,1,1.0425627925323384,0.913574510356912,0.7718510484478679,0.8301085826068728,0.7779454914280346,0.5596095691864031,0.7746179848099465,0.8100385684811966
id06,2024-08-19,2024-08-18,0,1,1,1,1,1,1,0.6291906012610087,0.8571599384554617,0.7089409382776798,0.6521244696343707,1.1864291425635793,0.8081583304877649,0.8215684555416453,0.8090816966030729
id07,2024-08-14,2024-08-13,0,0,1,1,0,1,0,0.8232008119653991,0.7488352287437537,0.7256287812331761,0.5974721896359119,0.9487757623803104,0.8839726082578918,0.9353666776274931,0.8090360085491337
id09,2024-07-22,2024-07-21,0,1,1,0,1,1,1,0.6874758115545754,0.7135874640499412,0.875670063446972,0.7228825153864975,1.0306623558672476,0.812575871723033,0.8189631677841486,0.8088310356874879
id03,2024-08-15,2024-08-14,1,1,1,1,1,0,0,1.0098511749525025,0.5814819819842514,0.7478524452757714,0.9259894958613871,0.7592866692109739,0.6962608310803535,0.9256749854068858,0.8066282262531608
id04,2024-10-13,2024-10-12,0,1,1,0,0,1,0,0.7181306335286645,0.8280769750886133,0.8048493196492658,0.6598248193624112,1.0083088580567876,0.9021404033645909,0.7140023141500119,0.8050476176000493
id02,2024-07-31,2024-07-30,1,1,1,1,1,1,1,0.9112412267818271,0.7088869228155068,0.8348595021569012,0.6493890455060596,0.9514389741631867,0.7165761845025462,0.8505302497753838,0.803274586528773
id03,2024-07-28,2024-07-27,0,0,1,1,1,1,0,0.7083595208960398,1.1701619813051818,0.7277104333176804,0.8991215757586208,0.7309978895580042,0.5120472184822692,0.8645432124603816,0.8018488331111683
id07,2024-06-22,2024-06-21,0,0,1,1,1,1,0,1.0046393827646156,0.7368425296378649,0.7842269779196727,0.7583417910000286,0.6906885490437755,0.807465814587087,0.8288528577242136,0.8015797003824654
id04,2024-10-21,2024-10-20,1,1,1,1,1,1,1,0.5711177233613906,0.9221025899001305,0.6698678224465443,0.8080393392171934,1.0111931772110045,0.6194415872577855,1.0015240804123737,0.8004694742580603
id01,2024-07-28,2024-07-27,1,0,0,1,1,1,1,0.6218957436623228,1.0501926507632504,0.693598515265737,0.7493491701859277,1.0382236903775384,0.5523597262418378,0.8853639542993331,0.798711921542278
id05,2024-10-28,2024-10-27,0,0,1,0,0,0,0,0.6993306095175761,0.5534584616275423,1.0409288772393486,0.6204798782215294,0.6830762685800247,1.301692275624958,0.6825570249012988,0.797360485101754
id08,2024-08-29,2024-08-28,1,1,1,1,0,0,0,0.7257785407005535,0.6681775557012346,0.6329732686856305,0.7339864560275963,1.0108167197225248,0.9087524957982016,0.881142442876017,0.7945182113588227
id05,2024-09-08,2024-09-07,0,1,0,1,0,0,1,1.1055761026545121,0.7645387742399892,0.8501532427998482,0.6886350325080254,0.6592834757045031,0.4873190398208636,0.9947649932771291,0.7928958087149814
id04,2024-08-15,2024-08-14,1,0,1,0,0,1,0,0.7479623402966367,0.9533731610700292,0.8985874340900173,0.6355102378601453,1.0637265167912624,0.8236466147568737,0.42254299571995085,0.7921927572264166
id01,2024-08-20,2024-08-19,0,1,1,0,1,1,0,0.6107254038052641,0.6307838137201855,0.6979066959103799,0.8080002004516073,0.8112040327886678,1.2595631369732039,0.7156946676148886,0.7905539930377424
id06,2024-07-01,2024-06-30,0,1,1,1,1,1,1,0.8671875459560286,0.6119103627813408,1.0725663874500642,0.668818227569494,0.7577402564308339,0.7124026613694049,0.8059904712407696,0.7852308446854194
id08,2024-07-02,2024-07-01,0,1,0,0,1,1,1,0.8091116746882013,0.9735630285205692,0.8577816777802529,0.7290194537747555,0.751954919214396,0.5159060244979103,0.8535875952466813,0.784417767674681
id09,2024-08-28,2024-08-27,1,1,1,1,1,0,1,0.7131453785066109,0.6195694312360762,0.8445617876298601,0.6659529574096238,0.7122304856895116,0.8622699799011244,1.072559444566675,0.784327066419926
