comparison,left,right,row,subject_id,sleep_date,lifelog_date,target,p_left,p_right,diff_left_minus_right,absdiff
h144_minus_h057,h144,h057,148,id06,2024-08-22,2024-08-21,S4,0.9975609185366836,0.9974938621405658,6.7056396117815e-05,6.7056396117815e-05
h144_minus_h057,h144,h057,149,id06,2024-08-23,2024-08-22,Q3,0.7830102528790789,0.777022604386795,0.005987648492283837,0.005987648492283837
h144_minus_h057,h144,h057,150,id06,2024-08-24,2024-08-23,S2,0.9975045725890468,0.997425887183088,7.868540595878937e-05,7.868540595878937e-05
h144_minus_h057,h144,h057,151,id06,2024-08-25,2024-08-24,Q3,0.8203617386029087,0.8051517532471274,0.01520998535578133,0.01520998535578133
h144_minus_h057,h144,h057,151,id06,2024-08-25,2024-08-24,S2,0.9982258555181424,0.9981439428441186,8.191267402379854e-05,8.191267402379854e-05
h144_minus_h057,h144,h057,164,id07,2024-07-26,2024-07-25,Q1,0.545584010360181,0.5726236359257583,-0.027039625565577263,0.027039625565577263
h144_minus_h057,h144,h057,164,id07,2024-07-26,2024-07-25,S1,0.9311823330663808,0.9223507042282848,0.008831628838095962,0.008831628838095962
h144_minus_h057,h144,h057,164,id07,2024-07-26,2024-07-25,S4,0.3475078625912128,0.3773264958983826,-0.029818633307169773,0.029818633307169773
h144_minus_h057,h144,h057,188,id08,2024-08-10,2024-08-09,Q3,0.6968842633844559,0.6598227977319086,0.03706146565254731,0.03706146565254731
h144_minus_h057,h144,h057,205,id09,2024-08-10,2024-08-09,S1,0.9999662368102178,0.999966985574648,-7.487644302361929e-07,7.487644302361929e-07
h144_minus_h057,h144,h057,207,id09,2024-08-12,2024-08-11,S2,0.8088703526513159,0.8109870673810248,-0.0021167147297088684,0.0021167147297088684
h141_minus_h057,h141,h057,53,id02,2024-10-10,2024-10-09,S2,0.999970117993694,0.9999707660155708,-6.480218768256663e-07,6.480218768256663e-07
h141_minus_h057,h141,h057,55,id02,2024-10-13,2024-10-12,S1,0.9999755448530826,0.9999760576985588,-5.128454761971213e-07,5.128454761971213e-07
h141_minus_h057,h141,h057,59,id03,2024-08-17,2024-08-16,Q1,0.999969172709783,0.9999686570433794,5.15666403577697e-07,5.15666403577697e-07
h141_minus_h057,h141,h057,70,id03,2024-09-16,2024-09-15,Q1,0.9972526428565304,0.9972051395458154,4.750331071501357e-05,4.750331071501357e-05
h141_minus_h057,h141,h057,70,id03,2024-09-16,2024-09-15,Q3,0.7439560325143488,0.7379400612256236,0.006015971288725219,0.006015971288725219
h141_minus_h057,h141,h057,79,id03,2024-10-10,2024-10-09,Q1,0.9999653684112574,0.999965092483008,2.7592824936029103e-07,2.7592824936029103e-07
h141_minus_h057,h141,h057,93,id04,2024-09-27,2024-09-26,S1,0.9984733501920452,0.998429958276754,4.339191529123543e-05,4.339191529123543e-05
h141_minus_h057,h141,h057,101,id04,2024-10-24,2024-10-23,S1,0.9999955464096856,0.9999955296275088,1.6782176759377876e-08,1.6782176759377876e-08
h141_minus_h057,h141,h057,102,id04,2024-10-25,2024-10-24,S1,0.999969746000302,0.9999704219951868,-6.75994884846709e-07,6.75994884846709e-07
h141_minus_h057,h141,h057,103,id04,2024-10-26,2024-10-25,S1,0.9999958001992956,0.9999957361111348,6.408816077829727e-08,6.408816077829727e-08
h141_minus_h057,h141,h057,131,id06,2024-07-10,2024-07-09,S2,0.8848042783972068,0.8829916701436188,0.0018126082535879773,0.0018126082535879773
h141_minus_h057,h141,h057,135,id06,2024-07-14,2024-07-13,Q1,0.3133636981372535,0.3265168623517541,-0.013153164214500579,0.013153164214500579
h141_minus_h057,h141,h057,135,id06,2024-07-14,2024-07-13,Q3,0.831133196600419,0.8233562803446187,0.007776916255800237,0.007776916255800237
h141_minus_h057,h141,h057,136,id06,2024-07-16,2024-07-15,S1,0.9999966885999614,0.999996621705469,6.689449238983514e-08,6.689449238983514e-08
h141_minus_h057,h141,h057,137,id06,2024-07-17,2024-07-16,S1,0.9999772850121282,0.9999777475943514,-4.625822231929533e-07,4.625822231929533e-07
h141_minus_h057,h141,h057,144,id06,2024-08-14,2024-08-13,S2,0.9999959934471891,0.9999959292610848,6.418610432046279e-08,6.418610432046279e-08
h141_minus_h057,h141,h057,145,id06,2024-08-15,2024-08-14,S2,0.9999698969310435,0.9999705088278752,-6.118968316481954e-07,6.118968316481954e-07
h141_minus_h057,h141,h057,148,id06,2024-08-22,2024-08-21,S4,0.9975609185366836,0.9974938621405658,6.7056396117815e-05,6.7056396117815e-05
h141_minus_h057,h141,h057,149,id06,2024-08-23,2024-08-22,Q3,0.7830102528790789,0.777022604386795,0.005987648492283837,0.005987648492283837
h141_minus_h057,h141,h057,150,id06,2024-08-24,2024-08-23,S2,0.9975045725890468,0.997425887183088,7.868540595878937e-05,7.868540595878937e-05
h141_minus_h057,h141,h057,151,id06,2024-08-25,2024-08-24,Q3,0.8203617386029087,0.8051517532471274,0.01520998535578133,0.01520998535578133
h141_minus_h057,h141,h057,151,id06,2024-08-25,2024-08-24,S2,0.9982258555181424,0.9981439428441186,8.191267402379854e-05,8.191267402379854e-05
h141_minus_h057,h141,h057,164,id07,2024-07-26,2024-07-25,Q1,0.545584010360181,0.5726236359257583,-0.027039625565577263,0.027039625565577263
h141_minus_h057,h141,h057,164,id07,2024-07-26,2024-07-25,S1,0.9311823330663808,0.9223507042282848,0.008831628838095962,0.008831628838095962
h141_minus_h057,h141,h057,164,id07,2024-07-26,2024-07-25,S4,0.3475078625912128,0.3773264958983826,-0.029818633307169773,0.029818633307169773
h141_minus_h057,h141,h057,188,id08,2024-08-10,2024-08-09,Q3,0.6968842633844559,0.6598227977319086,0.03706146565254731,0.03706146565254731
h141_minus_h057,h141,h057,205,id09,2024-08-10,2024-08-09,S1,0.9999662368102178,0.999966985574648,-7.487644302361929e-07,7.487644302361929e-07
