candidate,outcome,public_lb_lo_exclusive,public_lb_hi_inclusive,world_update_class,next_action,candidate_to_test,forbidden_action,branch_status,allowed_next,forbidden
e166,clean_win,0.5762613298,0.5762760190999999,support,Use E166 as the new broad-world anchor and audit whether the top benefit cells are between-train-runs or S-stage driven.,conditional:e166_context_component_attribution,Do not jump to E169/E176 siblings; E176 already branch-lost and E166 asks a different raw broad-survivor question.,,,
e166,micro_win,0.5762760190999999,0.5762883298,weak_support,Keep E166 alive. Decode exact cells and compare against E167 top-benefit context before any same-family file.,conditional:e166_exact_cell_decoder,Do not treat a micro-win as evidence that broad survivor amplitude should increase.,,,
e166,tie,0.5762883298,0.5762943298,underresolved,"Keep E95 practical. Prefer E224 if the next question is JEPA, or E154 if the next question is the conservative branch.",conditional:e224_or_e154_by_question,Do not select an E166 sibling from a tie.,,,
e166,small_loss,0.5762943298,0.576300366,weak_rejection,"Do not rescue by scaling. Compare loss cells to E72-active and low-veto-null warnings, then choose E154 or new representation search.",conditional:e166_loss_cell_attribution_then_e154_or_search,Do not submit E169/E172/E174/E176 same-family broad repairs as automatic rescue.,,,
e166,mixmin_safe_loss,0.576300366,0.5763066405,rejection,Route away from broad survivor as an expected-score lane. Use E154 for conservative branch test or E224 for the distinct JEPA test.,conditional:e154_or_e224_by_question,Do not scale E166 or revive E176-like broad siblings.,,,
e166,broad_branch_loss,0.5763066405,0.576311831,strong_rejection,Treat E166 like E176: broad survivor body is public-misaligned at frontier resolution. Route to E154 or a non-collinear representation.,analysis_outputs/submission_e154_s3repair_9f2e2e73.csv,Do not submit E169/E172/E174/E176 as rescue variants.,,,
e166,broad_fail,0.576311831,0.5763413298,hard_rejection,Close E166-family expected-score followups. Use E154 if testing existing files; otherwise search for a new block/sequence target.,analysis_outputs/submission_e154_s3repair_9f2e2e73.csv,Do not interpret this as a reason to tune E166 amplitude; the branch itself failed.,,,
e166,e72_like_fail,0.5763413298,0.5764077772,very_hard_rejection,Run an E166 miss anatomy before any broad candidate. Treat E72-active broad survivor structure as public-dangerous.,conditional:e166_public_miss_anatomy,Do not submit any broad survivor sibling first.,,,
e166,s2_jepa_like_fail_or_worse,0.5764077772,inf,collapse,Do a root-cause miss anatomy and stop broad survivor submissions until a public-tail target is rebuilt.,conditional:e166_public_miss_anatomy,Do not use E166/E169/E176 as probability translators.,,,
e154,breakthrough_win,-inf,0.5762713298,,,,,validated_large,Promote E154 as a new public anchor and rerun exact-delta audits before spending any slot on sibling controls.,"Do not immediately submit submission_e155_bodytemp_d27e7965.csv, submission_e157_lowbodypareto_bd67930d.csv, or submission_e156_targetaxis_757546d2.csv; a large win changes the anchor geometry first."
e154,clean_win,0.5762713298,0.5762843298,,,,,validated_readable,"Promote E154. Use E155 only as a private-risk amplitude audit, not as the next automatic public file.",Do not target-axis tune before rebuilding the branch with E154 as an anchor.
e154,micro_win,0.5762843298,0.5762893298,,,,,validated_micro,Promote E154 cautiously; next local work should seek a non-collinear representation rather than sibling micro-controls.,Do not call this evidence for a broad 0.54 path; it remains calibration-scale.
e154,tie,0.5762893298,0.5762933297999999,,,conditional:submission_e155_bodytemp_d27e7965.csv,,ambiguous,Keep E95 as practical frontier. E155 is allowed only as an information-only amplitude contrast if attribution blames E154-added body.,Do not submit submission_e157_lowbodypareto_bd67930d.csv or submission_e156_targetaxis_757546d2.csv; their deltas versus E155 are below public-readable scale.
e154,small_loss,0.5762933297999999,0.576300366,,,conditional:submission_e155_bodytemp_d27e7965.csv,,conditional_alive,Use component attribution first. E155 is the clean follow-up only if added-body overextension is the culprit; otherwise use E144 as unrepaired contrast or pause.,Do not treat small loss as automatic lower-amplitude rescue; E159 often assigns loss to inherited E144 body.
e154,branch_loss,0.576300366,0.5763066405,,,information_only:submission_e144_activeboundary_d7b4b331.csv,,weak_rejected,Default to no same-family rescue. Use E144 only as an explicit unrepaired-branch contrast if that question is worth a public slot.,Do not rescue with submission_e157_lowbodypareto_bd67930d.csv or submission_e156_targetaxis_757546d2.csv; do not use E155 unless added-body blame is unexpectedly dominant.
e154,hard_fail,0.5763066405,inf,,,,,rejected,"Close repaired-branch siblings and return to representation search or, at most, use E144 as a final information-only branch contrast.","Do not submit submission_e155_bodytemp_d27e7965.csv, submission_e157_lowbodypareto_bd67930d.csv, or submission_e156_targetaxis_757546d2.csv."
