pool,base_agg,delta_agg,gate,n,pool_size,pool_support_mean,gate_active_q2s3,gate_weight_q2s3_mean,strict_gate,deployable_gate,loose_gate,all_margin_vs_mixmin,best_all_delta_vs_mixmin,best_all_minus_base,best_worst_set_delta,best_sets_beating_base,best_sets_tail_neutral,best_hidden_q2s3_minus_base,best_world_support_minus_base,best_block_win_rate
translator_tail_soft_p90_m0.50,mean,weighted_mean,agree55,6,13,1.4615384615384615,0.244,0.244,0,0,2,0,-9.17453528559431e-06,-4.409002832939102e-06,1.0719374381462643e-05,3,3,-0.00038206402284685775,-0.00033788407474014126,0.8055555555555556
top75_heldout_mean,mean,median,soft_signed,6,75,1.64,0.224,0.16269333333333333,0,0,2,0,-9.162114784189157e-06,-4.270261151351207e-06,7.944128618153634e-06,3,3,-0.00030221992990766416,-0.0002324693323145111,0.7777777777777778
translator_tail_soft_p90_m0.50,mean,median,top_abs50,6,13,1.4615384615384615,0.126,0.126,0,0,2,0,-9.15505385101767e-06,-4.3895213983624615e-06,1.0091856612270966e-05,3,3,-0.00033809731123891906,-0.0002530324939219676,0.6944444444444444
top75_heldout_mean,mean,weighted_mean,top_abs30,6,75,1.64,0.1,0.1,0,0,2,0,-9.137055751340384e-06,-4.2452021185024336e-06,6.777526618928498e-06,3,3,-0.00039586553641412364,-0.00029672749239100806,0.5833333333333334
all_unique,median,median,top_abs50,6,104,1.4903846153846154,0.112,0.112,0,0,2,0,-9.133509919490024e-06,-4.431129055126881e-06,7.051960749571151e-06,3,3,-0.00029582304230375833,-0.00021151947767278356,0.6111111111111112
all_unique,mean,mean,top_abs30,6,104,1.4903846153846154,0.1,0.1,0,0,2,0,-9.109353454439528e-06,-4.216059125705662e-06,6.455077709688339e-06,3,3,-0.0003490389401954244,-0.00027666432089086816,0.5833333333333334
top50_heldout_mean,median,mean,soft_agree_top50,6,50,1.84,0.148,0.12647999999999998,0,0,2,0,-9.100026688080298e-06,-4.440675714811881e-06,7.20537740628302e-06,3,3,-0.0003720502044223528,-0.0002972449943655364,0.6666666666666666
translator_tail_soft_p90_m1.00,mean,median,top_abs50,6,25,1.36,0.122,0.122,0,0,2,0,-9.093145294958305e-06,-4.139561320615215e-06,8.017737779142387e-06,3,3,-0.0003831451773799871,-0.000278957865581181,0.6388888888888888
support2_top50,mean,median,soft_signed_sq,6,50,2.0,0.234,0.15865919999999994,0,0,2,0,-9.083161048861754e-06,-4.336599765730753e-06,8.10979441889792e-06,3,3,-0.000350332241512645,-0.00026063141924934086,0.8055555555555556
top75_heldout_mean,mean,median,soft_signed_sq,6,75,1.64,0.224,0.12686257777777774,0,0,2,0,-9.081389359621994e-06,-4.189535726784044e-06,7.659089698464072e-06,3,3,-0.0003464405972549711,-0.0002666253815456433,0.7777777777777778
translator_tail_soft_p90_m0.50,mean,mean,agree55,6,13,1.4615384615384615,0.244,0.244,0,0,2,0,-9.076732944701682e-06,-4.311200492046474e-06,1.0753581555777991e-05,3,3,-0.0003774447486302318,-0.000336378821111899,0.8055555555555556
top50_heldout_mean,mean,mean,soft_signed_sq,6,50,1.84,0.226,0.16083519999999996,0,0,2,0,-9.072287665445877e-06,-4.27142019066018e-06,7.934476402460255e-06,3,3,-0.00036315485713557527,-0.0003019234437717233,0.7777777777777778
all_unique,median,signed_p75,top_abs50,6,104,1.4903846153846154,0.144,0.144,0,0,2,0,-9.06354113749952e-06,-4.3611602731363774e-06,6.726003122237145e-06,3,3,-0.0004109245068193712,-0.00033502635985311886,0.7222222222222222
translator_tail_soft_p90_m0.50,mean,weighted_mean,soft_agree_top50,6,13,1.4615384615384615,0.156,0.14723076923076922,0,0,2,0,-9.04954549463266e-06,-4.2840130419774525e-06,1.0240012382367603e-05,3,3,-0.0003449933419184051,-0.00028713019207322605,0.7222222222222222
support2_top50,mean,mean,soft_signed,6,50,2.0,0.234,0.18727999999999997,0,0,2,0,-9.037014829349488e-06,-4.290453546218487e-06,8.004356929602885e-06,3,3,-0.000368476539966911,-0.0003066339839519429,0.8055555555555556
support2,mean,mean,soft_signed,6,51,2.0,0.234,0.19070588235294123,0,0,2,0,-9.021439880241289e-06,-4.275763738847971e-06,8.039821228988941e-06,3,3,-0.00036818980514605193,-0.00030772424071475184,0.8055555555555556
top50_heldout_mean,mean,median,soft_agree_top50,6,50,1.84,0.118,0.10119999999999998,0,0,2,0,-9.020552177219088e-06,-4.2196847024333906e-06,8.207959893646866e-06,3,3,-0.0003133268815542767,-0.00020840564135659592,0.6111111111111112
support2_high_block,mean,mean,top_abs30,6,36,2.0,0.1,0.1,0,0,2,0,-9.002937756408258e-06,-4.246166941501706e-06,8.685403717345608e-06,3,3,-0.0003481616630312198,-0.0002253720137406711,0.5555555555555556
high_block,mean,mean,top_abs30,6,47,1.7659574468085106,0.1,0.1,0,0,2,0,-9.0022578405069e-06,-4.243847979146231e-06,8.592913190552665e-06,3,3,-0.0003571285603803376,-0.00025147802418635785,0.5555555555555556
support2_top50,median,median,soft_signed_sq,6,50,2.0,0.234,0.15865919999999994,0,0,2,0,-8.999430574974099e-06,-4.405952538033553e-06,7.570779075649625e-06,3,3,-0.0003503322415126381,-0.0002610130339064931,0.8055555555555556
top50_heldout_mean,median,mean,soft_signed_sq,6,50,1.84,0.226,0.16083519999999996,0,0,2,0,-8.978715334673204e-06,-4.319364361404787e-06,7.292437042893951e-06,3,3,-0.0003631548571355267,-0.00030331546329896426,0.7777777777777778
top75_heldout_mean,mean,signed_p75,top_abs30,6,75,1.64,0.086,0.086,0,0,2,0,-8.97589432924395e-06,-4.0840406964059994e-06,6.76908685504074e-06,3,3,-0.00042712640882571623,-0.00033127381106019533,0.5833333333333334
translator_tail_soft_p90_m0.50,mean,mean,soft_agree_top50,6,13,1.4615384615384615,0.152,0.1443076923076923,0,0,2,0,-8.954392802795752e-06,-4.188860350140544e-06,1.0278006104869064e-05,3,3,-0.00033909592505185215,-0.00028891546756072977,0.7222222222222222
top75_heldout_mean,median,weighted_mean,top_abs30,6,75,1.64,0.1,0.1,0,0,2,0,-8.953351144924682e-06,-4.2803003235114545e-06,6.295258878741272e-06,3,3,-0.000395865536414082,-0.00029536273403879,0.5833333333333334
support2,median,mean,soft_signed,6,51,2.0,0.234,0.19070588235294123,0,0,2,0,-8.947163441574979e-06,-4.337140022458996e-06,7.486469873585477e-06,3,3,-0.0003681898051459964,-0.0003083845056555789,0.8055555555555556
all_unique,mean,weighted_mean,top_abs30,6,104,1.4903846153846154,0.1,0.1,0,0,2,0,-8.941572014586896e-06,-4.04827768585303e-06,6.710766705220195e-06,3,3,-0.0004145710868524721,-0.00033175527929838453,0.5833333333333334
support2_top50,median,mean,soft_signed,6,50,2.0,0.234,0.18727999999999997,0,0,2,0,-8.940332037354892e-06,-4.346854000414346e-06,7.465274522111542e-06,3,3,-0.00036847653996689017,-0.00030706312232447455,0.8055555555555556
support2,mean,weighted_mean,top_abs30,6,51,2.0,0.1,0.1,0,0,2,0,-8.925883366872611e-06,-4.180207225479293e-06,7.045668347416267e-06,3,3,-0.0003984726072489425,-0.00028940406480126293,0.6111111111111112
support2_top50,mean,weighted_mean,top_abs30,6,50,2.0,0.1,0.1,0,0,2,0,-8.918860835427367e-06,-4.172299552296366e-06,7.050893240156952e-06,3,3,-0.00040104676909376996,-0.00029151603708137976,0.6111111111111112
top75_heldout_mean,median,median,soft_signed_sq,6,75,1.64,0.224,0.12686257777777774,0,0,2,0,-8.918809069946576e-06,-4.245758248533349e-06,7.201884535623648e-06,3,3,-0.00034644059725494336,-0.0002644976899566444,0.7777777777777778
all_unique,median,mean,top_abs30,6,104,1.4903846153846154,0.1,0.1,0,0,2,0,-8.905144414539379e-06,-4.202763550176236e-06,6.106370123770688e-06,3,3,-0.0003490389401954036,-0.00027520192350348753,0.5833333333333334
top50_heldout_mean,mean,weighted_mean,top_abs30,6,50,1.84,0.1,0.1,0,0,2,0,-8.903365771528726e-06,-4.102498296743029e-06,7.212699968062175e-06,3,3,-0.0004195286353384925,-0.00030720275975289484,0.6111111111111112
top50_heldout_mean,mean,signed_p75,top_abs30,6,50,1.84,0.082,0.082,0,0,2,0,-8.879725309940412e-06,-4.0788578351547145e-06,6.9088942817874255e-06,3,3,-0.0004181540341509707,-0.00031145147047081934,0.5833333333333334
support2_top50,mean,mean,soft_agree_top50,6,50,2.0,0.148,0.12103999999999998,0,0,2,0,-8.87804858540342e-06,-4.1314873022724186e-06,7.914063279157446e-06,3,3,-0.0003442781738150491,-0.0002766495343001496,0.6944444444444444
all_unique,mean,median,soft_signed,6,104,1.4903846153846154,0.222,0.11223076923076926,0,0,2,0,-8.856331675355378e-06,-3.963037346621512e-06,7.243953738078623e-06,3,3,-0.0003162976859735281,-0.00025417162504122177,0.75
support2,mean,mean,soft_agree_top50,6,51,2.0,0.148,0.12239215686274511,0,0,2,0,-8.853254092500151e-06,-4.107577951106833e-06,7.9476907859366e-06,3,3,-0.00034313206286237796,-0.0002766867651467608,0.6944444444444444
support2_high_block,median,weighted_mean,top_abs30,6,36,2.0,0.1,0.1,0,0,2,0,-8.852521446556239e-06,-4.282171565561654e-06,7.656714922865682e-06,3,3,-0.00037494799131733425,-0.00024725719704907223,0.5555555555555556
translator_tail_soft_p90_m0.50,mean,median,soft_agree_top50,6,13,1.4615384615384615,0.126,0.1183076923076923,0,0,2,0,-8.847676783996228e-06,-4.08214433134102e-06,1.0270512497689843e-05,3,3,-0.00033268512633972264,-0.0002557153252735645,0.6944444444444444
translator_tail_soft_p90_m1.00,median,median,top_abs50,6,25,1.36,0.122,0.122,0,0,2,0,-8.84689182167886e-06,-4.2277773570909005e-06,6.982701191704521e-06,3,3,-0.00038314517737994547,-0.0002791168187338932,0.6388888888888888
support2_high_block,median,mean,top_abs30,6,36,2.0,0.1,0.1,0,0,2,0,-8.842503916528521e-06,-4.272154035533937e-06,7.690473887489446e-06,3,3,-0.0003481616630311782,-0.0002270810560051407,0.5555555555555556
support2,median,weighted_mean,top_abs30,6,51,2.0,0.1,0.1,0,0,2,0,-8.83775293558653e-06,-4.227729516470546e-06,6.49218530834883e-06,3,3,-0.0003984726072489078,-0.0002905670727483267,0.6111111111111112
support2,mean,mean,soft_signed_sq,6,51,2.0,0.234,0.1644206074586698,0,0,2,0,-8.822613482672992e-06,-4.076937341279674e-06,7.95269058517789e-06,3,3,-0.00033931004263251796,-0.00028767651525825615,0.8055555555555556
support2_top50,mean,mean,soft_signed_sq,6,50,2.0,0.234,0.15865919999999994,0,0,2,0,-8.816410638434746e-06,-4.069849355303745e-06,7.911651510483786e-06,3,3,-0.00033674414499630656,-0.00028467062817973967,0.8055555555555556
top75_heldout_mean,median,signed_p75,top_abs30,6,75,1.64,0.086,0.086,0,0,2,0,-8.813285067521548e-06,-4.140234246108321e-06,6.272782060889881e-06,3,3,-0.0004271264088256746,-0.00033026935358072005,0.5833333333333334
top75_heldout_mean,mean,mean,soft_signed,6,75,1.64,0.224,0.16269333333333333,0,0,2,0,-8.80881009679424e-06,-3.916956463956289e-06,7.791739129014985e-06,3,3,-0.0003664335678350006,-0.0003255166407553744,0.7777777777777778
support2_top50,median,weighted_mean,top_abs30,6,50,2.0,0.1,0.1,0,0,2,0,-8.808397911286292e-06,-4.214919874345746e-06,6.522479442661044e-06,3,3,-0.00040104676909374914,-0.0002922102640384892,0.6111111111111112
support2_top50,mean,signed_p75,top_abs30,6,50,2.0,0.086,0.086,0,0,2,0,-8.795941892958403e-06,-4.049380609827402e-06,6.945463899898918e-06,3,3,-0.00041432132037785147,-0.0003163415786625601,0.5833333333333334
top50_heldout_mean,median,weighted_mean,top_abs30,6,50,1.84,0.1,0.1,0,0,2,0,-8.793176806243252e-06,-4.133825832974836e-06,6.6000660874365735e-06,3,3,-0.00041952863533848556,-0.00030680882893895913,0.6111111111111112
support2,mean,signed_p75,top_abs30,6,51,2.0,0.086,0.086,0,0,2,0,-8.792490883147153e-06,-4.046814741753835e-06,6.911473147241942e-06,3,3,-0.0004092660253761163,-0.0003109451298471289,0.5833333333333334
high_block,median,mean,top_abs30,6,47,1.7659574468085106,0.1,0.1,0,0,2,0,-8.784727373645218e-06,-4.221846661711659e-06,7.660520093266676e-06,3,3,-0.0003571285603803376,-0.00025224736162832726,0.5555555555555556
support2,median,mean,soft_agree_top50,6,51,2.0,0.148,0.12239215686274511,0,0,2,0,-8.78269447768254e-06,-4.172671058566557e-06,7.394348787492788e-06,3,3,-0.00034313206286235715,-0.0002769278813418098,0.6944444444444444
support2_top50,median,mean,soft_agree_top50,6,50,2.0,0.148,0.12103999999999998,0,0,2,0,-8.78138996485145e-06,-4.187911927910903e-06,7.374985781738452e-06,3,3,-0.0003442781738150144,-0.0002766353408511445,0.6944444444444444
all_unique,mean,median,soft_agree_top50,6,104,1.4903846153846154,0.112,0.06946153846153846,0,0,2,0,-8.779293938387944e-06,-3.885999609654078e-06,7.1113601012307015e-06,3,3,-0.00029414430117725987,-0.00022570402916832202,0.6111111111111112
high_block,median,weighted_mean,top_abs30,6,47,1.7659574468085106,0.1,0.1,0,0,2,0,-8.774587847315551e-06,-4.211707135381992e-06,7.66708401434002e-06,3,3,-0.00038181633547074156,-0.00026681116693652585,0.5555555555555556
translator_tail_soft_p90_m0.50,median,signed_p75,soft_agree_top50,6,13,1.4615384615384615,0.138,0.12707692307692306,0,0,2,0,-8.762877787504841e-06,-4.535184796261582e-06,1.2170613204354197e-05,3,3,-0.00034977641243286867,-0.00028049671516501844,0.7222222222222222
top50_heldout_mean,median,signed_p75,top_abs30,6,50,1.84,0.082,0.082,0,0,2,0,-8.757733978237425e-06,-4.0983830049690084e-06,6.266051221781588e-06,3,3,-0.0004181540341509568,-0.00031329927042486605,0.5833333333333334
top75_heldout_mean,mean,mean,soft_agree_top50,6,75,1.64,0.146,0.11069333333333331,0,0,2,0,-8.749372206739991e-06,-3.857518573902041e-06,7.649711495139044e-06,3,3,-0.00034443544120225933,-0.0003009150163700181,0.6666666666666666
support2,median,mean,soft_signed_sq,6,51,2.0,0.234,0.1644206074586698,0,0,2,0,-8.748352597010012e-06,-4.138329177894029e-06,7.399349445158521e-06,3,3,-0.0003393100426324555,-0.0002886278644643025,0.8055555555555556
support2,median,signed_p75,top_abs30,6,51,2.0,0.086,0.086,0,0,2,0,-8.725902412631825e-06,-4.115878993515842e-06,6.369235218461888e-06,3,3,-0.0004092660253760816,-0.0003122716223023681,0.5833333333333334
support2_top50,median,mean,soft_signed_sq,6,50,2.0,0.234,0.15865919999999994,0,0,2,0,-8.719745370977527e-06,-4.1262673340369815e-06,7.372577294328941e-06,3,3,-0.0003367441449962649,-0.00028529591698125967,0.8055555555555556
all_unique,median,weighted_mean,top_abs30,6,104,1.4903846153846154,0.1,0.1,0,0,2,0,-8.71081546494068e-06,-4.008434600577537e-06,6.352918444973987e-06,3,3,-0.00041457108685245825,-0.000331524452170423,0.5833333333333334
support2_top50,median,signed_p75,top_abs30,6,50,2.0,0.086,0.086,0,0,2,0,-8.699250061861008e-06,-4.105772024920462e-06,6.451593944856171e-06,3,3,-0.00041432132037783065,-0.0003172158627413157,0.5833333333333334
translator_tail_soft_p90_m1.00,mean,median,soft_agree_top50,6,25,1.36,0.122,0.11096,0,0,2,0,-8.675234019039912e-06,-3.7216500446968226e-06,8.238945601202197e-06,3,3,-0.0003613719564770357,-0.00028611957682200275,0.6388888888888888
top75_heldout_mean,median,mean,soft_signed,6,75,1.64,0.224,0.16269333333333333,0,0,2,0,-8.671278653893388e-06,-3.998227832480161e-06,7.336653825573691e-06,3,3,-0.0003664335678349173,-0.0003234650780006788,0.7777777777777778
translator_tail_soft_p90_m0.50,median,median,top_abs50,6,13,1.4615384615384615,0.126,0.126,0,0,2,0,-8.66389689357927e-06,-4.436203902336011e-06,1.2288893329381878e-05,3,3,-0.0003380973112389468,-0.0002548292899665959,0.6944444444444444
all_unique,median,median,soft_signed,6,104,1.4903846153846154,0.222,0.11223076923076926,0,0,2,0,-8.657586349047897e-06,-3.955205484684754e-06,6.898580978242919e-06,3,3,-0.00031629768597352115,-0.0002536655714370894,0.75
translator_tail_soft_p90_m0.50,median,weighted_mean,agree55,6,13,1.4615384615384615,0.244,0.244,0,0,2,0,-8.63237613279999e-06,-4.404683141556731e-06,1.2943194836467775e-05,3,3,-0.00038206402284687163,-0.0003392636828946805,0.8055555555555556
top75_heldout_mean,median,mean,soft_agree_top50,6,75,1.64,0.146,0.11069333333333331,0,0,2,0,-8.6099765077563e-06,-3.9369256863430735e-06,7.194623657058585e-06,3,3,-0.0003444354412022038,-0.00029918254620383005,0.6666666666666666
top75_heldout_mean,mean,mean,soft_signed_sq,6,75,1.64,0.224,0.12686257777777774,0,0,2,0,-8.60349162301599e-06,-3.7116379901780405e-06,7.634707669956775e-06,3,3,-0.00032685061298794865,-0.0002924211728700999,0.7777777777777778
all_unique,median,median,soft_agree_top50,6,104,1.4903846153846154,0.112,0.06946153846153846,0,0,2,0,-8.592506642646214e-06,-3.890125778283071e-06,6.7660023654880774e-06,3,3,-0.0002941443011772807,-0.00022543103014489039,0.6111111111111112
all_unique,mean,median,soft_signed_sq,6,104,1.4903846153846154,0.222,0.07654733727810652,0,0,2,0,-8.540379542454346e-06,-3.64708521372048e-06,6.970304360698343e-06,3,3,-0.00027025985311852213,-0.00021674864999109427,0.75
translator_tail_soft_p90_m0.50,mean,mean,top_abs30,6,13,1.4615384615384615,0.1,0.1,0,0,2,0,-8.519959439734492e-06,-3.7544269870792846e-06,9.581034585259829e-06,3,3,-0.00039225534797054235,-0.00027535796788559215,0.5833333333333334
all_unique,median,median,soft_signed_sq,6,104,1.4903846153846154,0.222,0.07654733727810652,0,0,2,0,-8.35158693401894e-06,-3.649206069655797e-06,6.624944630106988e-06,3,3,-0.0002702598531185152,-0.00021627946635852666,0.75
all_unique,mean,mean,soft_signed,6,104,1.4903846153846154,0.222,0.11223076923076926,0,0,2,0,-8.272403949072249e-06,-3.379109620338383e-06,7.359836466158676e-06,3,3,-0.0003284613765956179,-0.00030278720201689095,0.75
all_unique,mean,mean,soft_agree_top50,6,104,1.4903846153846154,0.142,0.08507692307692309,0,0,2,0,-8.245610364721045e-06,-3.3523160359871795e-06,7.304414558206851e-06,3,3,-0.00031857425331880546,-0.00029101774003155727,0.6666666666666666
translator_tail_soft_p90_m0.50,median,weighted_mean,top_abs30,6,13,1.4615384615384615,0.1,0.1,0,0,2,0,-8.159679085184557e-06,-3.931986093941298e-06,1.1814661832532103e-05,3,3,-0.00039821901283080413,-0.00027830968998900367,0.5833333333333334
translator_tail_soft_p90_m0.50,mean,signed_p75,s3_only,6,13,1.4615384615384615,0.5,0.5,0,0,1,2,-1.1458826558841118e-05,-6.69329410618591e-06,1.1214507247836458e-05,3,3,-9.680133117709322e-05,-4.234880518432806e-05,0.75
top50_heldout_mean,mean,mean,s3_only,6,50,1.84,0.5,0.5,0,0,1,2,-1.0604527044488776e-05,-5.803659569703079e-06,8.37133078424035e-06,3,3,-0.0001375859129961743,-5.9842741643079036e-05,0.7777777777777778
high_block,mean,signed_p75,none,6,47,1.7659574468085106,1.0,1.0,0,0,1,2,-1.0481849603949378e-05,-5.72343974258871e-06,9.206506846881624e-06,3,3,-0.00035531336358898824,-0.00028606082056411,0.8333333333333334
top50_heldout_mean,median,mean,s3_only,6,50,1.84,0.5,0.5,0,0,1,1,-1.0406680495678167e-05,-5.74732952240975e-06,7.729359686958759e-06,3,3,-0.00013758591299615347,-5.978323110464854e-05,0.7777777777777778
translator_tail_soft_p90_m1.00,mean,weighted_mean,none,6,25,1.36,1.0,1.0,0,0,1,1,-1.0391897769634895e-05,-5.438313795291805e-06,8.56236931734422e-06,3,3,-0.0003774843286906901,-0.000317977418004628,0.8333333333333334
translator_tail_soft_p90_m1.00,mean,mean,none,6,25,1.36,1.0,1.0,0,0,1,1,-1.037199180564663e-05,-5.41840783130354e-06,8.596785287529052e-06,3,3,-0.0003642576485971688,-0.00030922032585030683,0.8333333333333334
top75_heldout_mean,mean,weighted_mean,s3_only,6,75,1.64,0.5,0.5,0,0,1,2,-1.0310294704884981e-05,-5.418441072047031e-06,7.945436208744994e-06,3,3,-0.0001518293267010265,-6.55886953771724e-05,0.7777777777777778
support2,mean,signed_p75,s3_only,6,51,2.0,0.5,0.5,0,0,1,2,-1.028707954997543e-05,-5.541403408582113e-06,8.344126791404172e-06,3,3,-0.00017823936767402682,-8.85318362441323e-05,0.7222222222222222
high_block,median,signed_p75,none,6,47,1.7659574468085106,1.0,1.0,0,0,1,1,-1.0268678342306714e-05,-5.705797630373155e-06,8.2845683702093e-06,3,3,-0.00035531336358897436,-0.00028717670012267673,0.8333333333333334
support2_top50,mean,signed_p75,s3_only,6,50,2.0,0.5,0.5,0,0,1,2,-1.026584290930721e-05,-5.519281626176209e-06,8.364932482685106e-06,3,3,-0.0001802846896601859,-8.99097077474765e-05,0.7222222222222222
high_block,mean,mean,none,6,47,1.7659574468085106,1.0,1.0,0,0,1,1,-1.0202376145018732e-05,-5.443966283658064e-06,9.427084434743271e-06,3,3,-0.00026469328475896975,-0.00020999484032498388,0.8333333333333334
support2,median,signed_p75,s3_only,6,51,2.0,0.5,0.5,0,0,1,2,-1.0194374829075592e-05,-5.584351409959609e-06,7.790756356707007e-06,3,3,-0.000178239367674006,-9.000899335606118e-05,0.7222222222222222
high_block,mean,weighted_mean,none,6,47,1.7659574468085106,1.0,1.0,0,0,1,1,-1.0166514157416984e-05,-5.408104296056315e-06,9.407256112758944e-06,3,3,-0.00028284208724647236,-0.00022339746146735604,0.8333333333333334
support2_top50,median,signed_p75,s3_only,6,50,2.0,0.5,0.5,0,0,1,1,-1.015884622224128e-05,-5.565368185300734e-06,7.825825996676805e-06,3,3,-0.00018028468966020672,-9.119153415720893e-05,0.7222222222222222
support2_high_block,mean,weighted_mean,none,6,36,2.0,1.0,1.0,0,0,1,1,-1.0119514940010177e-05,-5.3627441251036245e-06,9.408352881212778e-06,3,3,-0.0002776966087812971,-0.0002156676355478948,0.8333333333333334
translator_tail_soft_p90_m1.00,median,weighted_mean,none,6,25,1.36,1.0,1.0,0,0,1,1,-1.01192835683106e-05,-5.500169103722641e-06,7.525386130136091e-06,3,3,-0.00037748432869066234,-0.00031846656364595835,0.8333333333333334
top75_heldout_mean,median,weighted_mean,s3_only,6,75,1.64,0.5,0.5,0,0,1,1,-1.0112830618136393e-05,-5.439779796723165e-06,7.490104869667391e-06,3,3,-0.00015182932670099875,-6.618554095730311e-05,0.7777777777777778
top50_heldout_mean,mean,weighted_mean,s3_only,6,50,1.84,0.5,0.5,0,0,1,2,-1.0099322526158083e-05,-5.298455051372386e-06,8.153754668005497e-06,3,3,-0.00016211179765202727,-6.86846166994715e-05,0.7777777777777778
translator_tail_soft_p90_m1.00,median,mean,none,6,25,1.36,1.0,1.0,0,0,1,1,-1.0095981170188395e-05,-5.476866705600436e-06,7.559807783219519e-06,3,3,-0.0003642576485971549,-0.00030946826609573033,0.8333333333333334
support2,mean,weighted_mean,s3_only,6,51,2.0,0.5,0.5,0,0,1,1,-1.009536047402726e-05,-5.349684332633942e-06,8.094951577497511e-06,3,3,-0.00015404716737613816,-6.587635192960013e-05,0.7777777777777778
support2_high_block,mean,mean,none,6,36,2.0,1.0,1.0,0,0,1,1,-1.0086816804921739e-05,-5.330045990015186e-06,9.450429695023743e-06,3,3,-0.00025546293927435765,-0.00019616790250047704,0.8333333333333334
support2_top50,mean,weighted_mean,s3_only,6,50,2.0,0.5,0.5,0,0,1,1,-1.0073355188655597e-05,-5.326793905524596e-06,8.092645642721052e-06,3,3,-0.00015502117685153166,-6.630270347969818e-05,0.7777777777777778
top75_heldout_mean,mean,weighted_mean,none,6,75,1.64,1.0,1.0,0,0,1,1,-1.0057842809607642e-05,-5.165989176769692e-06,7.493126795599103e-06,3,3,-0.0003455803556992945,-0.0002795236357348962,0.8333333333333334
support2_high_block,mean,signed_p75,none,6,36,2.0,1.0,1.0,0,0,1,1,-1.002312211306755e-05,-5.266351298160998e-06,9.252745372667626e-06,3,3,-0.00033751165169389197,-0.0002687428249273981,0.8333333333333334
high_block,median,mean,none,6,47,1.7659574468085106,1.0,1.0,0,0,1,1,-1.000960000863138e-05,-5.446719296697822e-06,8.495241538009068e-06,3,3,-0.0002646932847589628,-0.00021122328171689912,0.8333333333333334
support2,mean,weighted_mean,none,6,51,2.0,1.0,1.0,0,0,1,0,-9.975960663766159e-06,-5.230284522372841e-06,7.66263572360426e-06,3,3,-0.00033843108414952777,-0.0002641127271699351,0.8333333333333334
high_block,median,weighted_mean,none,6,47,1.7659574468085106,1.0,1.0,0,0,1,0,-9.975845071119593e-06,-5.412964359186034e-06,8.476297895465557e-06,3,3,-0.0002828420872464585,-0.00022464039810974343,0.8333333333333334
support2,median,weighted_mean,s3_only,6,51,2.0,0.5,0.5,0,0,1,0,-9.972961578563755e-06,-5.362938159447772e-06,7.54162225491406e-06,3,3,-0.00015404716737610347,-6.636792589859728e-05,0.7777777777777778
top50_heldout_mean,mean,weighted_mean,none,6,50,1.84,1.0,1.0,0,0,1,0,-9.972926412693539e-06,-5.172058937907842e-06,7.75142210929225e-06,3,3,-0.0003549424164399004,-0.00027680456594778025,0.8333333333333334
support2_top50,mean,weighted_mean,none,6,50,2.0,1.0,1.0,0,0,1,0,-9.963569078896839e-06,-5.217007795765838e-06,7.670605073673009e-06,3,3,-0.00034016617401293886,-0.000265345576817866,0.8333333333333334
top50_heldout_mean,median,weighted_mean,s3_only,6,50,1.84,0.5,0.5,0,0,1,0,-9.944260842886798e-06,-5.284909869618382e-06,7.511723095876555e-06,3,3,-0.00016211179765202033,-6.891146068690448e-05,0.7777777777777778
support2_high_block,median,weighted_mean,none,6,36,2.0,1.0,1.0,0,0,1,0,-9.935331238053458e-06,-5.364981357058873e-06,8.409585006363685e-06,3,3,-0.0002776966087812763,-0.00021846896231397794,0.8333333333333334
support2_top50,median,weighted_mean,s3_only,6,50,2.0,0.5,0.5,0,0,1,0,-9.931467469970201e-06,-5.337989433029655e-06,7.553577581753679e-06,3,3,-0.00015502117685152472,-6.67102158189159e-05,0.7777777777777778
support2,median,weighted_mean,none,6,51,2.0,1.0,1.0,0,0,1,0,-9.901621039642983e-06,-5.291597620527e-06,7.130826700230131e-06,3,3,-0.0003384310841494931,-0.0002654479310303826,0.8333333333333334
support2_high_block,median,mean,none,6,36,2.0,1.0,1.0,0,0,1,0,-9.888838996330307e-06,-5.318489115335723e-06,8.451675620135823e-06,3,3,-0.0002554629392743299,-0.00019896922926668226,0.8333333333333334
top75_heldout_mean,median,weighted_mean,none,6,75,1.64,1.0,1.0,0,0,1,0,-9.887863015922704e-06,-5.214812194509477e-06,7.012810829709615e-06,3,3,-0.000345580355699239,-0.00027854227686364714,0.8333333333333334
top50_heldout_mean,median,weighted_mean,none,6,50,1.84,1.0,1.0,0,0,1,0,-9.873133461901773e-06,-5.213782488633356e-06,7.109421497175639e-06,3,3,-0.00035494241643987956,-0.000277675208822481,0.8333333333333334
support2_top50,median,weighted_mean,none,6,50,2.0,1.0,1.0,0,0,1,0,-9.87192240597956e-06,-5.278444369039015e-06,7.161399496413701e-06,3,3,-0.00034016617401290417,-0.0002662953664741784,0.8333333333333334
support2_high_block,median,signed_p75,none,6,36,2.0,1.0,1.0,0,0,1,0,-9.850809066014321e-06,-5.280459185019737e-06,8.253961967130685e-06,3,3,-0.00033751165169385033,-0.00027154415169352024,0.8333333333333334
all_unique,mean,median,s3_only,6,104,1.4903846153846154,0.5,0.5,0,0,1,0,-9.792107780626225e-06,-4.898813451892359e-06,8.00493603592134e-06,3,3,-0.00012344511235590216,-5.6490982260920574e-05,0.6111111111111112
