sensor,family,mode,expected_delta_vs_e95,error_vs_actual_delta,abs_error_vs_actual_delta,predicted_e116_branch,actual_branch,branch_matches_actual,p_beats_e95,hard_support_cells,hard_support_flip_share,top10_support_rate,top23_support_rate,s3_support_rate,notes
flank_nearest_beta,train_flank_prior,probability_expectation,5.752975934989627e-06,-3.283224065044729e-06,3.283224065044729e-06,small_loss,small_loss,True,,,,,,,expected hard-label delta from E118 support probabilities
flank_both_equal_beta,train_flank_prior,probability_expectation,4.719682807237341e-06,-4.316517192797015e-06,4.316517192797015e-06,small_loss,small_loss,True,,,,,,,expected hard-label delta from E118 support probabilities
raw_raw_plus_prior_y1,raw_context_prior,probability_expectation,1.4020824500646701e-05,4.9846245006123456e-06,4.9846245006123456e-06,small_loss,small_loss,True,,,,,,,expected hard-label delta from E114 raw-context support probabilities
raw_validation_gated_raw_y1,raw_context_prior,probability_expectation,1.4457080095064225e-05,5.420880095029869e-06,5.420880095029869e-06,small_loss,small_loss,True,,,,,,,expected hard-label delta from E114 raw-context support probabilities
flank_both_distance_beta,train_flank_prior,hard_p_ge_0p5,3.5230690241709703e-06,-5.513130975863386e-06,5.513130975863386e-06,small_loss,small_loss,True,,29.0,0.6750445909614728,0.9,0.782608695652174,0.5897435897435898,deterministic support if support probability >= 0.5
flank_edge_endpoint_beta,train_flank_prior,probability_expectation,3.0144465355723137e-06,-6.0217534644620415e-06,6.0217534644620415e-06,small_loss,small_loss,True,,,,,,,expected hard-label delta from E118 support probabilities
flank_nearest_hard085,train_flank_prior,hard_p_ge_0p5,1.5534239686129155e-06,-7.48277603142144e-06,7.48277603142144e-06,tie,small_loss,False,,30.0,0.6814321716256992,0.9,0.782608695652174,0.5897435897435898,deterministic support if support probability >= 0.5
flank_nearest_hard085,train_flank_prior,probability_expectation,1.83371014772068e-05,9.300901477172444e-06,9.300901477172444e-06,small_loss,small_loss,True,,,,,,,expected hard-label delta from E118 support probabilities
e119_local_transfer_active_all_p95,local_tail_transfer,scenario_p95,-1.5640787922212426e-06,-1.0600278792255598e-05,1.0600278792255598e-05,tie,small_loss,False,,,,,,,"loss-side p95 still predicted near tie/win, not observed small-loss"
flank_edge_endpoint_beta,train_flank_prior,hard_p_ge_0p5,-8.630384401578e-06,-1.7666584401612355e-05,1.7666584401612355e-05,small_win,small_loss,False,,31.0,0.714458374621036,1.0,0.8260869565217391,0.6153846153846154,deterministic support if support probability >= 0.5
flank_nearest_beta,train_flank_prior,hard_p_ge_0p5,-8.630384401578e-06,-1.7666584401612355e-05,1.7666584401612355e-05,small_win,small_loss,False,,31.0,0.714458374621036,1.0,0.8260869565217391,0.6153846153846154,deterministic support if support probability >= 0.5
flank_next_beta,train_flank_prior,hard_p_ge_0p5,-1.0665200168087772e-05,-1.970140016812213e-05,1.970140016812213e-05,small_win,small_loss,False,,29.0,0.7210573046205013,1.0,0.8260869565217391,0.6666666666666666,deterministic support if support probability >= 0.5
raw_global_prior_y1,raw_context_prior,hard_p_ge_0p5,3.031053440592503e-05,2.1274334405890674e-05,2.1274334405890674e-05,large_loss,small_loss,False,,25.0,0.5881725449381068,0.8,0.6956521739130435,0.48717948717948717,deterministic support if raw support probability >= 0.5
flank_global,train_flank_prior,hard_p_ge_0p5,3.031053440592503e-05,2.1274334405890674e-05,2.1274334405890674e-05,large_loss,small_loss,False,,25.0,0.5881725449381068,0.8,0.6956521739130435,0.48717948717948717,deterministic support if support probability >= 0.5
raw_validation_gated_raw_y1,raw_context_prior,hard_p_ge_0p5,-1.3172442037919543e-05,-2.2208642037953897e-05,2.2208642037953897e-05,edge_win,small_loss,False,,29.0,0.7291883176896246,0.9,0.8260869565217391,0.6666666666666666,deterministic support if raw support probability >= 0.5
e119_local_transfer_active_all,local_tail_transfer,scenario_mean,-1.6205291750596722e-05,-2.5241491750631078e-05,2.5241491750631078e-05,edge_win,small_loss,False,0.9834878331402086,,,,,,pre-public local stress for full E101 active set
raw_raw_plus_prior_y1,raw_context_prior,hard_p_ge_0p5,-1.6709806298113883e-05,-2.574600629814824e-05,2.574600629814824e-05,edge_win,small_loss,False,,31.0,0.7406600290454263,0.9,0.8260869565217391,0.6666666666666666,deterministic support if raw support probability >= 0.5
flank_conflict_flat,train_flank_prior,hard_p_ge_0p5,-2.9459960711896284e-05,-3.849616071193064e-05,3.849616071193064e-05,edge_win,small_loss,False,,37.0,0.7820089205980248,1.0,0.8695652173913043,0.6923076923076923,deterministic support if support probability >= 0.5
raw_global_prior_y1,raw_context_prior,probability_expectation,4.894988444062118e-05,3.9913684440586823e-05,3.9913684440586823e-05,large_loss,small_loss,False,,,,,,,expected hard-label delta from E114 raw-context support probabilities
flank_global,train_flank_prior,probability_expectation,4.8949884440621714e-05,3.991368444058736e-05,3.991368444058736e-05,large_loss,small_loss,False,,,,,,,expected hard-label delta from E118 support probabilities
