band,n_worlds,swing_rank,sub_idx,target_idx,target,hidden_block_id,subject_id,support_label,swing,p_y1_visible_mean,visible_support,world_p_y1,world_support,between_train_runs,e72_active,e101_active,pos_bin,context_type
best5_current_anchor_residual,5,6,135,3,S1,id06_b2,id06,0,4.08231116385415e-06,0.9009126984126984,0.0990873015873016,1.0,0.0,True,True,False,right_edge,between_train_runs
best5_current_anchor_residual,5,7,143,3,S1,id06_b8,id06,0,4.0173899301949476e-06,0.8997362278244632,0.1002637721755368,1.0,0.0,True,False,False,near_edge,between_train_runs
best5_current_anchor_residual,5,8,182,2,Q3,id08_b2,id08,1,4.0153139348455865e-06,0.3324829931972789,0.3324829931972789,0.2,0.2,True,True,False,left_edge,between_train_runs
best5_current_anchor_residual,5,9,205,4,S2,id09_b2,id09,0,3.994973872111499e-06,0.8006241539996212,0.1993758460003788,0.8,0.19999999999999996,True,False,False,interior,between_train_runs
best5_current_anchor_residual,5,10,136,3,S1,id06_b4,id06,0,3.980857602837729e-06,0.901063074352548,0.098936925647452,1.0,0.0,True,True,False,left_edge,between_train_runs
best5_current_anchor_residual,5,11,139,5,S3,id06_b4,id06,0,3.935892347215614e-06,0.9072119815668204,0.0927880184331797,1.0,0.0,True,False,False,near_edge,between_train_runs
best5_current_anchor_residual,5,12,180,3,S1,id07_b4,id07,0,3.914537352039933e-06,0.8084142743326416,0.1915857256673584,1.0,0.0,False,False,False,near_edge,after_train_run
best5_current_anchor_residual,5,13,63,3,S1,id03_b2,id03,0,3.819250130072624e-06,0.5710617160617161,0.4289382839382839,1.0,0.0,True,False,False,interior,between_train_runs
best5_current_anchor_residual,5,14,70,6,S4,id03_b4,id03,1,3.816224322441172e-06,0.4250937950937951,0.4250937950937951,0.2,0.2,False,False,False,left_edge,after_train_run
best5_current_anchor_residual,5,15,113,0,Q1,id05_b2,id05,1,3.7916903077560728e-06,0.6546385937295028,0.6546385937295028,0.6,0.6,True,False,False,right_edge,between_train_runs
best5_current_anchor_residual,5,16,132,3,S1,id06_b2,id06,0,3.7914287961146752e-06,0.8977640103660512,0.1022359896339487,1.0,0.0,True,False,False,interior,between_train_runs
best10_current_anchor_residual,10,1,141,3,S1,id06_b6,id06,0,5.831957756260338e-06,0.9013522588522588,0.0986477411477411,0.9,0.09999999999999998,True,False,False,single,between_train_runs
best10_current_anchor_residual,10,2,196,2,Q3,id08_b10,id08,1,4.561672802748853e-06,0.335671768707483,0.335671768707483,0.3,0.3,True,True,False,right_edge,between_train_runs
best10_current_anchor_residual,10,3,190,2,Q3,id08_b6,id08,1,4.531208669250164e-06,0.6037414965986395,0.6037414965986395,0.3,0.3,True,True,False,left_edge,between_train_runs
best10_current_anchor_residual,10,4,194,2,Q3,id08_b10,id08,1,4.466217533693996e-06,0.3516156462585034,0.3516156462585034,0.4,0.4,True,True,False,near_edge,between_train_runs
best10_current_anchor_residual,10,5,67,6,S4,id03_b2,id03,1,4.431570249905037e-06,0.1876479076479076,0.1876479076479076,0.3,0.3,True,False,False,interior,between_train_runs
best10_current_anchor_residual,10,6,135,3,S1,id06_b2,id06,0,4.08231116385415e-06,0.9009126984126984,0.0990873015873016,1.0,0.0,True,True,False,right_edge,between_train_runs
best10_current_anchor_residual,10,7,143,3,S1,id06_b8,id06,0,4.0173899301949476e-06,0.8997362278244632,0.1002637721755368,1.0,0.0,True,False,False,near_edge,between_train_runs
best10_current_anchor_residual,10,8,182,2,Q3,id08_b2,id08,1,4.0153139348455865e-06,0.3324829931972789,0.3324829931972789,0.1,0.1,True,True,False,left_edge,between_train_runs
best10_current_anchor_residual,10,9,205,4,S2,id09_b2,id09,0,3.994973872111499e-06,0.8006241539996212,0.1993758460003788,0.9,0.09999999999999998,True,False,False,interior,between_train_runs
best10_current_anchor_residual,10,10,136,3,S1,id06_b4,id06,0,3.980857602837729e-06,0.901063074352548,0.098936925647452,1.0,0.0,True,True,False,left_edge,between_train_runs
best10_current_anchor_residual,10,11,139,5,S3,id06_b4,id06,0,3.935892347215614e-06,0.9072119815668204,0.0927880184331797,1.0,0.0,True,False,False,near_edge,between_train_runs
best10_current_anchor_residual,10,12,180,3,S1,id07_b4,id07,0,3.914537352039933e-06,0.8084142743326416,0.1915857256673584,0.8,0.19999999999999996,False,False,False,near_edge,after_train_run
best10_current_anchor_residual,10,13,63,3,S1,id03_b2,id03,0,3.819250130072624e-06,0.5710617160617161,0.4289382839382839,0.8,0.19999999999999996,True,False,False,interior,between_train_runs
best10_current_anchor_residual,10,14,70,6,S4,id03_b4,id03,1,3.816224322441172e-06,0.4250937950937951,0.4250937950937951,0.2,0.2,False,False,False,left_edge,after_train_run
best10_current_anchor_residual,10,15,113,0,Q1,id05_b2,id05,1,3.7916903077560728e-06,0.6546385937295028,0.6546385937295028,0.6,0.6,True,False,False,right_edge,between_train_runs
best10_current_anchor_residual,10,16,132,3,S1,id06_b2,id06,0,3.7914287961146752e-06,0.8977640103660512,0.1022359896339487,1.0,0.0,True,False,False,interior,between_train_runs
best15_current_anchor_residual,15,1,141,3,S1,id06_b6,id06,0,5.831957756260338e-06,0.9013522588522588,0.0986477411477411,0.9333333333333333,0.06666666666666665,True,False,False,single,between_train_runs
best15_current_anchor_residual,15,2,196,2,Q3,id08_b10,id08,1,4.561672802748853e-06,0.335671768707483,0.335671768707483,0.4,0.4,True,True,False,right_edge,between_train_runs
best15_current_anchor_residual,15,3,190,2,Q3,id08_b6,id08,1,4.531208669250164e-06,0.6037414965986395,0.6037414965986395,0.2,0.2,True,True,False,left_edge,between_train_runs
best15_current_anchor_residual,15,4,194,2,Q3,id08_b10,id08,1,4.466217533693996e-06,0.3516156462585034,0.3516156462585034,0.5333333333333333,0.5333333333333333,True,True,False,near_edge,between_train_runs
best15_current_anchor_residual,15,5,67,6,S4,id03_b2,id03,1,4.431570249905037e-06,0.1876479076479076,0.1876479076479076,0.2,0.2,True,False,False,interior,between_train_runs
best15_current_anchor_residual,15,6,135,3,S1,id06_b2,id06,0,4.08231116385415e-06,0.9009126984126984,0.0990873015873016,1.0,0.0,True,True,False,right_edge,between_train_runs
best15_current_anchor_residual,15,7,143,3,S1,id06_b8,id06,0,4.0173899301949476e-06,0.8997362278244632,0.1002637721755368,1.0,0.0,True,False,False,near_edge,between_train_runs
best15_current_anchor_residual,15,8,182,2,Q3,id08_b2,id08,1,4.0153139348455865e-06,0.3324829931972789,0.3324829931972789,0.26666666666666666,0.26666666666666666,True,True,False,left_edge,between_train_runs
best15_current_anchor_residual,15,9,205,4,S2,id09_b2,id09,0,3.994973872111499e-06,0.8006241539996212,0.1993758460003788,0.9333333333333333,0.06666666666666665,True,False,False,interior,between_train_runs
best15_current_anchor_residual,15,10,136,3,S1,id06_b4,id06,0,3.980857602837729e-06,0.901063074352548,0.098936925647452,1.0,0.0,True,True,False,left_edge,between_train_runs
best15_current_anchor_residual,15,11,139,5,S3,id06_b4,id06,0,3.935892347215614e-06,0.9072119815668204,0.0927880184331797,1.0,0.0,True,False,False,near_edge,between_train_runs
best15_current_anchor_residual,15,12,180,3,S1,id07_b4,id07,0,3.914537352039933e-06,0.8084142743326416,0.1915857256673584,0.8666666666666667,0.1333333333333333,False,False,False,near_edge,after_train_run
best15_current_anchor_residual,15,13,63,3,S1,id03_b2,id03,0,3.819250130072624e-06,0.5710617160617161,0.4289382839382839,0.8,0.19999999999999996,True,False,False,interior,between_train_runs
best15_current_anchor_residual,15,14,70,6,S4,id03_b4,id03,1,3.816224322441172e-06,0.4250937950937951,0.4250937950937951,0.2,0.2,False,False,False,left_edge,after_train_run
best15_current_anchor_residual,15,15,113,0,Q1,id05_b2,id05,1,3.7916903077560728e-06,0.6546385937295028,0.6546385937295028,0.4,0.4,True,False,False,right_edge,between_train_runs
best15_current_anchor_residual,15,16,132,3,S1,id06_b2,id06,0,3.7914287961146752e-06,0.8977640103660512,0.1022359896339487,1.0,0.0,True,False,False,interior,between_train_runs
all_binary_worlds,29,1,141,3,S1,id06_b6,id06,0,5.831957756260338e-06,0.9013522588522588,0.0986477411477411,0.9655172413793104,0.03448275862068961,True,False,False,single,between_train_runs
all_binary_worlds,29,2,196,2,Q3,id08_b10,id08,1,4.561672802748853e-06,0.335671768707483,0.335671768707483,0.4482758620689655,0.4482758620689655,True,True,False,right_edge,between_train_runs
all_binary_worlds,29,3,190,2,Q3,id08_b6,id08,1,4.531208669250164e-06,0.6037414965986395,0.6037414965986395,0.20689655172413793,0.20689655172413793,True,True,False,left_edge,between_train_runs
all_binary_worlds,29,4,194,2,Q3,id08_b10,id08,1,4.466217533693996e-06,0.3516156462585034,0.3516156462585034,0.5172413793103449,0.5172413793103449,True,True,False,near_edge,between_train_runs
all_binary_worlds,29,5,67,6,S4,id03_b2,id03,1,4.431570249905037e-06,0.1876479076479076,0.1876479076479076,0.13793103448275862,0.13793103448275862,True,False,False,interior,between_train_runs
all_binary_worlds,29,6,135,3,S1,id06_b2,id06,0,4.08231116385415e-06,0.9009126984126984,0.0990873015873016,0.9655172413793104,0.03448275862068961,True,True,False,right_edge,between_train_runs
all_binary_worlds,29,7,143,3,S1,id06_b8,id06,0,4.0173899301949476e-06,0.8997362278244632,0.1002637721755368,1.0,0.0,True,False,False,near_edge,between_train_runs
all_binary_worlds,29,8,182,2,Q3,id08_b2,id08,1,4.0153139348455865e-06,0.3324829931972789,0.3324829931972789,0.27586206896551724,0.27586206896551724,True,True,False,left_edge,between_train_runs
all_binary_worlds,29,9,205,4,S2,id09_b2,id09,0,3.994973872111499e-06,0.8006241539996212,0.1993758460003788,0.896551724137931,0.10344827586206895,True,False,False,interior,between_train_runs
all_binary_worlds,29,10,136,3,S1,id06_b4,id06,0,3.980857602837729e-06,0.901063074352548,0.098936925647452,1.0,0.0,True,True,False,left_edge,between_train_runs
all_binary_worlds,29,11,139,5,S3,id06_b4,id06,0,3.935892347215614e-06,0.9072119815668204,0.0927880184331797,0.9655172413793104,0.03448275862068961,True,False,False,near_edge,between_train_runs
all_binary_worlds,29,12,180,3,S1,id07_b4,id07,0,3.914537352039933e-06,0.8084142743326416,0.1915857256673584,0.896551724137931,0.10344827586206895,False,False,False,near_edge,after_train_run
all_binary_worlds,29,13,63,3,S1,id03_b2,id03,0,3.819250130072624e-06,0.5710617160617161,0.4289382839382839,0.7586206896551724,0.24137931034482762,True,False,False,interior,between_train_runs
all_binary_worlds,29,14,70,6,S4,id03_b4,id03,1,3.816224322441172e-06,0.4250937950937951,0.4250937950937951,0.20689655172413793,0.20689655172413793,False,False,False,left_edge,after_train_run
all_binary_worlds,29,15,113,0,Q1,id05_b2,id05,1,3.7916903077560728e-06,0.6546385937295028,0.6546385937295028,0.41379310344827586,0.41379310344827586,True,False,False,right_edge,between_train_runs
all_binary_worlds,29,16,132,3,S1,id06_b2,id06,0,3.7914287961146752e-06,0.8977640103660512,0.1022359896339487,0.9655172413793104,0.03448275862068961,True,False,False,interior,between_train_runs
