candidate,role,file,axis,source,value,direction,axis_weight,evidence_balance_contribution,interpretation,evidence
e154,repaired_branch_s3,submission_e154_s3repair_9f2e2e73.csv,binary_world_all_binary_worlds,E181,1.7224119595693093e-05,underidentified,0.5,-0.125,All inherited binary worlds leave this sign mixed.,mean delta vs E95 1.72241196e-05; negative rate 0.379310345; worlds 29
e144,unrepaired_repaired_branch_contrast,submission_e144_activeboundary_d7b4b331.csv,binary_world_all_binary_worlds,E181,2.0168595535284407e-05,underidentified,0.5,-0.125,All inherited binary worlds leave this sign mixed.,mean delta vs E95 2.01685955e-05; negative rate 0.379310345; worlds 29
e144,unrepaired_repaired_branch_contrast,submission_e144_activeboundary_d7b4b331.csv,refreshed_pressure_range_width,E182/E183,0.0016721904761903001,warning,0.75,-0.75,This branch has a much wider refreshed pressure range.,mean width 0.00167219048; min live width 0.000656640739; differing cells 164
e144,unrepaired_repaired_branch_contrast,submission_e144_activeboundary_d7b4b331.csv,local_prior_pressure_branch_selector,E183,0.0,warning,0.75,-0.75,Local subject/flank/visible priors reject the favorable pressure branch.,subject/flank/visible favorable-min rates 0/0/0; support-gap 0.888922641
e144,unrepaired_repaired_branch_contrast,submission_e144_activeboundary_d7b4b331.csv,global_prior_pressure_branch_exception,E183,0.0,warning,0.35,-0.35,Global prior does not favor the favorable pressure branch.,global favorable-min rate 0
e154,repaired_branch_s3,submission_e154_s3repair_9f2e2e73.csv,refreshed_pressure_range_width,E182/E183,0.001964297258205967,warning,0.75,-0.75,This branch has a much wider refreshed pressure range.,mean width 0.00196429726; min live width 0.000656640739; differing cells 282.666667
e154,repaired_branch_s3,submission_e154_s3repair_9f2e2e73.csv,local_prior_pressure_branch_selector,E183,0.0,warning,0.75,-0.75,Local subject/flank/visible priors reject the favorable pressure branch.,subject/flank/visible favorable-min rates 0/0/0; support-gap 0.973558461
e154,repaired_branch_s3,submission_e154_s3repair_9f2e2e73.csv,global_prior_pressure_branch_exception,E183,0.0,warning,0.35,-0.35,Global prior does not favor the favorable pressure branch.,global favorable-min rate 0
e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,refreshed_pressure_range_width,E182/E183,0.0006566407394409667,support,0.75,0.75,This branch has the narrowest refreshed pressure range.,mean width 0.000656640739; min live width 0.000656640739; differing cells 601.666667
e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,local_prior_pressure_branch_selector,E183,0.0,warning,0.75,-0.75,Local subject/flank/visible priors reject the favorable pressure branch.,subject/flank/visible favorable-min rates 0/0/0; support-gap 0.797945435
e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,global_prior_pressure_branch_exception,E183,1.0,support,0.35,0.35,Global prior uniquely favors the favorable pressure branch.,global favorable-min rate 1
e144,unrepaired_repaired_branch_contrast,submission_e144_activeboundary_d7b4b331.csv,antisymmetric_pair_geometry,E186,0.0,warning,1.5,-1.5,Known-LB antisymmetric pair geometry consistently rejects the favorable branch.,favorable rate 0; mean prob 0.00942280145; min/max prob 0.00224158713/0.0260815789
e154,repaired_branch_s3,submission_e154_s3repair_9f2e2e73.csv,antisymmetric_pair_geometry,E186,0.0,warning,1.5,-1.5,Known-LB antisymmetric pair geometry consistently rejects the favorable branch.,favorable rate 0; mean prob 0.00207392861; min/max prob 0.000940114893/0.00470956151
e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,antisymmetric_pair_geometry,E186,1.0,support,1.5,1.5,Known-LB antisymmetric pair geometry consistently selects the favorable branch.,favorable rate 1; mean prob 0.852945924; min/max prob 0.754047547/0.933324089
e144,unrepaired_repaired_branch_contrast,submission_e144_activeboundary_d7b4b331.csv,clean_shape_e72_tail_risk,E192,0.0387227287262173,warning,0.75,-0.75,"Clean shape score marks a mild tail-risk scenario, not positive E72 contamination.",max prob 0.0387227287; above p95 rate 0.333333333; above p99 rate 0; nearest positive rate 0
e144,unrepaired_repaired_branch_contrast,submission_e144_activeboundary_d7b4b331.csv,e72_positive_nearest_neighbor,E192,0.0,support,0.5,0.5,Nearest clean-shape neighbors are non-E72 positives.,top-3 nearest positive rate 0
e154,repaired_branch_s3,submission_e154_s3repair_9f2e2e73.csv,clean_shape_e72_tail_risk,E192,0.0079727349190803,support,0.75,0.75,Clean shape E72 score stays below non-E72 p95.,max prob 0.00797273492; above p95 rate 0; above p99 rate 0; nearest positive rate 0
e154,repaired_branch_s3,submission_e154_s3repair_9f2e2e73.csv,e72_positive_nearest_neighbor,E192,0.0,support,0.5,0.5,Nearest clean-shape neighbors are non-E72 positives.,top-3 nearest positive rate 0
e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,clean_shape_e72_tail_risk,E192,8.338338466278932e-06,support,0.75,0.75,Clean shape E72 score stays below non-E72 p95.,max prob 8.33833847e-06; above p95 rate 0; above p99 rate 0; nearest positive rate 0
e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,e72_positive_nearest_neighbor,E192,0.0,support,0.5,0.5,Nearest clean-shape neighbors are non-E72 positives.,top-3 nearest positive rate 0
