feature,source,family,human_story
cash__payeom_post3_relief_home,cashflow,post_pay_relief,After anchor eom: money available but quiet home/charging routine.
cash__payeom_post3_late_shopping,cashflow,post_pay_spend,After anchor eom: late shopping or finance phone use.
cash__paymonth_start_post3_spend_outing,cashflow,post_pay_spend,First 3 days after anchor month_start: spending/social outing state.
cash__paymonth_start_post7_spend_outing,cashflow,post_pay_spend,First week after anchor month_start: broader spending/social state.
cash__paymonth_start_pre3_cash_stress,cashflow,pre_pay_stress,Last 3 days before anchor month_start: finance/checking stress.
cash__paymonth_start_pre7_budget_squeeze,cashflow,pre_pay_stress,Week before anchor month_start: budget squeeze and late money rumination.
cash__paymonth_start_near3_money_rumination,cashflow,cashflow_transition,Near anchor month_start: finance/shopping/search rumination.
cash__paymonth_start_near7_calendar_only,cashflow,calendar_only,Near anchor month_start: pure monthly-cycle calendar state.
cash__paymonth_start_post3_relief_home,cashflow,post_pay_relief,After anchor month_start: money available but quiet home/charging routine.
cash__paymonth_start_post3_late_shopping,cashflow,post_pay_spend,After anchor month_start: late shopping or finance phone use.
cash__eom_bill_anxiety,cashflow,bill_cycle,End-of-month bill/card anxiety: late finance/search near month end.
cash__monthstart_reset_relief,cashflow,bill_cycle,Month-start reset: quiet home after monthly cycle rolls over.
cash__monthstart_spending_reset,cashflow,bill_cycle,Month-start spending reset: finance/shopping/social usage after new month starts.
calendar__weekday,calendar,calendar,weekday
calendar__is_weekend,calendar,calendar,is_weekend
calendar__lifelog_dom,calendar,calendar,lifelog_dom
calendar__lifelog_month,calendar,calendar,lifelog_month
calendar__subject_order,calendar,calendar,subject_order
calendar__pre25_cash_window,calendar,cashflow_calendar,pre25 cash window
calendar__post25_relief_window,calendar,cashflow_calendar,post25 relief window
calendar__month_end_bill_window,calendar,cashflow_calendar,month end bill window
calendar__month_start_reset,calendar,cashflow_calendar,month start reset
