submission_file,family,anchor,outcome,public_lb_lo_exclusive,public_lb_hi_inclusive,worldview_if_observed,weakened_if_observed,pre_registered_next_action
submission_e211_jepa_q3rawtoward_q3s1p0_s4s1p0_e95_a0p5_e4e44d91.csv,E211,e95,small_loss_branch_alive,0.5762933297999999,0.576300366,hard-label resolution bottleneck; signal may be real but under public-cell noise,large JEPA frontier break,do not tune amplitude; use the paired clean/E154 or raw-control contrast
submission_e211_jepa_q3rawtoward_q3s1p0_s4s1p0_e95_a0p5_e4e44d91.csv,E211,e95,mixmin_safe_loss,0.576300366,0.5763066405,same plateau law as E101/E176: local signal exists but public tail rejects the translation,current probability-graft JEPA path,try the raw E209 control only if E211 failed; otherwise rebuild representation before submission
submission_e211_jepa_q3rawtoward_q3s1p0_s4s1p0_e95_a0p5_e4e44d91.csv,E211,e95,branch_loss,0.5763066405,0.5763416405,JEPA probability graft is misaligned with public hidden cells,E209/E210/E211 family as expected-score lane,close this JEPA graft family and return to representation/objective design
submission_e211_jepa_q3rawtoward_q3s1p0_s4s1p0_e95_a0p5_e4e44d91.csv,E211,e95,hard_fail,0.5763416405,inf,JEPA probability graft is misaligned with public hidden cells,E209/E210/E211 family as expected-score lane,close this JEPA graft family and return to representation/objective design
submission_e209_jepa_q3_center_c010_s4_rank_e95_s0p25_08289063.csv,E209,e95,clean_win,-inf,0.5762843298,raw feature-neighbor JEPA translation,dependency gate necessity,promote E211 only if needing S4 safety; otherwise search new raw JEPA target axes
submission_e209_jepa_q3_center_c010_s4_rank_e95_s0p25_08289063.csv,E209,e95,micro_win,0.5762843298,0.5762893298,raw feature-neighbor JEPA translation,dependency gate necessity,promote E211 only if needing S4 safety; otherwise search new raw JEPA target axes
submission_e209_jepa_q3_center_c010_s4_rank_e95_s0p25_08289063.csv,E209,e95,tie,0.5762893298,0.5762933297999999,hard-label resolution bottleneck; signal may be real but under public-cell noise,large JEPA frontier break,do not tune amplitude; use the paired clean/E154 or raw-control contrast
submission_e209_jepa_q3_center_c010_s4_rank_e95_s0p25_08289063.csv,E209,e95,small_loss_branch_alive,0.5762933297999999,0.576300366,hard-label resolution bottleneck; signal may be real but under public-cell noise,large JEPA frontier break,do not tune amplitude; use the paired clean/E154 or raw-control contrast
submission_e209_jepa_q3_center_c010_s4_rank_e95_s0p25_08289063.csv,E209,e95,mixmin_safe_loss,0.576300366,0.5763066405,same plateau law as E101/E176: local signal exists but public tail rejects the translation,current probability-graft JEPA path,try the raw E209 control only if E211 failed; otherwise rebuild representation before submission
submission_e209_jepa_q3_center_c010_s4_rank_e95_s0p25_08289063.csv,E209,e95,branch_loss,0.5763066405,0.5763416405,JEPA probability graft is misaligned with public hidden cells,E209/E210/E211 family as expected-score lane,close this JEPA graft family and return to representation/objective design
submission_e209_jepa_q3_center_c010_s4_rank_e95_s0p25_08289063.csv,E209,e95,hard_fail,0.5763416405,inf,JEPA probability graft is misaligned with public hidden cells,E209/E210/E211 family as expected-score lane,close this JEPA graft family and return to representation/objective design
submission_e210_jepa_depgate_q3_center_c010_s4_rank_closer_sh0p75_e95_s1p0_49d77d44.csv,E210,e95,clean_win,-inf,0.5762843298,dependency-tail localization,raw JEPA body sufficiency,compare against E211 before another blunt dependency gate
submission_e210_jepa_depgate_q3_center_c010_s4_rank_closer_sh0p75_e95_s1p0_49d77d44.csv,E210,e95,micro_win,0.5762843298,0.5762893298,dependency-tail localization,raw JEPA body sufficiency,compare against E211 before another blunt dependency gate
submission_e210_jepa_depgate_q3_center_c010_s4_rank_closer_sh0p75_e95_s1p0_49d77d44.csv,E210,e95,tie,0.5762893298,0.5762933297999999,hard-label resolution bottleneck; signal may be real but under public-cell noise,large JEPA frontier break,do not tune amplitude; use the paired clean/E154 or raw-control contrast
submission_e210_jepa_depgate_q3_center_c010_s4_rank_closer_sh0p75_e95_s1p0_49d77d44.csv,E210,e95,small_loss_branch_alive,0.5762933297999999,0.576300366,hard-label resolution bottleneck; signal may be real but under public-cell noise,large JEPA frontier break,do not tune amplitude; use the paired clean/E154 or raw-control contrast
submission_e210_jepa_depgate_q3_center_c010_s4_rank_closer_sh0p75_e95_s1p0_49d77d44.csv,E210,e95,mixmin_safe_loss,0.576300366,0.5763066405,same plateau law as E101/E176: local signal exists but public tail rejects the translation,current probability-graft JEPA path,try the raw E209 control only if E211 failed; otherwise rebuild representation before submission
submission_e210_jepa_depgate_q3_center_c010_s4_rank_closer_sh0p75_e95_s1p0_49d77d44.csv,E210,e95,branch_loss,0.5763066405,0.5763416405,JEPA probability graft is misaligned with public hidden cells,E209/E210/E211 family as expected-score lane,close this JEPA graft family and return to representation/objective design
submission_e210_jepa_depgate_q3_center_c010_s4_rank_closer_sh0p75_e95_s1p0_49d77d44.csv,E210,e95,hard_fail,0.5763416405,inf,JEPA probability graft is misaligned with public hidden cells,E209/E210/E211 family as expected-score lane,close this JEPA graft family and return to representation/objective design
