family,n_cols,n_pcs,explained_var_sum,pc1_var,story,top_cols,section,split,context_cols,target_dim,oof_r2,resid_mean,resid_train_mean,resid_test_mean
cognitive_money,,,,,,,jepa,subject,28.0,4.0,-0.1369468767764928,6.140246294056838,6.128418741697383,6.161535888303857
cognitive_money,,,,,,,jepa,dateblock,28.0,4.0,-0.07506627582541804,5.932631580174961,6.005570781053995,5.8013410185927
media_game,,,,,,,jepa,subject,28.0,4.0,0.49025957816077254,1.9428657792582849,2.0177708256172906,1.8080366958120748
media_game,,,,,,,jepa,dateblock,28.0,4.0,0.6323956655435231,1.59687483479484,1.6849737173347499,1.4382968462230024
bedtime_phone,,,,,,,jepa,subject,28.0,4.0,0.44092066643016326,3.4697428353071036,3.4942044178945495,3.4257119866497026
bedtime_phone,,,,,,,jepa,dateblock,28.0,4.0,0.7352122367445366,2.5254692560525784,2.55172787892243,2.4782037348868458
mobility_context,,,,,,,jepa,subject,28.0,4.0,0.5303449285131125,4.160687158896956,4.165996118779988,4.151131031107499
mobility_context,,,,,,,jepa,dateblock,28.0,4.0,0.7460163516232065,3.1028430770665625,3.141525321565613,3.0332150369682713
physiology_activity,,,,,,,jepa,subject,28.0,4.0,0.8315833453849268,2.786268138335253,2.784348323840673,2.789723804425498
physiology_activity,,,,,,,jepa,dateblock,28.0,4.0,0.8913740882320114,2.2101396634761787,2.240256326521423,2.1559296699947375
routine_calendar,,,,,,,jepa,subject,28.0,4.0,-0.055661783084138404,2.604779809643067,2.6197852090340974,2.5777700907392136
routine_calendar,,,,,,,jepa,dateblock,28.0,4.0,0.25555731790547037,2.22377273903388,2.2721472948132084,2.136698538631091
sensor_measurement,,,,,,,jepa,subject,28.0,4.0,0.9587293804533552,1.4861210931570668,1.496475214853699,1.467483674103128
sensor_measurement,,,,,,,jepa,dateblock,28.0,4.0,0.976586675038699,1.1377576722243787,1.1652020704024404,1.0883577555038682
