source_basename,null_basename,mode,rep,seed
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_subject_r2_ac9151af.csv,subject,2,20265039
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_subject_r3_cc8ba059.csv,subject,3,20265136
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_subject_r4_ac475941.csv,subject,4,20265233
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_subject_r5_2348876f.csv,subject,5,20265330
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_subject_r6_c8e87a68.csv,subject,6,20265427
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_dateblock_r0_e09ed62c.csv,dateblock,0,20264846
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_dateblock_r1_450002a8.csv,dateblock,1,20264943
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_dateblock_r2_85dffdde.csv,dateblock,2,20265040
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_dateblock_r3_a217d00c.csv,dateblock,3,20265137
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_dateblock_r4_278eb38d.csv,dateblock,4,20265234
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_dateblock_r5_c11ef17b.csv,dateblock,5,20265331
submission_e276_jepa_only_m160_75d0e9cf.csv,submission_e276_e277null_jepa_only_m160_75d0e9cf_dateblock_r6_af78a1c9.csv,dateblock,6,20265428
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_row_r0_361877e7.csv,row,0,20265853
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_row_r1_50115129.csv,row,1,20265950
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_row_r2_ae7658b2.csv,row,2,20266047
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_row_r3_bdce2338.csv,row,3,20266144
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_row_r4_c6c87571.csv,row,4,20266241
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_row_r5_ef35544a.csv,row,5,20266338
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_row_r6_e0fd0612.csv,row,6,20266435
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_subject_r0_bde1fd81.csv,subject,0,20265854
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_subject_r1_6895ed08.csv,subject,1,20265951
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_subject_r2_dfa9cd8a.csv,subject,2,20266048
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_subject_r3_54cb856d.csv,subject,3,20266145
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_subject_r4_7da5a578.csv,subject,4,20266242
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_subject_r5_8397a64e.csv,subject,5,20266339
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_subject_r6_ac21482f.csv,subject,6,20266436
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_dateblock_r0_337a5f9e.csv,dateblock,0,20265855
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_dateblock_r1_efa8ea3c.csv,dateblock,1,20265952
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_dateblock_r2_7a3d68e2.csv,dateblock,2,20266049
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_dateblock_r3_8787cfe3.csv,dateblock,3,20266146
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_dateblock_r4_dd50e083.csv,dateblock,4,20266243
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_dateblock_r5_48999266.csv,dateblock,5,20266340
submission_e276_nonjepa_only_m160_a1ae06d0.csv,submission_e276_e277null_nonjepa_only_m160_a1ae06d0_dateblock_r6_2d751f60.csv,dateblock,6,20266437
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_row_r0_84548f57.csv,row,0,20266862
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_row_r1_36669cbf.csv,row,1,20266959
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_row_r2_15d6215b.csv,row,2,20267056
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_row_r3_c3d03ef0.csv,row,3,20267153
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_row_r4_a97541b6.csv,row,4,20267250
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_row_r5_1a389289.csv,row,5,20267347
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_row_r6_4d3c3fab.csv,row,6,20267444
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_subject_r0_c46f6db3.csv,subject,0,20266863
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_subject_r1_d5ebb83b.csv,subject,1,20266960
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_subject_r2_c696fb02.csv,subject,2,20267057
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_subject_r3_3efc6468.csv,subject,3,20267154
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_subject_r4_4b652d19.csv,subject,4,20267251
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_subject_r5_f014eb3f.csv,subject,5,20267348
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_subject_r6_5497c7a6.csv,subject,6,20267445
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_dateblock_r0_c3416657.csv,dateblock,0,20266864
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_dateblock_r1_f2d8e8fe.csv,dateblock,1,20266961
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_dateblock_r2_5b4914a9.csv,dateblock,2,20267058
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_dateblock_r3_a7344ca4.csv,dateblock,3,20267155
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_dateblock_r4_ff4d01d8.csv,dateblock,4,20267252
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_dateblock_r5_13dbe214.csv,dateblock,5,20267349
submission_e276_only_mobility_context_m160_6ac81269.csv,submission_e276_e277null_only_mobility_context_m160_6ac81269_dateblock_r6_69f11748.csv,dateblock,6,20267446
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_row_r0_4d907203.csv,row,0,20267871
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_row_r1_c9b5b9bb.csv,row,1,20267968
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_row_r2_2c1982e9.csv,row,2,20268065
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_row_r3_85fa7375.csv,row,3,20268162
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_row_r4_6670b993.csv,row,4,20268259
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_row_r5_d9699cd7.csv,row,5,20268356
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_row_r6_b9c4582e.csv,row,6,20268453
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_subject_r0_396fbceb.csv,subject,0,20267872
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_subject_r1_c495757d.csv,subject,1,20267969
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_subject_r2_13ead49c.csv,subject,2,20268066
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_subject_r3_3ba7afbb.csv,subject,3,20268163
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_subject_r4_826a4ef1.csv,subject,4,20268260
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_subject_r5_0be96cee.csv,subject,5,20268357
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_subject_r6_0f612402.csv,subject,6,20268454
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_dateblock_r0_f6a7808b.csv,dateblock,0,20267873
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_dateblock_r1_867e6405.csv,dateblock,1,20267970
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_dateblock_r2_997a63e8.csv,dateblock,2,20268067
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_dateblock_r3_f8ed18e4.csv,dateblock,3,20268164
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_dateblock_r4_229a9307.csv,dateblock,4,20268261
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_dateblock_r5_71581ba6.csv,dateblock,5,20268358
submission_e276_no_mobility_context_m160_68587259.csv,submission_e276_e277null_no_mobility_context_m160_68587259_dateblock_r6_b079f103.csv,dateblock,6,20268455
submission_e276_only_bedtime_phone_m160_1e694a7d.csv,submission_e276_e277null_only_bedtime_phone_m160_1e694a7d_row_r0_fb5dca26.csv,row,0,20268880
submission_e276_only_bedtime_phone_m160_1e694a7d.csv,submission_e276_e277null_only_bedtime_phone_m160_1e694a7d_row_r1_7875952d.csv,row,1,20268977
submission_e276_only_bedtime_phone_m160_1e694a7d.csv,submission_e276_e277null_only_bedtime_phone_m160_1e694a7d_row_r2_34c6cdce.csv,row,2,20269074
submission_e276_only_bedtime_phone_m160_1e694a7d.csv,submission_e276_e277null_only_bedtime_phone_m160_1e694a7d_row_r3_3d467cea.csv,row,3,20269171
submission_e276_only_bedtime_phone_m160_1e694a7d.csv,submission_e276_e277null_only_bedtime_phone_m160_1e694a7d_row_r4_c2ff6f49.csv,row,4,20269268
submission_e276_only_bedtime_phone_m160_1e694a7d.csv,submission_e276_e277null_only_bedtime_phone_m160_1e694a7d_row_r5_389b51d8.csv,row,5,20269365
submission_e276_only_bedtime_phone_m160_1e694a7d.csv,submission_e276_e277null_only_bedtime_phone_m160_1e694a7d_row_r6_ceb16d64.csv,row,6,20269462
submission_e276_only_bedtime_phone_m160_1e694a7d.csv,submission_e276_e277null_only_bedtime_phone_m160_1e694a7d_subject_r0_262c3668.csv,subject,0,20268881
submission_e276_only_bedtime_phone_m160_1e694a7d.csv,submission_e276_e277null_only_bedtime_phone_m160_1e694a7d_subject_r1_922069a9.csv,subject,1,20268978
submission_e276_only_bedtime_phone_m160_1e694a7d.csv,submission_e276_e277null_only_bedtime_phone_m160_1e694a7d_subject_r2_2169a86e.csv,subject,2,20269075
submission_e276_only_bedtime_phone_m160_1e694a7d.csv,submission_e276_e277null_only_bedtime_phone_m160_1e694a7d_subject_r3_0b61a43a.csv,subject,3,20269172
