candidate_id,variant_type,split,target,target_delta
full_qsleep,primary,dateblock_oof,Q2,-0.0008100514965576622
full_qsleep,primary,dateblock_oof,Q3,-0.0026371319966118634
q3_only,target_ablation,dateblock_oof,Q1,-1.1102230246251565e-16
q3_only,target_ablation,dateblock_oof,Q2,0.0
q3_only,target_ablation,dateblock_oof,Q3,-0.0026371319966118634
q12_only,target_ablation,dateblock_oof,Q1,-0.0006408761060044954
q12_only,target_ablation,dateblock_oof,Q2,-0.0008100514965576622
q12_only,target_ablation,dateblock_oof,Q3,0.0
jepa_only,axis_kind,dateblock_oof,Q1,-0.0006408761060044954
jepa_only,axis_kind,dateblock_oof,Q2,0.0
jepa_only,axis_kind,dateblock_oof,Q3,-0.0017662103034611354
nonjepa_only,axis_kind,dateblock_oof,Q1,-1.1102230246251565e-16
nonjepa_only,axis_kind,dateblock_oof,Q2,-0.0008100514965576622
nonjepa_only,axis_kind,dateblock_oof,Q3,-0.00159470578437515
only_mobility_context,family_only,dateblock_oof,Q1,-0.0006408761060044954
only_mobility_context,family_only,dateblock_oof,Q2,0.0
only_mobility_context,family_only,dateblock_oof,Q3,-0.0007192100385805533
no_mobility_context,leave_one_family,dateblock_oof,Q1,-1.1102230246251565e-16
no_mobility_context,leave_one_family,dateblock_oof,Q2,-0.0008100514965576622
no_mobility_context,leave_one_family,dateblock_oof,Q3,-0.002103411521713894
only_bedtime_phone,family_only,dateblock_oof,Q1,-1.1102230246251565e-16
only_bedtime_phone,family_only,dateblock_oof,Q2,0.0
only_bedtime_phone,family_only,dateblock_oof,Q3,-0.0008280029086805696
no_bedtime_phone,leave_one_family,dateblock_oof,Q1,-0.0006408761060044954
no_bedtime_phone,leave_one_family,dateblock_oof,Q2,-0.0008100514965576622
no_bedtime_phone,leave_one_family,dateblock_oof,Q3,-0.0023221542527886996
only_routine_calendar,family_only,dateblock_oof,Q1,-1.1102230246251565e-16
only_routine_calendar,family_only,dateblock_oof,Q2,0.0
only_routine_calendar,family_only,dateblock_oof,Q3,-0.0007023038325624231
no_routine_calendar,leave_one_family,dateblock_oof,Q1,-0.0006408761060044954
no_routine_calendar,leave_one_family,dateblock_oof,Q2,-0.0008100514965576622
no_routine_calendar,leave_one_family,dateblock_oof,Q3,-0.002249512999637937
only_cognitive_money,family_only,dateblock_oof,Q1,-1.1102230246251565e-16
only_cognitive_money,family_only,dateblock_oof,Q2,0.0
only_cognitive_money,family_only,dateblock_oof,Q3,-0.0001139887849544996
no_cognitive_money,leave_one_family,dateblock_oof,Q1,-0.0006408761060044954
no_cognitive_money,leave_one_family,dateblock_oof,Q2,-0.0008100514965576622
no_cognitive_money,leave_one_family,dateblock_oof,Q3,-0.0025145310085331607
only_social_comm,family_only,dateblock_oof,Q1,-1.1102230246251565e-16
only_social_comm,family_only,dateblock_oof,Q2,0.0
only_social_comm,family_only,dateblock_oof,Q3,-0.0006020219504914159
no_social_comm,leave_one_family,dateblock_oof,Q1,-0.0006408761060044954
no_social_comm,leave_one_family,dateblock_oof,Q2,-0.0008100514965576622
no_social_comm,leave_one_family,dateblock_oof,Q3,-0.0022951933631911725
only_media_game,family_only,dateblock_oof,Q1,-1.1102230246251565e-16
only_media_game,family_only,dateblock_oof,Q2,-0.00034313239494643266
only_media_game,family_only,dateblock_oof,Q3,0.0
no_media_game,leave_one_family,dateblock_oof,Q1,-0.0006408761060044954
no_media_game,leave_one_family,dateblock_oof,Q2,-0.0005508030970906574
no_media_game,leave_one_family,dateblock_oof,Q3,-0.0026371319966118634
only_diary_global,family_only,dateblock_oof,Q1,-1.1102230246251565e-16
only_diary_global,family_only,dateblock_oof,Q2,-0.0005508030970906574
only_diary_global,family_only,dateblock_oof,Q3,-0.00043176060155292184
no_diary_global,leave_one_family,dateblock_oof,Q1,-0.0006408761060044954
no_diary_global,leave_one_family,dateblock_oof,Q2,-0.00034313239494643266
no_diary_global,leave_one_family,dateblock_oof,Q3,-0.0022747288372814145
inverse_full_qsleep_m080,inverse_control,dateblock_oof,Q1,0.0005406696248775322
inverse_full_qsleep_m080,inverse_control,dateblock_oof,Q2,0.0007206268474510003
inverse_full_qsleep_m080,inverse_control,dateblock_oof,Q3,0.0022683434578852912
