subject_id,sleep_date,lifelog_date,anchor_row,nearest_anchor_row,pos_dist_to_anchor,signed_pos_to_anchor,date_dist_to_anchor,signed_date_to_anchor,selected_new_cells
id04,2024-10-28,2024-10-27,False,103,1,1,2,2,6
id04,2024-10-29,2024-10-28,False,103,2,2,3,3,6
id04,2024-10-30,2024-10-29,False,103,3,3,4,4,6
id05,2024-09-29,2024-09-28,False,110,3,-3,3,-3,6
id05,2024-09-30,2024-09-29,False,110,2,-2,2,-2,6
id05,2024-10-01,2024-09-30,False,110,1,-1,1,-1,6
id05,2024-10-05,2024-10-04,False,110,1,1,3,3,6
id05,2024-10-06,2024-10-05,False,110,2,2,4,4,6
id05,2024-10-07,2024-10-06,False,110,3,3,5,5,6
id05,2024-10-18,2024-10-17,False,121,3,-3,16,16,6
id05,2024-11-07,2024-11-06,False,121,2,-2,6,-6,6
id05,2024-11-08,2024-11-07,False,121,1,-1,5,-5,6
id05,2024-11-14,2024-11-13,False,121,1,1,1,1,6
id05,2024-11-16,2024-11-15,False,121,2,2,3,3,6
id05,2024-11-17,2024-11-16,False,121,3,3,4,4,6
id06,2024-07-11,2024-07-10,False,135,3,-3,3,-3,6
id06,2024-07-12,2024-07-11,False,135,2,-2,2,-2,6
id06,2024-07-13,2024-07-12,False,135,1,-1,1,-1,6
id06,2024-07-17,2024-07-16,False,136,1,1,1,1,6
id06,2024-07-18,2024-07-17,False,139,1,-1,1,-1,6
id06,2024-07-21,2024-07-20,False,139,1,1,2,2,6
id06,2024-08-10,2024-08-09,False,139,2,2,3,-3,6
id06,2024-08-12,2024-08-11,False,143,1,-1,1,-1,6
id06,2024-08-15,2024-08-14,False,144,1,1,1,1,6
id06,2024-08-21,2024-08-20,False,146,1,1,1,1,6
id07,2024-07-15,2024-07-14,False,152,1,1,1,1,6
id07,2024-07-16,2024-07-15,False,152,2,2,2,2,6
id07,2024-07-17,2024-07-16,False,152,3,3,3,3,6
id07,2024-07-18,2024-07-17,False,158,2,-2,2,-2,6
id07,2024-07-19,2024-07-18,False,158,1,-1,1,-1,6
id07,2024-07-21,2024-07-20,False,158,1,1,1,1,6
id07,2024-07-22,2024-07-21,False,158,2,2,2,2,6
id07,2024-07-23,2024-07-22,False,163,2,-2,2,-2,6
id07,2024-07-24,2024-07-23,False,163,1,-1,1,-1,6
id07,2024-07-27,2024-07-26,False,164,1,1,1,1,6
id07,2024-07-28,2024-07-27,False,167,1,-1,2,2,6
id07,2024-08-17,2024-08-16,False,168,1,1,1,1,6
id07,2024-08-18,2024-08-17,False,168,2,2,2,2,6
id07,2024-08-20,2024-08-19,False,168,3,3,4,4,6
id07,2024-08-21,2024-08-20,False,174,2,-2,4,-4,6
id07,2024-08-23,2024-08-22,False,174,1,-1,2,-2,6
id07,2024-08-26,2024-08-25,False,174,1,1,1,1,6
id07,2024-08-27,2024-08-26,False,174,2,2,2,2,6
id07,2024-08-28,2024-08-27,False,174,3,3,3,3,6
id08,2024-08-14,2024-08-13,False,194,3,-3,26,-26,6
id08,2024-09-05,2024-09-04,False,194,2,-2,4,-4,6
id08,2024-09-07,2024-09-06,False,194,1,-1,2,-2,6
id08,2024-09-10,2024-09-09,False,194,1,1,1,1,6
id08,2024-09-14,2024-09-13,False,196,1,1,3,3,6
id08,2024-09-15,2024-09-14,False,196,2,2,4,4,6
id08,2024-09-18,2024-09-17,False,196,3,3,7,7,6
id09,2024-08-06,2024-08-05,False,203,2,-2,2,-2,6
id09,2024-08-07,2024-08-06,False,203,1,-1,1,-1,6
id09,2024-08-09,2024-08-08,False,203,1,1,1,1,6
id09,2024-08-10,2024-08-09,False,203,2,2,2,2,6
id09,2024-08-11,2024-08-10,False,203,3,3,3,3,6
id09,2024-08-19,2024-08-18,False,216,3,-3,11,11,6
id09,2024-08-21,2024-08-20,False,216,2,-2,13,13,6
id09,2024-09-05,2024-09-04,False,216,1,-1,2,-2,6
id09,2024-09-08,2024-09-07,False,216,1,1,1,1,6
id09,2024-09-09,2024-09-08,False,216,2,2,2,2,6
id09,2024-09-10,2024-09-09,False,216,3,3,3,3,6
id09,2024-09-14,2024-09-13,False,225,3,-3,6,-6,6
id09,2024-09-16,2024-09-15,False,225,2,-2,4,-4,6
id09,2024-09-19,2024-09-18,False,225,1,-1,1,-1,6
id09,2024-09-22,2024-09-21,False,226,1,1,1,1,6
id10,2024-08-11,2024-08-10,False,235,3,-3,7,-7,6
id10,2024-08-14,2024-08-13,False,235,2,-2,4,-4,6
id10,2024-08-17,2024-08-16,False,235,1,-1,1,-1,6
id10,2024-08-19,2024-08-18,False,235,1,1,1,1,6
id10,2024-08-20,2024-08-19,False,235,2,2,2,2,6
id10,2024-08-23,2024-08-22,False,235,3,3,5,5,6
id10,2024-09-16,2024-09-15,False,242,3,-3,3,-3,6
id10,2024-09-17,2024-09-16,False,242,2,-2,2,-2,6
id10,2024-09-18,2024-09-17,False,242,1,-1,1,-1,6
id10,2024-09-20,2024-09-19,False,242,1,1,1,1,6
id10,2024-09-21,2024-09-20,False,242,2,2,2,2,6
id10,2024-09-22,2024-09-21,False,242,3,3,3,3,6
