row,subject_id,sleep_date,lifelog_date,target_index,target,flat_idx,h057_prob,source_prob,source_move,listener_coef,listener_rank,benefit,toxicity,h088_same_direction,h088_toxic_rank,branch_penalty_rank,score,passes_listeneraware_gate,amp,new_prob
10,id01,2024-08-13,2024-08-12,1,Q2,71,0.5036388558656353,0.446074126997159,-0.2311014127587892,4.891861923685e-06,0.972,1.1305162015845317e-06,-1.1305162015845317e-06,False,0.312,0.5,1.603114285714286,True,0.82,0.45637434326956083
203,id09,2024-08-08,2024-08-07,1,Q2,1422,0.3613005920532577,0.3043180911327668,-0.2570953648305928,4.564369202747225e-06,0.9657142857142857,1.17347816540182e-06,-1.17347816540182e-06,False,0.312,0.5,1.6011428571428572,True,0.82,0.3142031154531968
121,id05,2024-11-13,2024-11-12,1,Q2,848,0.4463584382757546,0.3766482036181832,-0.28840426136897857,3.349819912912275e-06,0.9554285714285714,9.661023377025607e-07,-9.661023377025607e-07,False,0.312,0.5,1.5948000000000002,True,0.82,0.3889122874194908
225,id09,2024-09-20,2024-09-19,1,Q2,1576,0.5141995124977706,0.5599808927099652,0.1842711846769176,-4.733255503672327e-06,0.9702857142857143,8.7220259904024e-07,-8.7220259904024e-07,False,0.312,0.5,1.5937714285714286,True,0.82,0.5517924809897027
151,id06,2024-08-25,2024-08-24,4,S2,1061,0.9981439428441186,0.998512435704624,0.22168345774553444,-3.172074284450366e-06,0.9537142857142857,7.031963956026492e-07,-7.031963956026492e-07,False,0.312,0.5,1.587314285714286,True,0.82,0.9984519709409253
78,id03,2024-10-06,2024-10-05,1,Q2,547,0.839290393934458,0.8837226247662203,0.37520701953641966,-1.987882583629797e-06,0.9331428571428572,7.458674993920936e-07,-7.458674993920936e-07,False,0.312,0.5,1.5812000000000002,True,0.82,0.8766008435105
149,id06,2024-08-23,2024-08-22,1,Q2,1044,0.7341328135155835,0.7796186282704696,0.2477522366459819,-2.1709649402674874e-06,0.936,5.378614196312805e-07,-5.378614196312805e-07,False,0.312,0.5,1.5762000000000003,True,0.82,0.7718610909155091
216,id09,2024-09-07,2024-09-06,1,Q2,1513,0.6270669253061968,0.5913508855539167,-0.15010161545868156,2.9068751081025837e-06,0.9497142857142857,4.3632664966282743e-07,-4.3632664966282743e-07,False,0.312,0.5,1.5680857142857143,True,0.82,0.5978635207368096
139,id06,2024-07-19,2024-07-18,1,Q2,974,0.6009371510282896,0.6390085681697707,0.16169220512964994,-2.4154768668375616e-06,0.9422857142857143,3.9056378103862314e-07,-3.9056378103862314e-07,False,0.312,0.5,1.5660285714285715,True,0.82,0.632268023172551
144,id06,2024-08-14,2024-08-13,1,Q2,1009,0.7177693067748002,0.8059110184342224,0.49023319560195944,-2.5509697517850973e-06,0.9457142857142857,1.2505700533015455e-06,-1.2505700533015455e-06,True,0.696,0.5,1.4024285714285716,True,0.82,0.7917348693844617
10,id01,2024-08-13,2024-08-12,0,Q1,70,0.0845240805884701,0.0842013651106576,-0.004177786352629553,1.0220730686365601e-06,0.8571428571428571,4.2700029175400295e-09,-4.2700029175400295e-09,True,0.6268571428571429,0.5,1.2655714285714286,True,0.82,0.08425937120876938
143,id06,2024-08-13,2024-08-12,1,Q2,1002,0.7519442253721398,0.7906296236499518,0.2197162665234924,-1.7376350045585757e-06,0.924,3.8178667578214195e-07,-3.8178667578214195e-07,True,0.9188571428571428,0.5,1.2599428571428573,True,0.82,0.7840076644315583
