candidate_id,row,target_index,target,delta_logit_vs_h136,new_logit_move
h139_45363149,135,4,S2,0.0059310198113783335,0.005931019811379666
h139_45363149,207,4,S2,-0.01375,-0.01375
h139_513d7fc7,70,2,Q3,-0.008519516769513374,0.03986292414377221
h139_513d7fc7,135,2,Q3,-0.009583641322968746,0.044841976066730786
h139_513d7fc7,135,4,S2,0.0059310198113783335,0.005931019811379666
h139_513d7fc7,207,4,S2,-0.01375,-0.01375
h139_bf2b3e77,70,2,Q3,-0.01703903353902675,0.031343407374258836
h139_bf2b3e77,131,4,S2,0.01766321813242195,0.01766321813242195
h139_bf2b3e77,207,4,S2,-0.01375,-0.01375
h139_36ef7e46,70,2,Q3,-0.009939436231098941,0.03844300468218664
h139_36ef7e46,131,4,S2,0.01766321813242195,0.01766321813242195
h139_36ef7e46,135,2,Q3,-0.005590457438398436,0.048835159951301096
h139_36ef7e46,135,4,S2,0.0059310198113783335,0.005931019811379666
h139_992db012,70,2,Q3,-0.019878872462197883,0.028503568451087702
h139_992db012,131,4,S2,0.01766321813242195,0.01766321813242195
h139_992db012,135,2,Q3,-0.005590457438398436,0.048835159951301096
h139_992db012,135,4,S2,0.0059310198113783335,0.005931019811379666
h139_a390e6ca,70,2,Q3,-0.008519516769513374,0.03986292414377221
h139_a390e6ca,131,4,S2,0.01766321813242195,0.01766321813242195
h139_a390e6ca,135,2,Q3,-0.005590457438398436,0.048835159951301096
h139_a390e6ca,135,4,S2,0.0059310198113783335,0.005931019811379666
h139_98234dfe,70,2,Q3,-0.01703903353902675,0.031343407374258836
h139_98234dfe,131,4,S2,0.01766321813242195,0.01766321813242195
h139_98234dfe,135,2,Q3,-0.005590457438398436,0.048835159951301096
h139_98234dfe,135,4,S2,0.0059310198113783335,0.005931019811379666
h139_9a715bf4,70,2,Q3,-0.004969718115549471,0.043412722797736114
h139_9a715bf4,131,4,S2,0.01766321813242195,0.01766321813242195
h139_9a715bf4,135,2,Q3,-0.009583641322968746,0.044841976066730786
h139_9a715bf4,135,4,S2,0.0059310198113783335,0.005931019811379666
h139_9a30dbdc,70,2,Q3,-0.009939436231098941,0.03844300468218664
h139_9a30dbdc,131,4,S2,0.01766321813242195,0.01766321813242195
h139_9a30dbdc,135,2,Q3,-0.009583641322968746,0.044841976066730786
h139_9a30dbdc,135,4,S2,0.0059310198113783335,0.005931019811379666
h139_fa6541c7,70,2,Q3,-0.008519516769513374,0.03986292414377221
h139_fa6541c7,131,4,S2,0.01766321813242195,0.01766321813242195
h139_fa6541c7,135,2,Q3,-0.009583641322968746,0.044841976066730786
h139_fa6541c7,135,4,S2,0.0059310198113783335,0.005931019811379666
h139_a5d0258f,70,2,Q3,-0.01703903353902675,0.031343407374258836
h139_a5d0258f,131,4,S2,0.01766321813242195,0.01766321813242195
h139_a5d0258f,135,2,Q3,-0.009583641322968746,0.044841976066730786
h139_a5d0258f,135,4,S2,0.0059310198113783335,0.005931019811379666
h139_7782f75a,70,2,Q3,-0.004969718115549471,0.043412722797736114
h139_7782f75a,131,4,S2,0.01766321813242195,0.01766321813242195
h139_7782f75a,135,2,Q3,-0.019167282645937492,0.03525833474376204
h139_7782f75a,135,4,S2,0.011862039622756667,0.011862039622758
