source,source_idea_no,idea_id,experiment_id,idea,families,experiment_family,experiment_stage,risk,implementation_batch,status,expected_artifact,validation_gate
gpt,7,gpt_007_home_return_to_home_return_day_gps에서_밤_home_복귀_시,domain_gpt_007,"Home-return-to-home-return day**: GPS에서 밤 home 복귀 시점부터 다음 home 복귀까지. 외출/귀가 리듬이 중요한 사람에게 유리. 위험: 높음, home 추정 과적합 가능.",day_slicing|cross_modal,day_slicing,day_state_features,medium,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,8,gpt_008_circadian_phase_day_subject별_median_bedtime을_0_p,domain_gpt_008,Circadian phase day**: subject별 median bedtime을 0 phase로 두고 하루를 phase coordinate로 변환. 사람별 늦잠/올빼미 차이 제거. 위험: 낮음.,day_slicing|subject_deviation|episode,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,9,gpt_009_workday_behavioral_day_첫_장거리_이동_또는_첫_외출을_day_sta,domain_gpt_009,Workday behavioral day**: 첫 장거리 이동 또는 첫 외출을 day start로 정의. 출근/등교 루틴 deviation을 포착. 위험: 중간.,day_slicing|subject_deviation,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,10,gpt_010_recovery_day_split_수면_종료_후_4시간을_별도_recovery_bloc,domain_gpt_010,Recovery day split**: 수면 종료 후 4시간을 별도 “recovery block”으로 분리. Q1과 Q2의 carry-over 효과에 유리. 위험: 낮음.,day_slicing|rolling_memory|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,11,gpt_011_pre_sleep_half_day_라벨_날짜의_수면_직전_6_10시간만_별도_view로,domain_gpt_011,"Pre-sleep half-day**: 라벨 날짜의 수면 직전 6~10시간만 별도 view로 구성. Q2, Q3에 특화. 위험: 낮음.",day_slicing|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,12,gpt_012_post_sleep_half_day_기상_후_6_10시간을_별도_view로_구성_q1의,domain_gpt_012,"Post-sleep half-day**: 기상 후 6~10시간을 별도 view로 구성. Q1의 체감 품질, 회복감 proxy. 위험: 중간.",day_slicing|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,13,gpt_013_night_only_day_21시_다음날_09시만_사용한_night_representa,domain_gpt_013,Night-only day**: 21시~다음날 09시만 사용한 night representation. S1~S4와 Q1에 특화. 위험: 낮음.,day_slicing|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,14,gpt_014_social_jetlag_day_평일_주말_구분_대신_subject별_평소보다_늦게_시,domain_gpt_014,Social jetlag day**: 평일/주말 구분 대신 subject별 “평소보다 늦게 시작한 하루”를 별도 day type으로 인코딩. Q2/Q3에 유리. 위험: 중간.,day_slicing|subject_deviation|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,15,gpt_015_transition_day_전날과_오늘의_루틴이_급격히_바뀐_날을_별도_class로_취,domain_gpt_015,"Transition day**: 전날과 오늘의 루틴이 급격히 바뀐 날을 별도 class로 취급. 여행, 일정 변화, 회복일 포착. 위험: 중간.",day_slicing|episode,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,16,gpt_016_personal_routine_residual_각_feature를_subject_med,domain_gpt_016,Personal routine residual**: 각 feature를 subject median day curve에서 뺀 residual sequence로 변환. 핵심 representation. 위험: 낮음.,day_slicing|subject_deviation|token_ssl,day_slicing,day_state_features,low,encoder_pretrain_later,queued_encoder_ssl,artifacts/domain_encoder_tokens_v1.npz,ssl_reconstruction_and_drift
gpt,17,gpt_017_routine_percentile_token_오늘의_취침_기상_이동량_phone_사용량,domain_gpt_017,"Routine percentile token**: 오늘의 취침, 기상, 이동량, phone 사용량을 subject 내 percentile로 표현. absolute scale 제거. 위험: 낮음.",subject_deviation|cross_modal|token_ssl,subject_deviation,subject_relative_features,low,encoder_pretrain_later,queued_encoder_ssl,artifacts/domain_encoder_tokens_v1.npz,ssl_reconstruction_and_drift
gpt,18,gpt_018_late_than_usual_bedtime_취침_시각이_본인_평소보다_얼마나_늦었는지_,domain_gpt_018,"Late-than-usual bedtime**: 취침 시각이 본인 평소보다 얼마나 늦었는지. S3, Q2, Q3에 유리. 위험: 낮음.",day_slicing|episode|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,19,gpt_019_early_wake_deviation_평소보다_얼마나_일찍_깼는지_s1_q1_q2에_유,domain_gpt_019,"Early wake deviation**: 평소보다 얼마나 일찍 깼는지. S1, Q1, Q2에 유리. 위험: 낮음.",day_slicing|subject_deviation|episode|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,20,gpt_020_sleep_regularity_break_최근_2주_수면_midpoint_varianc,domain_gpt_020,Sleep regularity break**: 최근 2주 수면 midpoint variance 대비 오늘 midpoint 이탈. 수면 질과 피로에 유리. 위험: 낮음.,day_slicing,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,21,gpt_021_routine_entropy_spike_하루_episode_전이_패턴이_평소보다_불규칙,domain_gpt_021,Routine entropy spike**: 하루 episode 전이 패턴이 평소보다 불규칙한 정도. 스트레스/피로 proxy. 위험: 중간.,subject_deviation|episode,subject_deviation,subject_relative_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,22,gpt_022_home_stay_deviation_평소_대비_집에_머문_시간이_많거나_적은지_우울_피,domain_gpt_022,Home-stay deviation**: 평소 대비 집에 머문 시간이 많거나 적은지. 우울/피로/휴식일 proxy 가능. 위험: 중간.,subject_deviation,subject_deviation,subject_relative_features,medium,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,23,gpt_023_out_of_home_novelty_평소_가지_않던_장소_cluster_방문_여부_스트,domain_gpt_023,Out-of-home novelty**: 평소 가지 않던 장소 cluster 방문 여부. 스트레스 또는 활력 proxy. 위험: 중간.,motif_retrieval,motif_retrieval,unsupervised_state_diagnostics,medium,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,24,gpt_024_commuting_compression_평소_이동_루틴보다_이동이_짧거나_사라진_날_휴,domain_gpt_024,"Commuting compression**: 평소 이동 루틴보다 이동이 짧거나 사라진 날. 휴일, 재택, 컨디션 저하 포착. 위험: 중간.",misc_domain,misc_domain,manual_review,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,25,gpt_025_evening_stimulation_deviation_평소_대비_저녁_phone_act,domain_gpt_025,Evening stimulation deviation**: 평소 대비 저녁 phone/activity/mobility가 증가했는지. 입면 지연 S3에 유리. 위험: 낮음.,day_slicing|subject_deviation|cross_modal|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,26,gpt_026_night_fragmentation_residual_subject별_평소_야간_깨짐_패,domain_gpt_026,"Night fragmentation residual**: subject별 평소 야간 깨짐 패턴 대비 오늘의 interruption 증가. S4, Q1에 유리. 위험: 낮음.",day_slicing|subject_deviation|episode|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,27,gpt_027_rest_after_stress_pattern_전날_고활동_고이동_이후_오늘_저활동이면,domain_gpt_027,Rest-after-stress pattern**: 전날 고활동/고이동 이후 오늘 저활동이면 회복일 token 부여. Q2에 유리. 위험: 중간.,token_ssl|target_view,token_ssl,encoder_ssl_pretraining,low,encoder_pretrain_later,queued_encoder_ssl,artifacts/domain_encoder_tokens_v1.npz,ssl_reconstruction_and_drift
gpt,28,gpt_028_personal_weekend_effect_제거_요일_effect를_subject별로_,domain_gpt_028,Personal weekend effect 제거**: 요일 effect를 subject별로 제거한 residual day. Public shift 완화. 위험: 낮음.,day_slicing|subject_deviation,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,29,gpt_029_subject_routine_archetype_embedding_사람_자체를_id로_넣,domain_gpt_029,"Subject routine archetype embedding**: 사람 자체를 id로 넣기보다 “regular sleeper”, “late sleeper”, “high mobility” 같은 archetype으로 변환. 위험: 중간.",day_slicing|subject_deviation|episode,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,30,gpt_030_deviation_direction_only_수치_크기보다_평소보다_많음_적음_비슷함_,domain_gpt_030,Deviation direction only**: 수치 크기보다 `평소보다 많음/적음/비슷함` ternary token으로 표현. 작은 라벨에서 robust. 위험: 낮음.,subject_deviation|token_ssl,subject_deviation,subject_relative_features,low,encoder_pretrain_later,queued_encoder_ssl,artifacts/domain_encoder_tokens_v1.npz,ssl_reconstruction_and_drift
gpt,31,gpt_031_7_day_acute_deviation_최근_7일_평균_루틴_대비_오늘_이탈_단기_컨디,domain_gpt_031,7-day acute deviation**: 최근 7일 평균 루틴 대비 오늘 이탈. 단기 컨디션 변화 포착. 위험: 낮음.,day_slicing|subject_deviation|rolling_memory,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,32,gpt_032_28_day_baseline_deviation_subject의_장기_baseline_대,domain_gpt_032,28-day baseline deviation**: subject의 장기 baseline 대비 오늘 위치. 개인차 제거. 위험: 낮음.,day_slicing|subject_deviation|rolling_memory,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,33,gpt_033_7_vs_28_fatigue_accumulation_최근_7일_수면_활동이_28일_기준,domain_gpt_033,7 vs 28 fatigue accumulation**: 최근 7일 수면/활동이 28일 기준보다 나빠지는 추세인지. Q2에 유리. 위험: 낮음.,rolling_memory|target_view,rolling_memory,past_context_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,34,gpt_034_sleep_debt_ledger_최근_7_14일_동안_평소_수면시간보다_부족했던_누적량,domain_gpt_034,"Sleep debt ledger**: 최근 7/14일 동안 평소 수면시간보다 부족했던 누적량. S1, Q2, Q1에 유리. 위험: 낮음.",day_slicing|rolling_memory|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,35,gpt_035_irregularity_debt_최근_14일간_bedtime_waketime_흔들림의_,domain_gpt_035,Irregularity debt**: 최근 14일간 bedtime/waketime 흔들림의 누적. Q1/Q2/S3에 유리. 위험: 낮음.,day_slicing|rolling_memory|episode|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,36,gpt_036_mobility_load_accumulation_최근_7일_이동_거리_장소_전환이_평소,domain_gpt_036,Mobility load accumulation**: 최근 7일 이동 거리·장소 전환이 평소보다 많았는지. 피로/스트레스 proxy. 위험: 중간.,rolling_memory,rolling_memory,past_context_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,37,gpt_037_recovery_adequacy_ratio_어제_high_load_day_이후_오늘_수,domain_gpt_037,Recovery adequacy ratio**: 어제 high-load day 이후 오늘 수면이 충분히 늘었는지. Q1/Q2에 유리. 위험: 낮음.,day_slicing|rolling_memory|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,38,gpt_038_rolling_missingness_health_최근_7일_결측_증가가_기기_미착용인지,domain_gpt_038,Rolling missingness health**: 최근 7일 결측 증가가 기기 미착용인지 생활 변화인지 episode로 해석. 위험: 중간.,rolling_memory|episode|missingness,rolling_memory,past_context_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,39,gpt_039_recent_phone_at_night_streak_야간_phone_사용이_며칠_연속_,domain_gpt_039,Recent phone-at-night streak**: 야간 phone 사용이 며칠 연속 지속됐는지. S3/S4/Q1에 유리. 위험: 낮음.,day_slicing|rolling_memory|cross_modal|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,40,gpt_040_late_bedtime_streak_평소보다_늦은_취침이_연속된_길이_q2_s3에_유리,domain_gpt_040,"Late bedtime streak**: 평소보다 늦은 취침이 연속된 길이. Q2, S3에 유리. 위험: 낮음.",day_slicing|rolling_memory|episode|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,41,gpt_041_weekend_recovery_contrast_평일_누적_부채가_주말_수면으로_회복됐는,domain_gpt_041,Weekend recovery contrast**: 평일 누적 부채가 주말 수면으로 회복됐는지. Q1/S1에 유리. 위험: 중간.,rolling_memory|target_view,rolling_memory,past_context_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,42,gpt_042_slope_token_최근_7일의_수면_활동_missingness가_개선_중인지_악화_,domain_gpt_042,Slope token**: 최근 7일의 수면/활동/missingness가 개선 중인지 악화 중인지 discrete token화. 위험: 낮음.,rolling_memory|missingness|token_ssl,rolling_memory,past_context_features,low,encoder_pretrain_later,queued_encoder_ssl,artifacts/domain_encoder_tokens_v1.npz,ssl_reconstruction_and_drift
gpt,43,gpt_043_sleep_onset_candidate_episode_야간_phone_종료_장시간_정지,domain_gpt_043,Sleep onset candidate episode**: 야간 phone 종료 + 장시간 정지 + location home이 만나는 첫 시점을 입면 후보로 생성. S3에 유리. 위험: 중간.,day_slicing|episode|cross_modal|target_view,day_slicing,day_state_features,medium,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,44,gpt_044_wake_candidate_episode_아침_phone_unlock_movement_,domain_gpt_044,Wake candidate episode**: 아침 phone unlock + movement onset + location transition을 기상 후보로 생성. S1/S2에 유리. 위험: 중간.,day_slicing|episode|cross_modal|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,45,gpt_045_pre_bed_arousal_score_취침_전_2시간의_phone_burst_이동_a,domain_gpt_045,"Pre-bed arousal score**: 취침 전 2시간의 phone burst, 이동, activity 증가를 arousal로 표현. S3/Q2에 유리. 위험: 낮음.",episode|cross_modal|target_view,episode,token_episode_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,46,gpt_046_night_phone_intrusion_count_추정_수면_구간_내_phone_eve,domain_gpt_046,Night phone intrusion count**: 추정 수면 구간 내 phone event burst 수. S4/Q1에 유리. 위험: 낮음.,day_slicing|episode|cross_modal|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,47,gpt_047_long_stillness_purity_가장_긴_정지_episode_안에서_phone_,domain_gpt_047,Long stillness purity**: 가장 긴 정지 episode 안에서 phone/GPS/activity interruption이 얼마나 적은지. S2에 유리. 위험: 낮음.,episode|cross_modal|target_view,episode,token_episode_features,medium,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,48,gpt_048_micro_awakening_proxy_수면_중_짧은_phone_motion_gps_n,domain_gpt_048,Micro-awakening proxy**: 수면 중 짧은 phone/motion/GPS noise가 반복되는 패턴. S4에 유리. 위험: 중간.,day_slicing|episode|cross_modal|target_view,day_slicing,day_state_features,medium,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,49,gpt_049_sleep_compression_침대에_있었던_시간_대비_실제_quiet_sleep로_,domain_gpt_049,Sleep compression**: 침대에 있었던 시간 대비 실제 quiet sleep로 보이는 시간. S2/S3에 유리. 위험: 중간.,day_slicing|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,50,gpt_050_early_morning_fragmentation_기상_직전_2시간의_깨짐_phone_,domain_gpt_050,Early morning fragmentation**: 기상 직전 2시간의 깨짐/phone 확인 증가. Q1에 유리. 위험: 낮음.,episode|cross_modal|target_view,episode,token_episode_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,51,gpt_051_bedtime_procrastination_pattern_home_도착_후_취침_후보까,domain_gpt_051,Bedtime procrastination pattern**: home 도착 후 취침 후보까지의 지연이 평소보다 긴지. Q2/S3에 유리. 위험: 중간.,day_slicing|episode|target_view,day_slicing,day_state_features,medium,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,52,gpt_052_nocturnal_mobility_anomaly_밤_시간대_gps_이동_또는_장소_변화,domain_gpt_052,Nocturnal mobility anomaly**: 밤 시간대 GPS 이동 또는 장소 변화. 수면 방해/외박/야간 활동 포착. 위험: 중간.,cross_modal,cross_modal,cross_modal_token_features,medium,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,53,gpt_053_nap_episode_extraction_낮_시간_장시간_정지_phone_silence,domain_gpt_053,Nap episode extraction**: 낮 시간 장시간 정지+phone silence를 낮잠 후보로 추출. Q2와 야간 S3에 영향. 위험: 중간.,episode|cross_modal|target_view,episode,token_episode_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,54,gpt_054_sleep_rebound_marker_전날_짧은_수면_후_오늘_긴_수면_또는_늦잠_s1,domain_gpt_054,Sleep rebound marker**: 전날 짧은 수면 후 오늘 긴 수면 또는 늦잠. S1/Q1에 유리. 위험: 낮음.,day_slicing|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,55,gpt_055_alarm_like_wake_pattern_같은_시각_반복_기상_vs_자연_기상_추정_,domain_gpt_055,Alarm-like wake pattern**: 같은 시각 반복 기상 vs 자연 기상 추정. 수면 부족/사회적 압박 proxy. 위험: 중간.,day_slicing|episode,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,56,gpt_056_place_vocabulary_gps를_raw_좌표_대신_home_work_third_,domain_gpt_056,Place vocabulary**: GPS를 raw 좌표 대신 home/work/third-place/novel-place token으로 변환. 위험: 중간.,cross_modal|token_ssl,cross_modal,cross_modal_token_features,medium,encoder_pretrain_later,queued_encoder_ssl,artifacts/domain_encoder_tokens_v1.npz,ssl_reconstruction_and_drift
gpt,57,gpt_057_place_transition_grammar_home_work_food_home_같은_,domain_gpt_057,Place transition grammar**: `home → work → food → home` 같은 장소 전이 sequence를 하루 문장으로 표현. Q2/Q3에 유리. 위험: 중간.,episode|token_ssl|target_view,episode,token_episode_features,medium,encoder_pretrain_later,queued_encoder_ssl,artifacts/domain_encoder_tokens_v1.npz,ssl_reconstruction_and_drift
gpt,58,gpt_058_mobility_radius_deviation_오늘_생활_반경이_평소보다_좁거나_넓은지,domain_gpt_058,Mobility radius deviation**: 오늘 생활 반경이 평소보다 좁거나 넓은지. 스트레스/피로/휴식일 proxy. 위험: 낮음.,subject_deviation,subject_deviation,subject_relative_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,59,gpt_059_dwell_fragmentation_한_장소에_오래_머무는지_짧게_자주_이동하는지_정신,domain_gpt_059,"Dwell fragmentation**: 한 장소에 오래 머무는지, 짧게 자주 이동하는지. 정신적 부하 proxy. 위험: 중간.",episode,episode,token_episode_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,60,gpt_060_evening_return_stability_귀가_시각과_이후_외출_여부_s3_q2에_,domain_gpt_060,Evening return stability**: 귀가 시각과 이후 외출 여부. S3/Q2에 유리. 위험: 낮음.,day_slicing|target_view,day_slicing,day_state_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,61,gpt_061_last_outside_activity_before_bed_취침_전_마지막_외부_활동_,domain_gpt_061,Last outside activity before bed**: 취침 전 마지막 외부 활동 종료 시점. 피로와 입면에 유리. 위험: 낮음.,episode|cross_modal,episode,token_episode_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,62,gpt_062_commute_stress_proxy_이동_시간이_평소보다_길고_정체_정지_이동_반복이,domain_gpt_062,Commute stress proxy**: 이동 시간이 평소보다 길고 정체/정지-이동 반복이 많았는지. Q3/Q2에 유리. 위험: 중간.,target_view,target_view,decoder_probe_later,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,63,gpt_063_indoor_sedentary_block_home에서_긴_정지_episode가_낮에_발,domain_gpt_063,Indoor sedentary block**: home에서 긴 정지 episode가 낮에 발생했는지. 피로/회복/무기력 proxy. 위험: 중간.,episode,episode,token_episode_features,medium,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,64,gpt_064_activity_rhythm_amplitude_하루_활동이_낮에_집중됐는지_밤까지_퍼졌,domain_gpt_064,Activity rhythm amplitude**: 하루 활동이 낮에 집중됐는지 밤까지 퍼졌는지. 수면 질에 유리. 위험: 낮음.,cross_modal,cross_modal,cross_modal_token_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
gpt,65,gpt_065_last_high_intensity_activity_lag_마지막_높은_activity,domain_gpt_065,Last high-intensity activity lag**: 마지막 높은 activity와 취침 사이 간격. S3/Q1에 유리. 위험: 낮음.,cross_modal|target_view,cross_modal,cross_modal_token_features,low,domain_state_v1,ready,artifacts/domain_state_features_v1.parquet,feature_schema_and_unsupervised_diagnostics
