numeric_features,categorical_features
usage_evening_finance_time,
usage_evening_game_time,
usage_evening_health_time,
usage_evening_media_time,
usage_evening_mobility_time,
usage_evening_other_time,
usage_evening_religion_time,
usage_evening_search_news_time,
usage_evening_shopping_food_time,
usage_evening_system_time,
usage_evening_work_time,
usage_late_call_time,
usage_late_chat_time,
usage_late_finance_time,
usage_late_health_time,
usage_late_media_time,
usage_late_mobility_time,
usage_late_other_time,
usage_late_religion_time,
usage_late_search_news_time,
usage_late_shopping_food_time,
usage_late_system_time,
usage_late_work_time,
usage_morning_call_time,
usage_morning_chat_time,
usage_morning_finance_time,
usage_morning_game_time,
usage_morning_health_time,
usage_morning_media_time,
usage_morning_mobility_time,
usage_morning_other_time,
usage_morning_religion_time,
usage_morning_search_news_time,
usage_morning_shopping_food_time,
usage_morning_system_time,
usage_morning_work_time,
usage_prebed_call_time,
usage_prebed_chat_time,
usage_prebed_finance_time,
usage_prebed_health_time,
usage_prebed_media_time,
usage_prebed_mobility_time,
usage_prebed_other_time,
usage_prebed_religion_time,
usage_prebed_search_news_time,
usage_prebed_shopping_food_time,
usage_prebed_system_time,
usage_prebed_work_time,
usage_cat_call_time_share,
usage_cat_chat_time_share,
usage_cat_finance_time_share,
usage_cat_game_time_share,
usage_cat_health_time_share,
usage_cat_media_time_share,
usage_cat_mobility_time_share,
usage_cat_other_time_share,
usage_cat_religion_time_share,
usage_cat_search_news_time_share,
usage_cat_shopping_food_time_share,
usage_cat_system_time_share,
usage_cat_work_time_share,
gps_points,
gps_speed_mean,
gps_speed_max,
gps_lat_std_mean,
gps_lon_std_mean,
gps_points_day,
gps_points_early,
gps_points_evening,
gps_points_late,
gps_points_morning,
gps_points_prebed,
gps_speed_mean_day,
gps_speed_mean_early,
gps_speed_mean_evening,
gps_speed_mean_late,
gps_speed_mean_morning,
gps_speed_mean_prebed,
gps_speed_max_day,
gps_speed_max_early,
gps_speed_max_evening,
gps_speed_max_late,
gps_speed_max_morning,
gps_speed_max_prebed,
ble_rows,
ble_list_len_sum,
ble_list_len_mean,
ble_list_len_max,
wifi_rows,
wifi_list_len_sum,
wifi_list_len_mean,
wifi_list_len_max,
ambience_rows,
ambience_list_len_sum,
raw_phone_arousal,
raw_finance_pressure,
raw_religion_weekend,
raw_work_search_load,
raw_mobility_load,
raw_body_load,
raw_light_exposure,
raw_home_anchor,
raw_outdoor_social,
raw_screen_no_mobility,
raw_prev_delta,
raw_next_delta,
raw_two_sided_delta,
raw_acceleration,
raw_subject_novelty,
raw_subject_day_pos,
raw_subject_edge_prox,
raw_transition_energy,
raw_transition_q,
n_cells,
q2_cells,
s_cells,
route_score,
assignment_route_score,
outside_h069_cells,
outside_h070_cells,
mean_shortcut_energy,
mean_public_score,
mean_invariant_score,
route_score_rank,
assignment_rank,
outside_rank,
shortcut_avoid_rank,
h082_rank,
hard_conf_rank,
scale_rank,
has_q2,
has_q,
is_objective_route,
is_full_state_route,
is_recovery_route,
posterior_mode,
private_mode,
