cell_key,row_index,subject_id,target,action_family,action_expert,true_gain,keep,group_mode,neighbors,weights,threshold,predicted_gain,neighbor_positive_rate,neighbor_count,neighbor_subjects,mean_distance
220:S2,15,id05,S2,core_action_health,hsjepa_action_health__strict_listener_health,0.19965777762324755,True,target_expert,3,uniform,-0.1,0.20928907645291445,1.0,1,id10,5.046080708514001
220:S3,16,id05,S3,core_action_health,hsjepa_action_health__wide_listener_health,0.310175875318367,True,target_expert,3,uniform,-0.1,0.0,0.0,0,,
220:S4,17,id05,S4,core_action_health,hsjepa_action_health__high_margin_listener_health,-0.3988672477662061,True,target_expert,3,uniform,-0.1,0.3558171131237646,1.0,1,id04,5.0759398600012915
222:Q2,18,id05,Q2,prior,global_prior,0.20139850460205455,True,target_expert,3,uniform,-0.1,0.306956721884121,1.0,3,"id06,id09",4.677006193972174
222:S2,19,id05,S2,core_action_health,hsjepa_action_health__strict_listener_health,0.403927828789278,True,target_expert,3,uniform,-0.1,0.20928907645291445,1.0,1,id10,3.279186440359274
222:S3,20,id05,S3,core_action_health,hsjepa_action_health__wide_listener_health,0.36959544834544145,True,target_expert,3,uniform,-0.1,0.0,0.0,0,,
260:S3,21,id06,S3,prior,global_prior,-0.2216573466288972,False,target_expert,3,uniform,-0.1,-0.12200748448116266,0.0,1,id07,4.2150473251175695
261:Q2,22,id06,Q2,prior,global_prior,-0.3780527007075831,True,target_expert,3,uniform,-0.1,0.10927726952981914,0.6666666666666666,3,"id04,id09",4.74862992554391
262:Q2,23,id06,Q2,prior,global_prior,0.3129012071569802,True,target_expert,3,uniform,-0.1,0.12485152819101869,0.6666666666666666,3,"id04,id09",4.533001459252435
263:Q2,24,id06,Q2,prior,global_prior,0.4117507125219403,True,target_expert,3,uniform,-0.1,0.12485152819101869,0.6666666666666666,3,"id04,id09",5.3265081783888215
263:Q3,25,id06,Q3,prior,global_prior,0.29821632585829716,True,target_expert,3,uniform,-0.1,-0.07734444554595761,0.3333333333333333,3,"id04,id08",5.31738651072948
263:S3,26,id06,S3,prior,global_prior,-0.35427154957644225,False,target_expert,3,uniform,-0.1,-0.12200748448116266,0.0,1,id07,7.3316452887404715
264:S3,27,id06,S3,prior,global_prior,-0.2827772838294356,False,target_expert,3,uniform,-0.1,-0.12200748448116266,0.0,1,id07,6.624466608411041
265:Q2,28,id06,Q2,prior,global_prior,-0.29450363228548593,True,target_expert,3,uniform,-0.1,0.13571761094807486,0.6666666666666666,3,"id04,id09",5.520698579314897
266:S3,29,id06,S3,prior,subject_prior,0.17981042660783586,True,target_expert,3,uniform,-0.1,0.0,0.0,0,,
267:S3,30,id06,S3,prior,global_prior,-0.2057752910847491,False,target_expert,3,uniform,-0.1,-0.12200748448116266,0.0,1,id07,4.795012149439203
268:Q2,31,id06,Q2,prior,global_prior,0.3129012071569802,True,target_expert,3,uniform,-0.1,0.12485152819101869,0.6666666666666666,3,"id04,id09",5.725615850658591
269:Q2,32,id06,Q2,prior,global_prior,0.2229499312990625,True,target_expert,3,uniform,-0.1,0.2997729129851184,1.0,3,"id05,id09",4.079744986593063
269:S3,33,id06,S3,core_action_health,hsjepa_action_health__strict_listener_health,0.14778999953184224,True,target_expert,3,uniform,-0.1,0.3295927289859972,1.0,2,id05,7.898208946632156
315:S3,34,id07,S3,prior,global_prior,-0.12200748448116266,False,target_expert,3,uniform,-0.1,-0.23673664051436064,0.0,3,id06,5.211508694322604
368:Q3,35,id08,Q3,prior,global_prior,0.1888309178718589,True,target_expert,3,uniform,-0.1,0.23408489020246462,0.6666666666666666,3,"id04,id09",3.6671468548856736
369:Q3,36,id08,Q3,prior,global_prior,0.11454267065585733,True,target_expert,3,uniform,-0.1,0.4047441868762611,1.0,3,"id06,id09",5.293913017130266
375:Q3,37,id08,Q3,prior,global_prior,-0.20710269034663953,True,target_expert,3,uniform,-0.1,0.23408489020246462,0.6666666666666666,3,"id04,id09",4.054982003249796
410:Q2,38,id09,Q2,prior,global_prior,0.36525924131223453,True,target_expert,3,uniform,-0.1,0.29067104293184015,1.0,3,"id04,id05,id06",4.283315956058662
410:Q3,39,id09,Q3,prior,global_prior,0.44094119656475816,True,target_expert,3,uniform,-0.1,-0.08882334163592502,0.3333333333333333,3,"id04,id08",4.11861470924348
412:Q2,40,id09,Q2,prior,global_prior,0.332660993041066,True,target_expert,3,uniform,-0.1,0.015431911731177972,0.6666666666666666,3,"id05,id06",4.182280501562311
412:Q3,41,id09,Q3,prior,global_prior,0.47507503820572794,True,target_expert,3,uniform,-0.1,-0.08882334163592502,0.3333333333333333,3,"id04,id08",3.8846200557145525
414:Q3,42,id09,Q3,raw_action_core_health,raw_action_core_health__high_margin_listener_health,0.31977046736485765,True,target_expert,3,uniform,-0.1,0.0,0.0,0,,
444:S2,43,id10,S2,core_action_health,hsjepa_action_health__strict_listener_health,0.20928907645291445,True,target_expert,3,uniform,-0.1,0.2889357937647153,1.0,3,id05,4.0900201701003
