story_family,route_name,manual_pref,hypothesis_pref,route_pref
cashflow_stress,q3_quality,0.0,0.0,0.0
cashflow_stress,q_subjective,0.23,0.0,0.1886
cashflow_stress,q1q3_subjective,0.0,0.0,0.0
cashflow_stress,s_stage,0.0,0.0,0.0
cashflow_stress,s23_core,0.0,0.0,0.0
cashflow_stress,s14_edge,0.0,0.0,0.0
cashflow_stress,q3_s_stage,0.14,1.0,0.2948
cashflow_stress,q2_s3_tail,0.28,0.0,0.2296
cashflow_stress,recovery_route,0.0,0.0,0.0
cashflow_stress,nonq2_full,0.0,0.0,0.0
cashflow_stress,full_state,0.2,0.0,0.164
measurement_confidence,q2_hardtail,0.0,0.0,0.0
measurement_confidence,q3_quality,0.0,0.0,0.0
measurement_confidence,q_subjective,0.0,0.0,0.0
measurement_confidence,q1q3_subjective,0.0,0.0,0.0
measurement_confidence,s_stage,0.32,0.34659090909090906,0.32478636363636365
measurement_confidence,s23_core,0.12,0.0,0.0984
measurement_confidence,s14_edge,0.1,0.3267045454545454,0.1408068181818182
measurement_confidence,q3_s_stage,0.22,0.3267045454545454,0.2392068181818182
measurement_confidence,q2_s3_tail,0.0,0.0,0.0
measurement_confidence,recovery_route,0.0,0.0,0.0
measurement_confidence,nonq2_full,0.18,0.0,0.1476
measurement_confidence,full_state,0.06,0.0,0.0492
weekend_rhythm,q2_hardtail,0.0,0.0,0.0
weekend_rhythm,q3_quality,0.0,0.0,0.0
weekend_rhythm,q_subjective,0.1,0.0,0.082
weekend_rhythm,q1q3_subjective,0.0,0.0,0.0
weekend_rhythm,s_stage,0.12,0.5,0.18839999999999998
weekend_rhythm,s23_core,0.0,0.0,0.0
weekend_rhythm,s14_edge,0.0,0.0,0.0
weekend_rhythm,q3_s_stage,0.16,0.5,0.22119999999999998
weekend_rhythm,q2_s3_tail,0.0,0.0,0.0
weekend_rhythm,recovery_route,0.18,0.0,0.14759999999999998
weekend_rhythm,nonq2_full,0.2,0.0,0.164
weekend_rhythm,full_state,0.24,0.0,0.19679999999999997
body_fatigue,q2_hardtail,0.0,0.0,0.0
body_fatigue,q3_quality,0.0,0.0,0.0
body_fatigue,q_subjective,0.0,0.0,0.0
body_fatigue,q1q3_subjective,0.0,0.0,0.0
body_fatigue,s_stage,0.26,0.17989417989417994,0.2455809523809524
body_fatigue,s23_core,0.1,0.0,0.082
body_fatigue,s14_edge,0.0,0.0,0.0
body_fatigue,q3_s_stage,0.24,0.8201058201058201,0.3444190476190476
body_fatigue,q2_s3_tail,0.0,0.0,0.0
body_fatigue,recovery_route,0.18,0.0,0.14759999999999998
body_fatigue,nonq2_full,0.14,0.0,0.1148
body_fatigue,full_state,0.08,0.0,0.06559999999999999
isolation_cocoon,q2_hardtail,0.0,0.0,0.0
isolation_cocoon,q3_quality,0.0,0.0,0.0
isolation_cocoon,q_subjective,0.12,0.0,0.12
isolation_cocoon,q1q3_subjective,0.18,0.0,0.18
isolation_cocoon,s_stage,0.1,0.0,0.1
isolation_cocoon,s23_core,0.0,0.0,0.0
isolation_cocoon,s14_edge,0.0,0.0,0.0
isolation_cocoon,q3_s_stage,0.0,0.0,0.0
isolation_cocoon,q2_s3_tail,0.0,0.0,0.0
isolation_cocoon,recovery_route,0.28,0.0,0.28
isolation_cocoon,nonq2_full,0.24,0.0,0.24
isolation_cocoon,full_state,0.08,0.0,0.07999999999999999
routine_anchor,q2_hardtail,0.0,0.0,0.0
routine_anchor,q3_quality,0.0,0.0,0.0
routine_anchor,q_subjective,0.0,0.0,0.0
routine_anchor,q1q3_subjective,0.12,0.0,0.11999999999999998
routine_anchor,s_stage,0.2,0.0,0.19999999999999998
routine_anchor,s23_core,0.0,0.0,0.0
routine_anchor,s14_edge,0.0,0.0,0.0
routine_anchor,q3_s_stage,0.1,0.0,0.09999999999999999
routine_anchor,q2_s3_tail,0.0,0.0,0.0
routine_anchor,recovery_route,0.28,0.0,0.27999999999999997
routine_anchor,nonq2_full,0.2,0.0,0.19999999999999998
routine_anchor,full_state,0.1,0.0,0.09999999999999999
