row,past_mean_Q1,future_mean_Q1,drift_Q1,drift_up_Q1,drift_down_Q1,drift_changed_Q1,past_mean_Q2,future_mean_Q2,drift_Q2,drift_up_Q2,drift_down_Q2,drift_changed_Q2,past_mean_Q3,future_mean_Q3,drift_Q3,drift_up_Q3,drift_down_Q3,drift_changed_Q3,past_mean_S1,future_mean_S1,drift_S1,drift_up_S1,drift_down_S1,drift_changed_S1,past_mean_S2,future_mean_S2,drift_S2,drift_up_S2,drift_down_S2,drift_changed_S2,past_mean_S3,future_mean_S3,drift_S3,drift_up_S3,drift_down_S3,drift_changed_S3,past_mean_S4,future_mean_S4,drift_S4,drift_up_S4,drift_down_S4,drift_changed_S4,drift_subjective_recovery,recovery_up_subjective,intervention_relief_Q2,intervention_worsening_Q2,quality_rise_Q3,objective_stage_shift,valid_drift_row
10,0.25,0.5,0.25,1.0,0.0,1.0,0.25,0.5,0.25,1.0,0.0,1.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.25,0.75,0.5,1.0,0.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.25,0.5,0.25,1.0,0.0,1.0,-0.25,0.0,0.0,1.0,0.0,1.0,True
11,0.5,0.75,0.25,1.0,0.0,1.0,0.5,0.25,-0.25,0.0,1.0,1.0,0.75,0.25,-0.5,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.25,1.0,0.75,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,True
12,0.5,0.5,0.0,0.0,0.0,0.0,0.75,0.5,-0.25,0.0,1.0,1.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.25,0.75,0.5,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.25,0.5,0.25,1.0,0.0,1.0,-0.25,0.0,1.0,0.0,0.0,1.0,True
13,0.75,0.25,-0.5,0.0,1.0,1.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.75,0.25,-0.5,0.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.5,0.75,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,-0.75,0.0,1.0,0.0,0.0,1.0,True
14,0.75,0.25,-0.5,0.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,1.0,True
15,0.5,0.25,-0.25,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.5,0.25,-0.25,0.0,1.0,1.0,-0.5,0.0,0.0,1.0,1.0,1.0,True
16,0.75,0.5,-0.25,0.0,1.0,1.0,0.25,1.0,0.75,1.0,0.0,1.0,0.25,0.5,0.25,1.0,0.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.5,-0.25,0.0,1.0,1.0,-0.75,0.0,0.0,1.0,1.0,1.0,True
17,0.5,0.75,0.25,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.75,0.25,1.0,0.0,1.0,-0.25,0.0,0.0,1.0,0.0,1.0,True
18,0.25,0.75,0.5,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,True
19,0.25,0.5,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.5,0.25,-0.25,0.0,1.0,1.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.25,0.75,0.5,1.0,0.0,1.0,-0.25,0.0,0.0,1.0,0.0,1.0,True
20,0.25,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.75,0.25,-0.5,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.25,0.5,0.25,1.0,0.0,1.0,-0.25,0.0,0.0,0.0,0.0,1.0,True
21,0.5,0.0,-0.5,0.0,1.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,0.75,0.25,-0.5,0.0,1.0,1.0,0.75,0.5,-0.25,0.0,1.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,True
22,0.75,0.25,-0.5,0.0,1.0,1.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.0,1.0,1.0,True
23,0.75,0.25,-0.5,0.0,1.0,1.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.25,0.75,0.5,1.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,True
24,0.5,0.25,-0.25,0.0,1.0,1.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.25,0.75,0.5,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.0,1.0,1.0,True
25,0.25,0.25,0.0,0.0,0.0,0.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.5,1.0,0.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,True
26,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.25,0.5,0.25,1.0,0.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True
27,0.25,0.0,-0.25,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.5,0.25,-0.25,0.0,1.0,1.0,0.75,0.5,-0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.25,-0.5,0.0,1.0,1.0,-0.25,0.0,0.0,0.0,0.0,1.0,True
28,0.25,0.0,-0.25,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.75,0.0,-0.75,0.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.25,-0.5,0.0,1.0,1.0,-0.5,0.0,0.0,0.0,0.0,1.0,True
29,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.75,0.5,-0.25,0.0,1.0,1.0,1.0,0.25,-0.75,0.0,1.0,1.0,0.75,0.5,-0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,-0.75,0.0,1.0,1.0,-0.25,0.0,0.0,0.0,0.0,1.0,True
30,0.25,0.5,0.25,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.75,0.5,-0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,-0.75,0.0,1.0,1.0,0.25,1.0,0.0,0.0,0.0,1.0,True
31,0.0,0.75,0.75,1.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,0.75,0.5,-0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,-0.25,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,True
32,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.25,0.75,0.5,1.0,0.0,1.0,0.5,0.25,-0.25,0.0,1.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.25,0.5,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,True
33,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,0.0,0.75,0.75,1.0,0.0,1.0,0.75,0.5,-0.25,0.0,1.0,1.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.25,0.75,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,True
34,0.25,0.75,0.5,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.5,0.25,1.0,0.0,1.0,0.5,0.25,-0.25,0.0,1.0,1.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.0,0.75,0.75,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,True
35,0.5,0.75,0.25,1.0,0.0,1.0,0.5,0.25,-0.25,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.25,-0.75,0.0,1.0,1.0,0.0,0.75,0.75,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,True
36,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.5,0.75,0.25,1.0,0.0,1.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.25,0.75,0.5,1.0,0.0,1.0,0.25,1.0,1.0,0.0,0.0,1.0,True
37,1.0,0.6666666666666666,-0.33333333333333337,0.0,1.0,1.0,0.5,0.3333333333333333,-0.16666666666666669,0.0,1.0,1.0,0.75,0.6666666666666666,-0.08333333333333337,0.0,1.0,1.0,0.75,0.6666666666666666,-0.08333333333333337,0.0,1.0,1.0,0.25,0.6666666666666666,0.41666666666666663,1.0,0.0,1.0,0.75,0.6666666666666666,-0.08333333333333337,0.0,1.0,1.0,0.5,0.6666666666666666,0.16666666666666663,1.0,0.0,1.0,-0.25000000000000006,0.0,1.0,0.0,0.0,1.0,True
38,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,True
39,0.75,,,0.0,0.0,0.0,0.5,,,0.0,0.0,0.0,0.5,,,0.0,0.0,0.0,0.5,,,0.0,0.0,0.0,0.25,,,0.0,0.0,0.0,0.5,,,0.0,0.0,0.0,0.75,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
40,0.75,,,0.0,0.0,0.0,0.25,,,0.0,0.0,0.0,0.5,,,0.0,0.0,0.0,0.5,,,0.0,0.0,0.0,0.5,,,0.0,0.0,0.0,0.25,,,0.0,0.0,0.0,0.75,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
41,,0.25,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.75,,0.0,0.0,0.0,,0.75,,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,,0.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
42,,0.5,,0.0,0.0,0.0,,0.25,,0.0,0.0,0.0,,0.25,,0.0,0.0,0.0,,0.75,,0.0,0.0,0.0,,0.75,,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,,0.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
43,0.0,0.5,0.5,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.75,0.25,1.0,0.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.75,0.25,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,True
44,0.3333333333333333,0.5,0.16666666666666669,1.0,0.0,1.0,0.3333333333333333,0.75,0.4166666666666667,1.0,0.0,1.0,0.3333333333333333,0.75,0.4166666666666667,1.0,0.0,1.0,0.6666666666666666,0.75,0.08333333333333337,1.0,0.0,1.0,0.6666666666666666,1.0,0.33333333333333337,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.33333333333333337,1.0,0.0,1.0,0.16666666666666669,1.0,0.0,1.0,1.0,1.0,True
45,0.25,0.5,0.25,1.0,0.0,1.0,0.25,0.75,0.5,1.0,0.0,1.0,0.25,1.0,0.75,1.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,True
46,0.25,0.5,0.25,1.0,0.0,1.0,0.0,0.75,0.75,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,True
47,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.5,1.0,0.0,1.0,0.25,1.0,0.75,1.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,0.25,1.0,0.0,1.0,1.0,1.0,True
48,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.75,0.25,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.25,1.0,0.0,1.0,1.0,1.0,True
49,0.5,0.75,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0,1.0,True
50,0.5,0.5,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,-0.25,0.0,0.0,0.0,0.0,1.0,True
51,0.5,0.5,0.0,0.0,0.0,0.0,0.75,0.5,-0.25,0.0,1.0,1.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,-0.25,0.0,1.0,0.0,0.0,1.0,True
52,0.5,0.75,0.25,1.0,0.0,1.0,0.75,0.5,-0.25,0.0,1.0,1.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,True
53,0.5,0.75,0.25,1.0,0.0,1.0,0.75,0.5,-0.25,0.0,1.0,1.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,True
54,0.75,0.75,0.0,0.0,0.0,0.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,True
55,0.5,0.5,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True
56,0.5,0.25,-0.25,0.0,1.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,-0.25,0.0,0.0,1.0,1.0,1.0,True
57,0.75,0.0,-0.75,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,-0.75,0.0,0.0,0.0,0.0,1.0,True
58,0.75,0.25,-0.5,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,True
59,0.75,0.5,-0.25,0.0,1.0,1.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,-0.25,0.0,1.0,0.0,0.0,1.0,True
60,0.5,0.75,0.25,1.0,0.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.25,1.0,1.0,0.0,0.0,1.0,True
61,0.25,0.75,0.5,1.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.75,1.0,0.0,0.0,1.0,1.0,True
62,0.0,0.5,0.5,1.0,0.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,1.0,0.5,-0.5,0.0,1.0,1.0,0.75,1.0,0.0,1.0,1.0,1.0,True
63,0.25,0.5,0.25,1.0,0.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,True
64,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.75,0.25,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0,1.0,True
65,0.75,0.75,0.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,-0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.75,0.25,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True
