fold,family,k,context_variant,length,len_bucket,true_proto,pred_proto,proto_correct,sample_logloss,rate_sqerr
geom_r00,label_rate_only,4,strict_prior,2,short_1_2,1,3,0.0,1.4612066745758057,0.09893204271793365
geom_r00,label_rate_only,4,strict_prior,2,short_1_2,2,3,0.0,4.159024715423584,0.13340173661708832
geom_r00,label_rate_only,4,strict_prior,4,mid_3_4,1,3,0.0,1.4422667026519775,0.11242786794900894
geom_r00,label_rate_only,4,strict_prior,1,short_1_2,2,3,0.0,6.716960906982422,0.2833942472934723
geom_r00,label_rate_only,4,strict_prior,2,short_1_2,1,1,1.0,0.7272298336029053,0.18729455769062042
geom_r00,label_rate_only,4,strict_prior,13,long_5p,2,0,0.0,6.487195014953613,0.08646570146083832
geom_r00,label_rate_only,4,strict_prior,11,long_5p,1,1,1.0,5.960464477539063e-08,0.053922150284051895
geom_r00,label_rate_only,6,strict_surround,14,long_5p,1,1,1.0,0.42797988653182983,0.03196354955434799
geom_r00,label_rate_only,6,strict_surround,16,long_5p,5,5,1.0,0.009538098238408566,0.0046294620260596275
geom_r00,label_rate_only,6,strict_surround,10,long_5p,3,3,1.0,2.3841860752327193e-07,0.09248704463243484
geom_r00,label_rate_only,6,strict_surround,3,mid_3_4,5,5,1.0,0.008663644082844257,0.14431580901145935
geom_r00,label_rate_only,6,strict_surround,1,short_1_2,5,1,0.0,2.9994916915893555,0.1380545198917389
geom_r00,label_rate_only,6,strict_surround,8,long_5p,5,1,0.0,2.0267174243927,0.0401277169585228
geom_r00,label_rate_only,6,strict_surround,3,mid_3_4,3,5,0.0,4.194911479949951,0.1592862606048584
geom_r00,label_rate_only,6,strict_surround,2,short_1_2,3,3,1.0,0.00030993256950750947,0.12188418954610825
geom_r00,label_rate_only,6,strict_surround,5,long_5p,3,3,1.0,0.0008628513896837831,0.013628262095153332
geom_r00,label_rate_only,6,strict_surround,2,short_1_2,3,3,1.0,0.12738630175590515,0.13805417716503143
geom_r00,label_rate_only,6,strict_surround,5,long_5p,3,3,1.0,0.0641593486070633,0.06219642236828804
geom_r00,label_rate_only,6,strict_surround,1,short_1_2,4,4,1.0,0.022185228765010834,0.010437384247779846
geom_r00,label_rate_only,6,strict_surround,8,long_5p,5,5,1.0,0.02302456647157669,0.0062721953727304935
geom_r00,label_rate_only,6,strict_surround,5,long_5p,1,4,0.0,10.062398910522461,0.13977953791618347
geom_r00,label_rate_only,6,strict_surround,15,long_5p,1,5,0.0,13.815510749816895,0.13041293621063232
geom_r00,label_rate_only,6,strict_surround,2,short_1_2,3,5,0.0,10.836257934570312,0.22429026663303375
geom_r00,label_rate_only,6,strict_surround,2,short_1_2,2,0,0.0,1.912951111793518,0.05110437422990799
geom_r00,label_rate_only,6,strict_surround,2,short_1_2,4,2,0.0,12.108922004699707,0.2544364631175995
geom_r00,label_rate_only,6,strict_surround,4,mid_3_4,2,0,0.0,4.67384672164917,0.12905864417552948
geom_r00,label_rate_only,6,strict_surround,1,short_1_2,1,2,0.0,7.812806606292725,0.42678380012512207
geom_r00,label_rate_only,6,strict_surround,2,short_1_2,1,3,0.0,2.376779556274414,0.19858433306217194
geom_r00,label_rate_only,6,strict_surround,13,long_5p,4,3,0.0,6.785344123840332,0.11201771348714828
geom_r00,label_rate_only,6,strict_surround,11,long_5p,3,3,1.0,0.00018592417472973466,0.05578133836388588
geom_r00,label_rate_only,6,strict_labelonly,14,long_5p,1,5,0.0,1.6303402185440063,0.037706051021814346
geom_r00,label_rate_only,6,strict_labelonly,16,long_5p,5,1,0.0,2.074585199356079,0.07440699636936188
geom_r00,label_rate_only,6,strict_labelonly,10,long_5p,3,3,1.0,5.364419735087722e-07,0.09248704463243484
geom_r00,label_rate_only,6,strict_labelonly,3,mid_3_4,5,5,1.0,0.7180440425872803,0.14482824504375458
geom_r00,label_rate_only,6,strict_labelonly,1,short_1_2,5,1,0.0,2.026000738143921,0.18059740960597992
geom_r00,label_rate_only,6,strict_labelonly,8,long_5p,5,1,0.0,1.019355297088623,0.02845550701022148
geom_r00,label_rate_only,6,strict_labelonly,3,mid_3_4,3,5,0.0,2.650343179702759,0.14169055223464966
geom_r00,label_rate_only,6,strict_labelonly,2,short_1_2,3,3,1.0,0.005909584928303957,0.12158185243606567
geom_r00,label_rate_only,6,strict_labelonly,5,long_5p,3,3,1.0,0.010039850138127804,0.013452021405100822
geom_r00,label_rate_only,6,strict_labelonly,2,short_1_2,3,3,1.0,0.24389459192752838,0.14670252799987793
geom_r00,label_rate_only,6,strict_labelonly,5,long_5p,3,3,1.0,0.013492300175130367,0.06584867089986801
geom_r00,label_rate_only,6,strict_labelonly,1,short_1_2,4,4,1.0,0.11629423499107361,0.014173426665365696
geom_r00,label_rate_only,6,strict_labelonly,8,long_5p,5,4,0.0,0.8132578730583191,0.06383465230464935
geom_r00,label_rate_only,6,strict_labelonly,5,long_5p,1,4,0.0,4.588437557220459,0.0822790339589119
geom_r00,label_rate_only,6,strict_labelonly,15,long_5p,1,3,0.0,4.96855354309082,0.05937764048576355
geom_r00,label_rate_only,6,strict_labelonly,2,short_1_2,3,5,0.0,2.3024656772613525,0.21469031274318695
geom_r00,label_rate_only,6,strict_labelonly,2,short_1_2,2,0,0.0,2.2106409072875977,0.060084227472543716
geom_r00,label_rate_only,6,strict_labelonly,2,short_1_2,4,0,0.0,3.2945804595947266,0.14295656979084015
geom_r00,label_rate_only,6,strict_labelonly,4,mid_3_4,2,0,0.0,1.4666553735733032,0.08906757831573486
geom_r00,label_rate_only,6,strict_labelonly,1,short_1_2,1,2,0.0,2.880357503890991,0.308594673871994
geom_r00,label_rate_only,6,strict_labelonly,2,short_1_2,1,3,0.0,2.760950803756714,0.19863231480121613
geom_r00,label_rate_only,6,strict_labelonly,13,long_5p,4,1,0.0,7.753653526306152,0.0649094209074974
geom_r00,label_rate_only,6,strict_labelonly,11,long_5p,3,1,0.0,1.5880259275436401,0.06276930123567581
geom_r00,label_rate_only,6,strict_prior,14,long_5p,1,1,1.0,0.0016242932761088014,0.03739006072282791
geom_r00,label_rate_only,6,strict_prior,16,long_5p,5,5,1.0,0.4883723855018616,0.015062160789966583
geom_r00,label_rate_only,6,strict_prior,10,long_5p,3,3,1.0,2.30076584557537e-05,0.09248634427785873
geom_r00,label_rate_only,6,strict_prior,3,mid_3_4,5,1,0.0,1.2516006231307983,0.1423366367816925
geom_r00,label_rate_only,6,strict_prior,1,short_1_2,5,5,1.0,0.7288270592689514,0.12165438383817673
geom_r00,label_rate_only,6,strict_prior,8,long_5p,5,5,1.0,0.5935642123222351,0.017878403887152672
geom_r00,label_rate_only,6,strict_prior,3,mid_3_4,3,5,0.0,1.9844163656234741,0.07281512022018433
geom_r00,label_rate_only,6,strict_prior,2,short_1_2,3,3,1.0,0.029992587864398956,0.12238819152116776
geom_r00,label_rate_only,6,strict_prior,5,long_5p,3,3,1.0,0.03172673285007477,0.013808551244437695
geom_r00,label_rate_only,6,strict_prior,2,short_1_2,3,3,1.0,0.022134892642498016,0.11174111813306808
geom_r00,label_rate_only,6,strict_prior,5,long_5p,3,3,1.0,0.038101911544799805,0.06631434708833694
geom_r00,label_rate_only,6,strict_prior,1,short_1_2,4,4,1.0,0.30713459849357605,0.027031773701310158
geom_r00,label_rate_only,6,strict_prior,8,long_5p,5,4,0.0,1.8379772901535034,0.1304742842912674
geom_r00,label_rate_only,6,strict_prior,5,long_5p,1,4,0.0,2.4821391105651855,0.06986244767904282
geom_r00,label_rate_only,6,strict_prior,15,long_5p,1,5,0.0,13.815510749816895,0.13140679895877838
geom_r00,label_rate_only,6,strict_prior,2,short_1_2,3,0,0.0,2.5080583095550537,0.2556247115135193
geom_r00,label_rate_only,6,strict_prior,2,short_1_2,2,0,0.0,2.1186933517456055,0.06329862773418427
geom_r00,label_rate_only,6,strict_prior,2,short_1_2,4,0,0.0,3.7619800567626953,0.1463184803724289
geom_r00,label_rate_only,6,strict_prior,4,mid_3_4,2,0,0.0,2.4373600482940674,0.10730381309986115
geom_r00,label_rate_only,6,strict_prior,1,short_1_2,1,0,0.0,5.275625705718994,0.32833772897720337
geom_r00,label_rate_only,6,strict_prior,2,short_1_2,1,0,0.0,4.752802848815918,0.2616739571094513
geom_r00,label_rate_only,6,strict_prior,13,long_5p,4,1,0.0,13.815510749816895,0.07538261264562607
geom_r00,label_rate_only,6,strict_prior,11,long_5p,3,3,1.0,0.0004530383157543838,0.05574226379394531
geom_r00,label_rate_only,8,strict_surround,14,long_5p,7,6,0.0,13.815510749816895,0.06208359822630882
geom_r00,label_rate_only,8,strict_surround,16,long_5p,0,0,1.0,0.000902762112673372,0.016385475173592567
geom_r00,label_rate_only,8,strict_surround,10,long_5p,3,3,1.0,0.0007346586207859218,0.07956249266862869
geom_r00,label_rate_only,8,strict_surround,3,mid_3_4,3,4,0.0,4.3846755027771,0.13879896700382233
geom_r00,label_rate_only,8,strict_surround,1,short_1_2,0,7,0.0,2.443333625793457,0.20141807198524475
geom_r00,label_rate_only,8,strict_surround,8,long_5p,4,4,1.0,0.6908405423164368,0.013734675943851471
geom_r00,label_rate_only,8,strict_surround,3,mid_3_4,3,4,0.0,6.0558319091796875,0.0826335921883583
geom_r00,label_rate_only,8,strict_surround,2,short_1_2,1,1,1.0,0.003135704668238759,0.16583789885044098
geom_r00,label_rate_only,8,strict_surround,5,long_5p,3,1,0.0,1.8489407300949097,0.060418181121349335
geom_r00,label_rate_only,8,strict_surround,2,short_1_2,1,3,0.0,7.521045207977295,0.21748138964176178
geom_r00,label_rate_only,8,strict_surround,5,long_5p,1,1,1.0,0.5477126240730286,0.04046434164047241
geom_r00,label_rate_only,8,strict_surround,1,short_1_2,5,5,1.0,0.5090804100036621,0.03796312212944031
geom_r00,label_rate_only,8,strict_surround,8,long_5p,0,0,1.0,0.7808488607406616,0.03783189132809639
geom_r00,label_rate_only,8,strict_surround,5,long_5p,0,5,0.0,1.2220946550369263,0.11871777474880219
geom_r00,label_rate_only,8,strict_surround,15,long_5p,6,3,0.0,10.540613174438477,0.06283946335315704
geom_r00,label_rate_only,8,strict_surround,2,short_1_2,3,4,0.0,13.815510749816895,0.15412995219230652
geom_r00,label_rate_only,8,strict_surround,2,short_1_2,1,2,0.0,2.4400689601898193,0.09250017255544662
geom_r00,label_rate_only,8,strict_surround,2,short_1_2,5,1,0.0,8.758783340454102,0.12744754552841187
geom_r00,label_rate_only,8,strict_surround,4,mid_3_4,1,2,0.0,6.741682052612305,0.12129288911819458
geom_r00,label_rate_only,8,strict_surround,1,short_1_2,6,1,0.0,13.815510749816895,0.37190482020378113
geom_r00,label_rate_only,8,strict_surround,2,short_1_2,3,7,0.0,1.083503246307373,0.13944891095161438
geom_r00,label_rate_only,8,strict_surround,13,long_5p,2,3,0.0,11.098984718322754,0.13971129059791565
geom_r00,label_rate_only,8,strict_surround,11,long_5p,1,3,0.0,13.815510749816895,0.11486757546663284
geom_r00,label_rate_only,8,strict_labelonly,14,long_5p,7,0,0.0,5.007687568664551,0.043409980833530426
geom_r00,label_rate_only,8,strict_labelonly,16,long_5p,0,0,1.0,0.4173215329647064,0.0198973398655653
geom_r00,label_rate_only,8,strict_labelonly,10,long_5p,3,3,1.0,0.000875379191711545,0.07955373078584671
geom_r00,label_rate_only,8,strict_labelonly,3,mid_3_4,3,6,0.0,2.046929359436035,0.1355445235967636
geom_r00,label_rate_only,8,strict_labelonly,1,short_1_2,0,6,0.0,1.9807811975479126,0.15097451210021973
geom_r00,label_rate_only,8,strict_labelonly,8,long_5p,4,0,0.0,2.4772913455963135,0.030296113342046738
geom_r00,label_rate_only,8,strict_labelonly,3,mid_3_4,3,4,0.0,4.999201774597168,0.09660802781581879
geom_r00,label_rate_only,8,strict_labelonly,2,short_1_2,1,1,1.0,0.19626294076442719,0.14727289974689484
geom_r00,label_rate_only,8,strict_labelonly,5,long_5p,3,1,0.0,2.3616788387298584,0.06614813953638077
geom_r00,label_rate_only,8,strict_labelonly,2,short_1_2,1,3,0.0,3.499702215194702,0.14809490740299225
geom_r00,label_rate_only,8,strict_labelonly,5,long_5p,1,3,0.0,3.877271890640259,0.08420006185770035
geom_r00,label_rate_only,8,strict_labelonly,1,short_1_2,5,5,1.0,0.35276973247528076,0.021728280931711197
geom_r00,label_rate_only,8,strict_labelonly,8,long_5p,0,5,0.0,1.4472014904022217,0.10510507971048355
geom_r00,label_rate_only,8,strict_labelonly,5,long_5p,0,5,0.0,0.8841198086738586,0.08685160428285599
geom_r00,label_rate_only,8,strict_labelonly,15,long_5p,6,3,0.0,4.457982063293457,0.06212574988603592
geom_r00,label_rate_only,8,strict_labelonly,2,short_1_2,3,4,0.0,3.111250638961792,0.1739647388458252
geom_r00,label_rate_only,8,strict_labelonly,2,short_1_2,1,1,1.0,0.6454981565475464,0.04670245200395584
geom_r00,label_rate_only,8,strict_labelonly,2,short_1_2,5,2,0.0,5.3937788009643555,0.1364050954580307
geom_r00,label_rate_only,8,strict_labelonly,4,mid_3_4,1,2,0.0,2.6360461711883545,0.0941261574625969
geom_r00,label_rate_only,8,strict_labelonly,1,short_1_2,6,2,0.0,9.441634178161621,0.29344597458839417
geom_r00,label_rate_only,8,strict_labelonly,2,short_1_2,3,7,0.0,1.044377088546753,0.14377501606941223
geom_r00,label_rate_only,8,strict_labelonly,13,long_5p,2,2,1.0,0.8820008635520935,0.04651062563061714
geom_r00,label_rate_only,8,strict_labelonly,11,long_5p,1,4,0.0,9.01007080078125,0.15265892446041107
geom_r00,label_rate_only,8,strict_prior,14,long_5p,7,6,0.0,13.815510749816895,0.062130529433488846
geom_r00,label_rate_only,8,strict_prior,16,long_5p,0,0,1.0,0.20107299089431763,0.018122080713510513
geom_r00,label_rate_only,8,strict_prior,10,long_5p,3,3,1.0,5.960464477539063e-08,0.07962579280138016
geom_r00,label_rate_only,8,strict_prior,3,mid_3_4,3,6,0.0,2.699821710586548,0.13373853266239166
geom_r00,label_rate_only,8,strict_prior,1,short_1_2,0,4,0.0,1.9810192584991455,0.1495441347360611
geom_r00,label_rate_only,8,strict_prior,8,long_5p,4,3,0.0,1.5684525966644287,0.024851053953170776
geom_r00,label_rate_only,8,strict_prior,3,mid_3_4,3,7,0.0,1.3702290058135986,0.04585849866271019
geom_r00,label_rate_only,8,strict_prior,2,short_1_2,1,3,0.0,0.8604878783226013,0.131360724568367
geom_r00,label_rate_only,8,strict_prior,5,long_5p,3,1,0.0,1.052319884300232,0.027932358905673027
geom_r00,label_rate_only,8,strict_prior,2,short_1_2,1,3,0.0,1.102250576019287,0.11332494020462036
geom_r00,label_rate_only,8,strict_prior,5,long_5p,1,3,0.0,0.7952141761779785,0.04734180122613907
geom_r00,label_rate_only,8,strict_prior,1,short_1_2,5,5,1.0,0.4725492596626282,0.027853628620505333
geom_r00,label_rate_only,8,strict_prior,8,long_5p,0,5,0.0,2.657970905303955,0.14164571464061737
geom_r00,label_rate_only,8,strict_prior,5,long_5p,0,5,0.0,1.2129846811294556,0.08546771109104156
geom_r00,label_rate_only,8,strict_prior,15,long_5p,6,6,1.0,0.6294483542442322,0.028175143525004387
geom_r00,label_rate_only,8,strict_prior,2,short_1_2,3,2,0.0,2.9332118034362793,0.2304621934890747
geom_r00,label_rate_only,8,strict_prior,2,short_1_2,1,2,0.0,1.442379117012024,0.06329129636287689
geom_r00,label_rate_only,8,strict_prior,2,short_1_2,5,2,0.0,4.940650463104248,0.1426052302122116
geom_r00,label_rate_only,8,strict_prior,4,mid_3_4,1,2,0.0,2.9243361949920654,0.11392492800951004
geom_r00,label_rate_only,8,strict_prior,1,short_1_2,6,2,0.0,12.498392105102539,0.32252007722854614
geom_r00,label_rate_only,8,strict_prior,2,short_1_2,3,2,0.0,2.040419101715088,0.20861804485321045
geom_r00,label_rate_only,8,strict_prior,13,long_5p,2,4,0.0,12.039640426635742,0.06585346907377243
geom_r00,label_rate_only,8,strict_prior,11,long_5p,1,3,0.0,13.815510749816895,0.10853172838687897
geom_r00,label_rate_only,10,strict_surround,14,long_5p,1,1,1.0,0.08612275123596191,0.02402082085609436
geom_r00,label_rate_only,10,strict_surround,16,long_5p,8,8,1.0,0.24554601311683655,0.014150412753224373
geom_r00,label_rate_only,10,strict_surround,10,long_5p,6,6,1.0,4.768382950715022e-06,0.08632370084524155
geom_r00,label_rate_only,10,strict_surround,3,mid_3_4,8,6,0.0,0.890266478061676,0.07026200741529465
geom_r00,label_rate_only,10,strict_surround,1,short_1_2,0,2,0.0,8.567057609558105,0.25240597128868103
geom_r00,label_rate_only,10,strict_surround,8,long_5p,6,1,0.0,2.533773422241211,0.0604466013610363
geom_r00,label_rate_only,10,strict_surround,3,mid_3_4,6,8,0.0,9.684171676635742,0.11819342523813248
geom_r00,label_rate_only,10,strict_surround,2,short_1_2,7,5,0.0,2.7158241271972656,0.19256927073001862
geom_r00,label_rate_only,10,strict_surround,5,long_5p,7,7,1.0,0.07822253555059433,0.05148615315556526
geom_r00,label_rate_only,10,strict_surround,2,short_1_2,7,6,0.0,1.7195415496826172,0.2161763459444046
geom_r00,label_rate_only,10,strict_surround,5,long_5p,7,7,1.0,0.016138985753059387,0.04704694822430611
geom_r00,label_rate_only,10,strict_surround,1,short_1_2,4,4,1.0,0.01633956842124462,0.009059109725058079
geom_r00,label_rate_only,10,strict_surround,8,long_5p,0,8,0.0,1.8317663669586182,0.03461677208542824
geom_r00,label_rate_only,10,strict_surround,5,long_5p,1,4,0.0,7.587391376495361,0.1401062309741974
geom_r00,label_rate_only,10,strict_surround,15,long_5p,1,6,0.0,11.820679664611816,0.13587071001529694
geom_r00,label_rate_only,10,strict_surround,2,short_1_2,6,2,0.0,6.023630142211914,0.2633294463157654
geom_r00,label_rate_only,10,strict_surround,2,short_1_2,9,3,0.0,4.406990051269531,0.0884944424033165
geom_r00,label_rate_only,10,strict_surround,2,short_1_2,4,9,0.0,9.31479549407959,0.18606679141521454
geom_r00,label_rate_only,10,strict_surround,4,mid_3_4,5,3,0.0,9.864099502563477,0.13333502411842346
geom_r00,label_rate_only,10,strict_surround,1,short_1_2,8,9,0.0,5.142510414123535,0.48978191614151
geom_r00,label_rate_only,10,strict_surround,2,short_1_2,8,6,0.0,7.037804126739502,0.1569889336824417
geom_r00,label_rate_only,10,strict_surround,13,long_5p,3,1,0.0,11.7588472366333,0.06668099015951157
geom_r00,label_rate_only,10,strict_surround,11,long_5p,5,6,0.0,13.815510749816895,0.1535869687795639
geom_r00,label_rate_only,10,strict_labelonly,14,long_5p,1,1,1.0,0.7964497208595276,0.02262832783162594
geom_r00,label_rate_only,10,strict_labelonly,16,long_5p,8,8,1.0,0.21453888714313507,0.0251943226903677
geom_r00,label_rate_only,10,strict_labelonly,10,long_5p,6,6,1.0,0.006063508801162243,0.08582079410552979
geom_r00,label_rate_only,10,strict_labelonly,3,mid_3_4,8,1,0.0,1.741166591644287,0.13688482344150543
geom_r00,label_rate_only,10,strict_labelonly,1,short_1_2,0,2,0.0,5.525032043457031,0.1863238364458084
geom_r00,label_rate_only,10,strict_labelonly,8,long_5p,6,1,0.0,3.571552038192749,0.045120589435100555
geom_r00,label_rate_only,10,strict_labelonly,3,mid_3_4,6,8,0.0,3.679140329360962,0.1433018445968628
geom_r00,label_rate_only,10,strict_labelonly,2,short_1_2,7,5,0.0,1.918291687965393,0.17005586624145508
geom_r00,label_rate_only,10,strict_labelonly,5,long_5p,7,5,0.0,1.0429543256759644,0.04960585758090019
geom_r00,label_rate_only,10,strict_labelonly,2,short_1_2,7,6,0.0,0.8483873605728149,0.1402079313993454
geom_r00,label_rate_only,10,strict_labelonly,5,long_5p,7,7,1.0,0.2921966016292572,0.05052649602293968
geom_r00,label_rate_only,10,strict_labelonly,1,short_1_2,4,4,1.0,0.10721437633037567,0.011385693214833736
geom_r00,label_rate_only,10,strict_labelonly,8,long_5p,0,4,0.0,2.340604066848755,0.12080510705709457
geom_r00,label_rate_only,10,strict_labelonly,5,long_5p,1,4,0.0,4.037764549255371,0.11262919753789902
geom_r00,label_rate_only,10,strict_labelonly,15,long_5p,1,1,1.0,0.7250741124153137,0.01823221705853939
geom_r00,label_rate_only,10,strict_labelonly,2,short_1_2,6,2,0.0,2.42930006980896,0.19095662236213684
geom_r00,label_rate_only,10,strict_labelonly,2,short_1_2,9,3,0.0,1.8124513626098633,0.04968652501702309
geom_r00,label_rate_only,10,strict_labelonly,2,short_1_2,4,3,0.0,4.422187328338623,0.14364637434482574
geom_r00,label_rate_only,10,strict_labelonly,4,mid_3_4,5,3,0.0,5.311952114105225,0.11265485733747482
geom_r00,label_rate_only,10,strict_labelonly,1,short_1_2,8,8,1.0,0.8227702379226685,0.234760120511055
geom_r00,label_rate_only,10,strict_labelonly,2,short_1_2,8,6,0.0,3.4514191150665283,0.1596628576517105
geom_r00,label_rate_only,10,strict_labelonly,13,long_5p,3,1,0.0,3.2363290786743164,0.051640238612890244
