row,subject_id,sleep_date,lifelog_date,sleep_dt,anchor_seed_row,episode_offset,candidate_id
87,id04,2024-09-20,2024-09-19,2024-09-20,86,1,h079_top8_episode_all_n018_27e5bf71
121,id05,2024-11-13,2024-11-12,2024-11-13,122,-1,h079_top8_episode_all_n018_27e5bf71
123,id05,2024-11-16,2024-11-15,2024-11-16,122,1,h079_top8_episode_all_n018_27e5bf71
163,id07,2024-07-25,2024-07-24,2024-07-25,164,-1,h079_top8_episode_all_n018_27e5bf71
165,id07,2024-07-27,2024-07-26,2024-07-27,164,1,h079_top8_episode_all_n018_27e5bf71
176,id07,2024-08-27,2024-08-26,2024-08-27,177,-1,h079_top8_episode_all_n018_27e5bf71
178,id07,2024-08-29,2024-08-28,2024-08-29,177,1,h079_top8_episode_all_n018_27e5bf71
3,id01,2024-08-03,2024-08-02,2024-08-03,4,-1,h079_mixed5_episode_nonq2_n025_d0bf700c
5,id01,2024-08-06,2024-08-05,2024-08-06,4,1,h079_mixed5_episode_nonq2_n025_d0bf700c
68,id03,2024-08-28,2024-08-27,2024-08-28,69,-1,h079_mixed5_episode_nonq2_n025_d0bf700c
70,id03,2024-09-16,2024-09-15,2024-09-16,69,1,h079_mixed5_episode_nonq2_n025_d0bf700c
81,id04,2024-09-12,2024-09-11,2024-09-12,80,1,h079_mixed5_episode_nonq2_n025_d0bf700c
85,id04,2024-09-16,2024-09-15,2024-09-16,86,-1,h079_mixed5_episode_nonq2_n025_d0bf700c
87,id04,2024-09-20,2024-09-19,2024-09-20,86,1,h079_mixed5_episode_nonq2_n025_d0bf700c
163,id07,2024-07-25,2024-07-24,2024-07-25,164,-1,h079_mixed5_episode_nonq2_n025_d0bf700c
165,id07,2024-07-27,2024-07-26,2024-07-27,164,1,h079_mixed5_episode_nonq2_n025_d0bf700c
