family,fold,target,feature
chrono_tail,chrono_tail_last_30,Q1,cn_h32_activity_max__subj_z
chrono_tail,chrono_tail_last_30,Q1,late_activity_last_hour__dev_weekday_mean
chrono_tail,chrono_tail_last_30,Q1,late_activity_last_hour__dev_weekday_mean__subj_delta
chrono_tail,chrono_tail_last_30,Q1,late_activity_last_hour__dev_weekday_mean__subj_z
chrono_tail,chrono_tail_last_30,Q1,late_activity_last_hour__subj_delta
chrono_tail,chrono_tail_last_30,Q1,late_activity_last_hour__subj_z
chrono_tail,chrono_tail_last_30,Q1,s4x_cross_screenoff_longest_h
chrono_tail,chrono_tail_last_30,Q1,state_2_ratio__dev_weekday_mean
chrono_tail,chrono_tail_last_30,Q1,state_2_ratio__dev_weekday_mean__subj_delta
chrono_tail,chrono_tail_last_30,Q1,state_2_ratio__dev_weekday_mean__subj_z
chrono_tail,chrono_tail_last_30,Q1,topapp_00_06_anyauth_time__subj_delta
chrono_tail,chrono_tail_last_30,Q1,topapp_00_06_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_30,Q1,topapp_00_06_teams_time__subj_delta
chrono_tail,chrono_tail_last_30,Q1,topapp_00_06_시프티_time__subj_delta
chrono_tail,chrono_tail_last_30,Q1,topapp_00_06_카카오맵_time__subj_delta
chrono_tail,chrono_tail_last_30,Q1,topapp_21_03_anyauth_time__subj_delta
chrono_tail,chrono_tail_last_30,Q1,topapp_21_03_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_30,Q1,topapp_all_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_30,Q1,topapp_evening_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_30,Q2,anchor_logit
chrono_tail,chrono_tail_last_30,Q2,anchor_p
chrono_tail,chrono_tail_last_30,Q2,past_Q1_mean
chrono_tail,chrono_tail_last_30,Q2,near_Q2_mean
chrono_tail,chrono_tail_last_30,Q2,past_Q2_mean
chrono_tail,chrono_tail_last_30,Q2,future_Q2_mean
chrono_tail,chrono_tail_last_30,Q2,near_Q3_mean
chrono_tail,chrono_tail_last_30,Q2,activity_sum_21_03__prev_abs_delta
chrono_tail,chrono_tail_last_30,Q2,ble_deviceclass_2324_count__subj_delta
chrono_tail,chrono_tail_last_30,Q2,bright_interrupt_hours__dev_roll7__subj_delta
chrono_tail,chrono_tail_last_30,Q2,cn_h18_activity_max__subj_delta
chrono_tail,chrono_tail_last_30,Q2,cn_h18_activity_max__subj_z
chrono_tail,chrono_tail_last_30,Q2,distance_sum__subj_delta
chrono_tail,chrono_tail_last_30,Q2,distance_sum__weekday_vs_subject_mean__subj_z
chrono_tail,chrono_tail_last_30,Q2,longest_quiet_run_h__prev_abs_delta
chrono_tail,chrono_tail_last_30,Q2,longest_quiet_run_h__prev_abs_delta__subj_delta
chrono_tail,chrono_tail_last_30,Q2,q3x_late21_24_app_media_sum__subj_delta
chrono_tail,chrono_tail_last_30,Q2,q3x_late21_24_app_media_sum__subj_z
chrono_tail,chrono_tail_last_30,Q2,state_4_ratio__weekday_vs_subject_mean__subj_z
chrono_tail,chrono_tail_last_30,Q2,steps_00_06__dev_weekday_mean__subj_z
chrono_tail,chrono_tail_last_30,Q2,steps_sum__subj_delta
chrono_tail,chrono_tail_last_30,Q2,steps_sum__weekday_vs_subject_mean__subj_z
chrono_tail,chrono_tail_last_30,Q2,topapp_21_03_one_ui_홈_time__subj_z
chrono_tail,chrono_tail_last_30,Q2,topapp_all_google_time__subj_delta
chrono_tail,chrono_tail_last_30,Q2,topapp_all_배달의민족_time__subj_delta
chrono_tail,chrono_tail_last_30,Q2,topapp_all_배달의민족_time__subj_z
chrono_tail,chrono_tail_last_30,Q2,topapp_all_카카오버스_time__subj_delta
chrono_tail,chrono_tail_last_30,Q2,wifi_rssi_max__dev_roll7__subj_delta
chrono_tail,chrono_tail_last_30,Q2,wifi_rssi_max__dev_roll7__subj_z
chrono_tail,chrono_tail_last_30,Q2,wifi_rssi_max__dev_weekday_mean
chrono_tail,chrono_tail_last_30,Q2,wifi_rssi_max__dev_weekday_mean__subj_delta
chrono_tail,chrono_tail_last_30,Q2,wifi_rssi_max__subj_delta
chrono_tail,chrono_tail_last_30,Q2,wifi_rssi_max__subj_z
chrono_tail,chrono_tail_last_30,Q2,wifi_unique_bssid__dev_roll3
chrono_tail,chrono_tail_last_30,Q2,wifi_unique_bssid__dev_roll3__subj_delta
chrono_tail,chrono_tail_last_30,Q3,anchor_logit
chrono_tail,chrono_tail_last_30,Q3,anchor_p
chrono_tail,chrono_tail_last_30,Q3,past_Q1_mean
chrono_tail,chrono_tail_last_30,Q3,near_Q2_mean
chrono_tail,chrono_tail_last_30,Q3,near_Q3_mean
chrono_tail,chrono_tail_last_30,Q3,past_Q3_mean
chrono_tail,chrono_tail_last_30,Q3,future_Q3_mean
chrono_tail,chrono_tail_last_30,Q3,activity_n__prev_abs_delta
chrono_tail,chrono_tail_last_30,Q3,activity_n__prev_abs_delta__subj_delta
