row,subject_id,sleep_date,lifelog_date,row_strength_rank,semantic_latent_0,semantic_latent_1,semantic_latent_2,semantic_latent_3,semantic_latent_4,semantic_latent_5
151,id06,2024-08-25,2024-08-24,0.952,0.8282287057521176,-0.11904681891223479,-0.18133235525163968,-0.07127701387655956,-0.013520889782068455,0.06453434027031038
152,id07,2024-07-14,2024-07-13,0.944,0.828228705752087,-0.11904771596128749,-0.18124919371643042,-0.06115954761936022,0.012293529574432544,0.03546238444239054
158,id07,2024-07-20,2024-07-19,0.94,0.8273607839048958,0.20469834846569024,-0.05240919931089203,-0.01907687119979087,0.08509139496968667,0.0007490269532549832
163,id07,2024-07-25,2024-07-24,0.888,0.8182168145313838,0.1152238743637112,0.22884935559638236,0.04636559956048913,-0.014289764643325958,-0.01830387340640321
164,id07,2024-07-26,2024-07-25,0.92,0.8273607839040474,0.20474606359236885,-0.05210572458127661,0.0004768724759575491,-0.013047813231833405,-0.007288939889155682
167,id07,2024-08-15,2024-08-14,0.828,0.8190935171157065,-0.21384453263818792,0.09812354245106004,-0.031059059191401794,0.31758069286672985,-0.015268225907943614
168,id07,2024-08-16,2024-08-15,0.948,0.8273607839048701,0.20470340461976583,-0.05237676580976327,0.053341736333458685,-0.019894682969730872,0.029174121807169454
174,id07,2024-08-25,2024-08-24,0.968,0.8282287057524627,-0.11902556889228864,-0.18053939864418123,0.0486082720615409,0.0059265705403949145,0.05574190247113171
194,id08,2024-09-09,2024-09-08,0.908,0.8273607839040827,0.2047366088373428,-0.05248711819441241,0.007412366333931663,0.00010577771391152892,-0.04603981757023586
196,id08,2024-09-11,2024-09-10,0.872,0.8190935171142564,-0.21387212921480722,0.09807652001211085,0.05689842474671777,0.10273541915530654,0.07094227969252054
203,id09,2024-08-08,2024-08-07,0.956,0.8273607839048425,0.2047260559677851,-0.05237195987763272,-0.037514928826459015,-0.06819257510737307,0.049127474761762824
216,id09,2024-09-07,2024-09-06,0.904,0.8273607839069008,0.20470444755462555,-0.05306162653092517,0.022116239424278854,-0.04950119096722326,0.009046828478196971
225,id09,2024-09-20,2024-09-19,0.976,0.8282287057524244,-0.11903511587754058,-0.1809107871256863,-0.027754887388228847,0.04362471311627204,0.054663959197558586
226,id09,2024-09-21,2024-09-20,0.964,0.8282287057513765,-0.11903300326388432,-0.18083664023775672,-0.007658564377100553,-0.0013482686461935441,-0.048782386253945334
235,id10,2024-08-18,2024-08-17,0.848,0.8190935171140169,-0.2138530251684442,0.09797093853325418,-0.009275910661385738,-0.04536592584288118,-0.12628586477382298
242,id10,2024-09-19,2024-09-18,0.932,0.8282287057534922,-0.11906846716620889,-0.18134406618810647,0.02301173483729157,-0.0673803369205551,-0.051745660264531174
