row,subject_id,sleep_date,lifelog_date,row_strength_rank,narrative
136,id06,2024-07-16,2024-07-15,0.924,"Row 136 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
139,id06,2024-07-19,2024-07-18,0.876,"Row 139 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
143,id06,2024-08-13,2024-08-12,0.884,"Row 143 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
144,id06,2024-08-14,2024-08-13,0.9,"Row 144 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
146,id06,2024-08-20,2024-08-19,0.844,"Row 146 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
148,id06,2024-08-22,2024-08-21,1.0,"Row 148 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
149,id06,2024-08-23,2024-08-22,0.868,"Row 149 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
150,id06,2024-08-24,2024-08-23,0.972,"Row 150 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
151,id06,2024-08-25,2024-08-24,0.952,"Row 151 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
152,id07,2024-07-14,2024-07-13,0.944,"Row 152 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
158,id07,2024-07-20,2024-07-19,0.94,"Row 158 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
163,id07,2024-07-25,2024-07-24,0.888,"Row 163 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
164,id07,2024-07-26,2024-07-25,0.92,"Row 164 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
167,id07,2024-08-15,2024-08-14,0.828,"Row 167 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
168,id07,2024-08-16,2024-08-15,0.948,"Row 168 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
174,id07,2024-08-25,2024-08-24,0.968,"Row 174 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
194,id08,2024-09-09,2024-09-08,0.908,"Row 194 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
196,id08,2024-09-11,2024-09-10,0.872,"Row 196 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
203,id09,2024-08-08,2024-08-07,0.956,"Row 203 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
216,id09,2024-09-07,2024-09-06,0.904,"Row 216 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
225,id09,2024-09-20,2024-09-19,0.976,"Row 225 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
226,id09,2024-09-21,2024-09-20,0.964,"Row 226 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
235,id10,2024-08-18,2024-08-17,0.848,"Row 235 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
242,id10,2024-09-19,2024-09-18,0.932,"Row 242 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
